Weapon,R1,R2,R3,R4,R5
Homa (50%),741114.14728459,767225.5642422535,794748.169569289,823681.9632656968,854026.9453314772
PJWS (Stacked),721007.0621890792,742023.4174126909,763318.3755642897,784891.9366438764,806744.10065145
"Vortex (Shielded, Stacked)",705711.1434722348,727007.4640641726,748303.7846561105,769600.1052480482,790896.4258399862
PJWS,691555.076155459,705327.0815463482,719235.9199171267,733281.5912677952,747464.0955983531
"Vortex (Shielded, Unstacked)",690033.6420016361,707410.5872259241,724787.5324502124,742164.4776745006,759541.4228987887
CalamityQueller (Stacked),689789.6216629841,709113.0035567626,728686.8814720116,748511.2554087315,768586.1253669218
Homa,685537.5249298665,698416.8348625266,712001.7389798729,726292.2372819053,741288.3297686237
CalamityQueller (Unstacked),679743.5747366583,696397.8850741092,713239.6675031321,730268.9220237277,747485.648635895
"Vortex (Unshielded, Stacked)",663118.502288359,673766.6625843279,684414.8228802969,695062.983176266,705711.1434722348
Lithic (4 Stacks),660577.9799463177,687637.8490939445,715744.3020286857,744388.3022101503,773571.4634147246
"Vortex (Unshielded, Unstacked)",655279.7515530597,663968.2241652036,672656.6967773478,681345.169389492,690033.6420016361
Blackcliff (3 Stacks),648914.1686148377,669609.9386472938,690305.7086797501,711001.4787122062,731697.2487446622
Lithic (3 Stacks),631984.9189776268,651746.6821328262,671816.1306337034,692342.4598204368,713512.7029198126
Deathmatch (1 Opponent),622536.5982855657,636208.5873959673,649880.5765063692,663552.565616771,677224.5547271724
Blackcliff (2 Stacks),621319.8085715628,635116.9885932002,648914.1686148377,662711.348636475,676508.5286581125
Lithic (2 Stacks),604508.1040180323,617029.5137243618,629806.2960172277,642915.3843193346,656144.7144133577
Deathmatch (2+ Opponents),604307.2794716968,613421.9388786311,622536.5982855657,631651.2576925,640765.9170994348
Blackcliff (1 Stacks),593725.4485282878,600624.0385391065,607522.6285499253,614421.2185607441,621319.8085715628
Lithic (1 Stacks),577636.8847507569,583738.9812083141,589869.915555982,596029.6877937601,602218.2979216486
SkywardSpine,575370.3477270856,583223.0353162596,591273.4694633356,599323.9036104116,607374.3377574874
MissiveWindspear (On),572607.6644563825,578342.4530019087,584077.2415474349,589812.0300929615,595546.8186384881
Blackcliff (0 Stacks),566131.088485013,566131.088485013,566131.088485013,566131.088485013,566131.088485013
MissiveWindspear (Off),549668.5102742765,549668.5102742765,549668.5102742765,549668.5102742765,549668.5102742765
