Weapon,R1,R2,R3,R4,R5
Homa (50%),449778.97947353695,465966.38164265,483028.63000293064,500965.72455437906,519777.6652969952
PJWS (Stacked),438199.1176059602,451838.06775994727,465676.2074791324,479713.5367635158,493950.0556130974
"Vortex (Shielded, Stacked)",425657.39078703156,438734.5137497064,451811.63671238127,464888.7596750561,477965.8826377309
PJWS,419082.1178780472,427972.678661266,436961.0693630927,446047.2899835275,455231.3405225706
CalamityQueller (Stacked),418308.4811952657,430826.0392088718,443521.90452222567,456396.07713532733,469448.55704817694
"Vortex (Shielded, Unstacked)",416383.6084874042,427142.2858751722,437900.9632629402,448659.64065070817,459418.31803847617
Homa,415325.0416150325,423309.386925693,431731.1553319374,440590.34683376574,449886.9614311777
CalamityQueller (Unstacked),412302.9988654043,423207.03255161,434244.5120395898,445415.43732934335,456719.8084208708
"Vortex (Unshielded, Stacked)",399503.14486168197,406041.7063430192,412580.26782435674,419118.8293056942,425657.39078703156
Lithic (4 Stacks),397907.0027416025,414774.7176350938,432018.26843030995,450058.27665281855,468461.1565789899
"Vortex (Unshielded, Unstacked)",394866.2537118682,400245.5924057521,405624.9310996362,411004.2697935202,416383.6084874042
Blackcliff (3 Stacks),391605.0210265982,404393.1166672748,417181.21230795176,429969.30794862844,442757.4035893054
Lithic (3 Stacks),380464.0438941888,392475.30633222463,404965.2623978603,417694.6084765357,430687.9512218721
Deathmatch (1 Opponent),376229.0026535059,384711.313108103,393193.62356270023,401675.93401729735,410158.2444718944
Blackcliff (2 Stacks),374554.226839029,383079.62393281347,391605.0210265982,400130.41812038264,408655.8152141671
Deathmatch (2+ Opponents),364919.25538070954,370574.12901710765,376229.0026535059,381883.8762899038,387538.74992630206
Lithic (2 Stacks),363409.5982606398,371213.5996311155,379091.60351851775,387043.6099228466,395252.6247881203
Blackcliff (1 Stacks),357503.4326514599,361766.1311983521,366028.8297452444,370291.5282921367,374554.226839029
Lithic (1 Stacks),346948.13939004746,350631.34174641577,354362.6609191148,358199.90940204187,362055.6585142004
SkywardSpine,345656.6728572135,350497.88366343227,355339.0944696513,360347.149633522,365414.1615560402
MissiveWindspear (On),343876.600159945,347398.07865436515,350919.55714878533,354441.0356432056,357962.5141376258
Blackcliff (0 Stacks),340452.6384638907,340452.6384638907,340452.6384638907,340452.6384638907,340452.6384638907
MissiveWindspear (Off),329790.68618226395,329790.68618226395,329790.68618226395,329790.68618226395,329790.68618226395
