Weapon,R1,R2,R3,R4,R5
Homa (50%),645602.347485204,661789.749654317,678851.9980145979,696789.0925660466,715601.0333086625
PJWS (Stacked),634034.2465933077,650120.9862922144,666406.915556319,682892.0343856222,699576.3427801239
Homa,611148.4096266998,619132.7549373603,627554.5233436046,636413.7148454331,645710.3294428452
PJWS,607242.5097244742,616662.1757673824,626179.6717288987,635794.9976090231,645508.153407756
CalamityQueller (Stacked),590298.562920201,604965.8655993997,619811.4755783463,634835.3928570405,650037.6174354826
CalamityQueller (Unstacked),584293.0805903395,597346.8589421379,610534.0830957103,623854.7530510564,637308.8688081764
"Vortex (Shielded, Stacked)",581445.8814106642,594523.0043733389,607600.1273360137,620677.2502986887,633754.3732613636
Blackcliff (3 Stacks),573403.6764075129,586191.7720481898,598979.8676888667,611767.9633295435,624556.0589702202
"Vortex (Shielded, Unstacked)",572172.0991110369,582930.7764988046,593689.4538865729,604448.1312743407,615206.8086621088
Deathmatch (1 Opponent),565595.910978668,574078.2214332653,582560.5318878625,591042.8423424596,599525.1527970566
Lithic (4 Stacks),564613.8058557262,586208.2233588444,608206.1362385644,631196.3683487074,654565.4788693424
Blackcliff (2 Stacks),556352.8822199439,564878.2793137284,573403.6764075129,581929.0735012975,590454.4705950822
"Vortex (Unshielded, Stacked)",555291.6354853145,561830.1969666517,568368.7584479892,574907.3199293268,581445.8814106642
Deathmatch (2+ Opponents),554286.1637058718,559941.0373422699,565595.910978668,571250.7846150663,576905.6582514643
"Vortex (Unshielded, Unstacked)",550654.7443355008,556034.0830293847,561413.4217232687,566792.7604171528,572172.0991110369
Lithic (3 Stacks),543763.9768274046,559182.1094463482,575210.177600485,591505.2952425383,608101.3699719136
Blackcliff (1 Stacks),539302.0880323747,543564.786579267,547827.4851261593,552090.1836730515,556352.8822199439
Lithic (2 Stacks),523302.6610129477,533377.9091706953,543527.1598453693,553750.4130369703,564308.9494696193
Blackcliff (0 Stacks),522251.29384480574,522251.29384480574,522251.29384480574,522251.29384480574,522251.29384480574
SkywardSpine,514410.66391268384,521615.4155073306,528820.1671019776,536273.2185951346,543814.0102875688
Lithic (1 Stacks),503526.61133186176,508292.469954376,513120.10027778684,518092.9721543497,523084.3446601442
MissiveWindspear (On),494063.1658285749,497584.644322995,501106.12281741516,504627.6013118356,508149.07980625576
MissiveWindspear (Off),479977.2518508938,479977.2518508938,479977.2518508938,479977.2518508938,479977.2518508938
