Weapon,R1,R2,R3,R4,R5
Homa (50%),597053.8971590366,613241.2993281495,630303.5476884304,648240.642239879,667052.582982495
PJWS (Stacked),583362.330234578,598815.709679248,614468.2786891159,630320.0372641819,646370.9854044467
Homa,562599.9593005322,570584.3046111928,579006.0730174374,587865.2645192656,597161.8791166777
PJWS,558556.4150132238,567839.1762137649,577219.7673329142,586698.1883706715,596274.4393270371
StaffOfTheScarletSands,549447.98257199,549447.98257199,549447.98257199,549447.98257199,549447.98257199
CalamityQueller (Stacked),543993.9016702194,558082.4314485863,572349.2685267013,586794.4129045638,601417.8645821742
"Vortex (Shielded, Stacked)",542822.8617209027,555899.9846835774,568977.1076462524,582054.2306089271,595131.3535716021
CalamityQueller (Unstacked),537988.419340358,550463.4247913247,563071.8760440655,575813.7730985798,588689.1159548681
"Vortex (Shielded, Unstacked)",533549.0794212753,544307.7568090431,555066.4341968113,565825.1115845791,576583.7889723473
Blackcliff (3 Stacks),531437.6949557685,544225.7905964453,557013.8862371221,569801.981877799,582590.0775184759
Lithic (4 Stacks),524507.7905710576,544965.0666764249,565819.1838929321,587618.5002684365,609792.8441904194
Deathmatch (1 Opponent),523842.0220642055,532324.3325188025,540806.6429733998,549288.9534279968,557771.263882594
"Vortex (Unshielded, Stacked)",516668.61579555296,523207.1772768904,529745.7387582277,536284.3002395652,542822.8617209027
Blackcliff (2 Stacks),514386.9007681994,522912.297861984,531437.6949557685,539963.0920495531,548488.4891433377
Deathmatch (2+ Opponents),512532.2747914091,518187.14842780726,523842.0220642055,529496.8957006035,535151.7693370016
"Vortex (Unshielded, Unstacked)",512031.7246457393,517411.0633396232,522790.4020335072,528169.7407273912,533549.0794212753
Lithic (3 Stacks),504477.580088566,519076.0941616796,534252.9698338687,549690.2407285125,565419.5768406312
Blackcliff (1 Stacks),497336.10658063035,501598.8051275225,505861.5036744148,510124.2022213071,514386.9007681994
Lithic (2 Stacks),484835.8828199391,494364.71861380007,503967.55692458746,513644.39775230165,523637.6906188059
Blackcliff (0 Stacks),480285.3123930611,480285.3123930611,480285.3123930611,480285.3123930611,480285.3123930611
SkywardSpine,470745.9334622187,477339.1239862805,483932.31451034243,490752.7284877704,497653.43501142366
Lithic (1 Stacks),465857.2512839128,470362.6464583435,474926.5282667216,479626.1939613413,484344.36028519244
MissiveWindspear (On),459394.44610705064,462915.92460147076,466437.4030958909,469958.8815903113,473480.3600847313
EngulfingLightning,453151.6534261436,461552.52931884374,470563.77422354347,480185.3881402425,490417.3710689409
WavebreakersFin,447460.96130156826,447460.96130156826,447460.96130156826,447460.96130156826,447460.96130156826
MissiveWindspear (Off),445308.53212936944,445308.53212936944,445308.53212936944,445308.53212936944,445308.53212936944
WhiteTassel,429008.00705604523,429008.00705604523,429008.00705604523,429008.00705604523,429008.00705604523
FavoniusLance,412979.5557946096,412979.5557946096,412979.5557946096,412979.5557946096,412979.5557946096
PrototypeStarglitter,396770.8202146104,396770.8202146104,396770.8202146104,396770.8202146104,396770.8202146104
