Weapon,R1,R2,R3,R4,R5
Homa (50%),732457.8596560906,750823.0189408506,770180.7210365334,790530.9659431382,811873.7536606651
PJWS (Stacked),722880.6698690096,741221.6242134098,759789.6803068005,778584.8381491824,797607.0977405555
Homa,693368.6932692808,702427.2050602956,711981.9882567717,722033.0428587088,732580.3688661072
PJWS,692334.6405358032,703074.2725598247,713925.4432861742,724888.1527148522,735962.4008458589
CalamityQueller (Stacked),675779.1192546312,692570.3796591221,709565.7678686754,726765.283883291,744168.9277029686
StaffOfTheScarletSands,674017.2073544686,674017.2073544686,674017.2073544686,674017.2073544686,674017.2073544686
SkywardSpine,669592.099765347,677291.6282367923,686639.1479484194,694093.633126163,703723.160542248
CalamityQueller (Unstacked),668903.9889146618,683848.0721153453,698944.9252735651,714194.5483893213,729596.9414626135
"Vortex (Shielded, Stacked)",665644.4896123676,680615.2979341485,695586.1062559291,710556.9145777094,725527.7228994903
"Vortex (Shielded, Unstacked)",655027.779987329,667344.4109028501,679661.0418183712,691977.6727338919,704294.303649413
Blackcliff (3 Stacks),652599.825798396,667154.1604334392,681708.4950684824,696262.8297035254,710817.1643385683
Lithic (4 Stacks),645422.0045300927,669337.3404156691,694246.1137145298,719545.3050972865,745236.0535870126
EngulfingLightning,642647.5840315972,653625.7878540633,665401.6174843898,677975.0729225761,691346.1541686225
Deathmatch (1 Opponent),641204.9596745303,650821.1881999024,660437.4167252741,670053.6452506464,679669.8737760183
"Vortex (Unshielded, Stacked)",635702.8729688065,643188.2771296966,650673.6812905871,658159.0854514774,665644.4896123676
Blackcliff (2 Stacks),633194.046285005,642896.9360417007,652599.825798396,662302.7155550914,672005.605311787
"Vortex (Unshielded, Unstacked)",630394.5181562871,636552.8336140474,642711.149071808,648869.4645295687,655027.779987329
Deathmatch (2+ Opponents),628383.3216407009,634794.1406576156,641204.9596745303,647615.778691445,654026.5977083596
Lithic (3 Stacks),621624.3891109255,639212.9172775657,656991.2493065017,675245.5947792206,693950.2392963729
Blackcliff (1 Stacks),613788.2667716143,618639.711649962,623491.1565283097,628342.6014066574,633194.046285005
Lithic (2 Stacks),598725.9475696092,609873.4913320453,621341.4125347103,633003.8300250386,644750.6047874985
Blackcliff (0 Stacks),594382.4872582235,594382.4872582235,594382.4872582235,594382.4872582235,594382.4872582235
FavoniusLance,587883.6267918618,587883.6267918618,587883.6267918618,587883.6267918618,587883.6267918618
Lithic (1 Stacks),576317.1305512193,581779.6571127255,587262.4100959975,592765.3895010352,598288.5953278388
MissiveWindspear (On),565607.9686321783,569639.3889759124,573670.8093196463,577702.2296633802,581733.6500071145
PrototypeStarglitter,563802.0686159114,563802.0686159114,563802.0686159114,563802.0686159114,563802.0686159114
WavebreakersFin,557027.6423821663,557027.6423821663,557027.6423821663,557027.6423821663,557027.6423821663
MissiveWindspear (Off),549482.2872572424,549482.2872572424,549482.2872572424,549482.2872572424,549482.2872572424
WhiteTassel,529677.6155843434,529677.6155843434,529677.6155843434,529677.6155843434,529677.6155843434
