Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),548332.9113229038,563548.4011528459,578963.0805479864,594576.9495083252,610390.0080338619
PJWS,523877.4348171558,533031.0519444379,542282.4989903283,551631.7759548267,561078.8828379333
Homa (50%),567019.6419273621,584216.36520514,602342.4833112512,621397.9962456962,641382.9040084747
Homa,530417.4231777113,538899.6104630583,547846.4951625722,557258.077276253,567134.3568041007
"Vortex (Shielded, Stacked)",523158.4617180742,537050.9728516825,550943.4839852902,564835.9951188982,578728.5062525062
"Vortex (Shielded, Unstacked)",513146.14361319324,524535.5752205811,535925.0068279688,547314.4384353565,558703.8700427441
CalamityQueller (Stacked),512609.846821493,526471.7031137284,540511.8667057113,554730.3375974423,569127.1157889212
CalamityQueller (Unstacked),506155.749511892,518291.92773179227,530561.5517534663,542964.6215769142,555501.1372021361
"Vortex (Unshielded, Stacked)",495373.4394508583,502319.69501766236,509265.9505844665,516212.2061512706,523158.4617180742
"Vortex (Unshielded, Unstacked)",490367.2803984178,496061.99620211177,501756.71200580575,507451.4278094997,513146.14361319324
StaffOfTheScarletSands,516349.30673255154,516349.30673255154,516349.30673255154,516349.30673255154,516349.30673255154
SkywardSpine,439576.9846294195,445733.62795576494,451890.2712821103,458259.09318158333,464702.8913110122
EngulfingLightning,427871.86341135955,436785.46695593814,446345.4817733069,456551.9078634657,467404.74522641493
Lithic (4 Stacks),501663.7211496447,521821.571730449,542391.7909585834,563900.8816065175,585803.0500268306
Lithic (3 Stacks),481519.7837966034,495893.3461935443,510837.6012722389,526049.2714000524,541558.9021028762
Lithic (2 Stacks),461788.5843343487,471154.76322761155,480599.55886197666,490122.97123744414,499956.48523940396
Lithic (1 Stacks),442731.04587491206,447156.61110492784,451639.759803388,456254.0596015551,460888.0135849976
Deathmatch (1 Opponent),498728.351555893,507739.5532372991,516750.75491870526,525761.9566001114,534773.1582815174
Deathmatch (2+ Opponents),486713.41598068463,492720.88376828877,498728.351555893,504735.81934349716,510743.2871311012
Blackcliff (3 Stacks),506474.86762421194,520060.32992909563,533645.7922339791,547231.2545388626,560816.7168437464
Blackcliff (2 Stacks),488360.91788436734,497417.89275428955,506474.86762421194,515531.8424941342,524588.8173640567
Blackcliff (1 Stacks),470246.9681445226,474775.45557948365,479303.94301444484,483832.43044940603,488360.91788436734
Blackcliff (0 Stacks),452133.01840467774,452133.01840467774,452133.01840467774,452133.01840467774,452133.01840467774
MissiveWindspear (On),440042.14308857056,443783.1937256357,447524.24436270085,451265.2949997661,455006.34563683136
MissiveWindspear (Off),425077.9405403099,425077.9405403099,425077.9405403099,425077.9405403099,425077.9405403099
WavebreakersFin,421175.34183170146,421175.34183170146,421175.34183170146,421175.34183170146,421175.34183170146
FavoniusLance,387638.56111572287,387638.56111572287,387638.56111572287,387638.56111572287,387638.56111572287
PrototypeStarglitter,373513.7925927615,373513.7925927615,373513.7925927615,373513.7925927615,373513.7925927615
WhiteTassel,406505.1330283382,406505.1330283382,406505.1330283382,406505.1330283382,406505.1330283382
