Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),647238.5448381432,667673.5546783913,688635.7808260072,709876.6099016109,731396.0419052014
PJWS,618674.1505782044,632004.0267440643,645467.3042573802,659212.7183763457,673214.591171781
Homa (50%),673520.0538425017,701035.9715645515,730038.9837298063,760529.0903382667,792506.2913899322
Homa,616294.7139454928,629545.3713286702,643521.9672009228,658224.5015622491,673703.6053865282
"Vortex (Shielded, Stacked)",657363.1773576846,679805.0006467178,702246.8239357516,724688.6472247851,747130.4705138186
"Vortex (Shielded, Unstacked)",640648.139671848,658911.2035394222,677174.2674069968,695437.3312745711,713700.3951421453
CalamityQueller (Stacked),623299.250313982,642304.1886749987,661559.6230574864,681065.5534614446,700821.9798868735
CalamityQueller (Unstacked),612622.9640886717,628801.2710686148,645167.0501401303,661720.3013032179,678461.0245578778
"Vortex (Unshielded, Stacked)",612479.5307796177,623700.4424241345,634921.3540686511,646142.2657131678,657363.1773576846
"Vortex (Unshielded, Unstacked)",604122.0119366994,613253.5438704866,622385.0758042736,631516.6077380609,640648.139671848
StaffOfTheScarletSands,580833.9918510546,580833.9918510546,580833.9918510546,580833.9918510546,580833.9918510546
SkywardSpine,510663.84421340376,517774.33131842455,524884.8184234455,532137.2843448276,539562.5596944271
EngulfingLightning,503356.4912843719,517718.0051055841,533116.9193956382,549553.2341545346,567026.9493822732
Lithic (4 Stacks),606632.5224006707,632711.3717575041,659818.4801733599,687486.599671793,715717.4308322227
Lithic (3 Stacks),578323.7271624728,597326.2000203514,616647.7568212594,636425.6971307117,656832.9384827402
Lithic (2 Stacks),551122.0504143748,563148.24987223,575423.936032821,588019.877640032,600742.5286961593
Lithic (1 Stacks),524558.5436005124,530404.5035847592,536280.8526134936,542187.5906867153,548124.7178044246
Deathmatch (1 Opponent),564068.6572885755,578136.8173454283,592485.7574530375,606893.1459171921,621300.5343813469
Deathmatch (2+ Opponents),545501.857981499,554689.8839173407,564068.6572885755,573447.4306598107,582880.8318102675
Blackcliff (3 Stacks),590623.3534178385,612432.3232769175,634241.2931359962,656050.2629950756,677859.2328541542
Blackcliff (2 Stacks),561561.6108525047,576084.0401784525,590623.3534178385,605162.6666572245,619701.9798966104
Blackcliff (1 Stacks),533195.7398537027,540287.2076034031,547378.6753531036,554470.143102804,561561.6108525047
Blackcliff (0 Stacks),504829.86885490053,504829.86885490053,504829.86885490053,504829.86885490053,504829.86885490053
MissiveWindspear (On),525934.5570894731,531977.8128050824,538021.0685206917,544064.324236301,550107.5799519105
MissiveWindspear (Off),501761.5342270356,501761.5342270356,501761.5342270356,501761.5342270356,501761.5342270356
WavebreakersFin,492273.3226539281,492273.3226539281,492273.3226539281,492273.3226539281,492273.3226539281
FavoniusLance,440339.27186066663,440339.27186066663,440339.27186066663,440339.27186066663,440339.27186066663
PrototypeStarglitter,418848.6456032889,418848.6456032889,418848.6456032889,418848.6456032889,418848.6456032889
WhiteTassel,441457.24890113814,441457.24890113814,441457.24890113814,441457.24890113814,441457.24890113814
