Weapon,R1,R2,R3,R4,R5
PJWS,1259606.5746116035,1276963.3264263913,1294460.45035806,1312097.9464066098,1329875.8145720412
Homa (50%),1348770.3314918622,1381399.2708673393,1415791.6373224838,1451947.4308572956,1489866.6514717746
Homa,1279321.5442258825,1295415.5855286631,1312391.3403712763,1330248.8087537237,1348987.9906760047
LumidouceElegy,1274110.5670554375,1287371.5943339982,1300632.621612559,1313893.6488911195,1327154.6761696804
"Vortex (Shielded, Stacked)",1225519.1403703263,1252222.8397196713,1278926.5390690158,1305630.2384183602,1332333.9377677047
"Vortex (Shielded, Unstacked)",1206732.2526771752,1228739.2301032324,1250746.207529289,1272753.1849553457,1294760.1623814024
CalamityQueller (Stacked),1208183.146626535,1233474.6362327584,1259022.4948886484,1284826.7225942044,1310887.3193494263
CalamityQueller (Unstacked),1196251.082707691,1218400.4028680965,1240742.4306917263,1263277.1661785792,1286004.609328656
"Vortex (Unshielded, Stacked)",1172111.7416716374,1185463.5913463095,1198815.4410209819,1212167.290695654,1225519.1403703263
"Vortex (Unshielded, Unstacked)",1162718.297825062,1173721.78653809,1184725.2752511185,1195728.7639641466,1206732.2526771752
StaffOfTheScarletSands,1258200.2782242731,1258200.2782242731,1258200.2782242731,1258200.2782242731,1258200.2782242731
SkywardSpine,1079828.4108504136,1094558.6760234684,1109288.9411965234,1124238.8632086765,1139568.2079964634
EngulfingLightning,1042821.2674933957,1060164.9203869093,1078789.3071085082,1098694.427658193,1119880.2820359631
Lithic (4 Stacks),1198093.6789514644,1242165.3240554058,1286913.381548119,1332339.8257011496,1378446.630786044
Lithic (3 Stacks),1155246.0634532438,1187026.261474572,1219693.9398717978,1252121.1787799455,1286861.143833086
Lithic (2 Stacks),1113170.7341524584,1133953.00196802,1154882.3719164275,1175958.8439976794,1197413.9116555555
Lithic (1 Stacks),1072634.0730772503,1082516.3229741293,1092433.8527439572,1102544.6230741001,1112843.8181488533
Deathmatch (1 Opponent),1213804.106728249,1230885.6207900948,1247967.1348519414,1265048.6489137872,1282130.162975634
Deathmatch (2+ Opponents),1191028.754645787,1202416.4306870182,1213804.106728249,1225191.7827694796,1236579.4588107108
Blackcliff (3 Stacks),1222207.9356748043,1248091.2583931035,1273974.581111403,1299857.903829702,1325741.2265480012
Blackcliff (2 Stacks),1187696.8387170723,1204952.3871959387,1222207.9356748043,1239463.4841536705,1256719.0326325367
Blackcliff (1 Stacks),1153185.74175934,1161813.5159987733,1170441.2902382063,1179069.064477639,1187696.8387170723
Blackcliff (0 Stacks),1118674.6448016083,1118674.6448016083,1118674.6448016083,1118674.6448016083,1118674.6448016083
MissiveWindspear (On),1060237.16130756,1067428.0780901415,1074618.9948727228,1081809.9116553045,1089000.8284378862
MissiveWindspear (Off),1031473.4941772334,1031473.4941772334,1031473.4941772334,1031473.4941772334,1031473.4941772334
WavebreakersFin,1030166.5104343477,1030166.5104343477,1030166.5104343477,1030166.5104343477,1030166.5104343477
FavoniusLance,962606.0551245811,962606.0551245811,962606.0551245811,962606.0551245811,962606.0551245811
PrototypeStarglitter,932358.691190651,932358.691190651,932358.691190651,932358.691190651,932358.691190651
WhiteTassel,1019855.5994101419,1019855.5994101419,1019855.5994101419,1019855.5994101419,1019855.5994101419
