Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),602171.628952818,618020.4790369972,634068.5186863744,650315.74790095,666762.1666807237
PJWS,575730.3307995908,585020.85276924,594409.2046574974,603895.3864643631,613479.3981898366
Homa (50%),618761.8638284575,635958.5871062353,654084.7052123466,673140.2181467914,693125.12590957
Homa,582159.6450788067,590641.8323641537,599588.7170636677,609000.2991773485,618876.578705196
"Vortex (Shielded, Stacked)",564322.3061219988,578214.817255607,592107.3283892148,605999.8395228228,619892.3506564307
"Vortex (Shielded, Unstacked)",554309.9880171177,565699.4196245057,577088.8512318933,588478.282839281,599867.7144466686
CalamityQueller (Stacked),561808.3725756331,576249.0017687001,590867.9382615149,605665.1820540775,620640.7331463882
CalamityQueller (Unstacked),555354.2752660322,568069.226386764,580917.6233092697,593899.4660335493,607014.7545596029
"Vortex (Unshielded, Stacked)",536537.2838547828,543483.5394215869,550429.794988391,557376.0505551948,564322.3061219988
"Vortex (Unshielded, Unstacked)",531531.1248023424,537225.8406060364,542920.5564097301,548615.2722134241,554309.9880171177
StaffOfTheScarletSands,568190.3375693384,568190.3375693384,568190.3375693384,568190.3375693384,568190.3375693384
SkywardSpine,555831.3633097882,563492.0861242007,571253.1883124122,579014.2905006239,586775.3926888356
EngulfingLightning,536956.3089538364,547160.6826913254,558105.0738844579,569789.4825332344,582213.9086376545
Lithic (4 Stacks),544408.1203732288,565777.9194743268,587567.1792406831,610345.5303035887,633521.0633329082
Lithic (3 Stacks),523390.6456696095,538637.7454171285,554489.1888815613,570615.1394130411,587048.5273431926
Lithic (2 Stacks),502785.9088567767,512734.4459837583,522761.59985184215,532867.3704610284,543303.3127141708
Lithic (1 Stacks),482878.49390627927,487581.6572354585,492345.9052089566,497251.3841239831,502176.5172242851
Deathmatch (1 Opponent),543229.0301755222,552240.2318569284,561251.4335383346,570262.6352197406,579273.8369011467
Deathmatch (2+ Opponents),531214.0946003139,537221.5623879179,543229.0301755222,549236.4979631263,555243.9657507302
Blackcliff (3 Stacks),551201.5913401085,564787.0536449921,578372.5159498756,591957.9782547591,605543.4405596429
Blackcliff (2 Stacks),533087.6416002637,542144.616470186,551201.5913401085,560258.5662100308,569315.5410799532
Blackcliff (1 Stacks),514973.691860419,519502.1792953801,524030.66673034127,528559.1541653024,533087.6416002637
Blackcliff (0 Stacks),496859.74212057417,496859.74212057417,496859.74212057417,496859.74212057417,496859.74212057417
MissiveWindspear (On),476991.55294215586,480732.60357922106,484473.6542162862,488214.7048533514,491955.75549041666
MissiveWindspear (Off),462027.35039389523,462027.35039389523,462027.35039389523,462027.35039389523,462027.35039389523
WavebreakersFin,462855.23944587156,462855.23944587156,462855.23944587156,462855.23944587156,462855.23944587156
FavoniusLance,488779.89142758667,488779.89142758667,488779.89142758667,488779.89142758667,488779.89142758667
PrototypeStarglitter,469901.97649037023,469901.97649037023,469901.97649037023,469901.97649037023,469901.97649037023
WhiteTassel,444461.2517475367,444461.2517475367,444461.2517475367,444461.2517475367,444461.2517475367
