Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),447936.269870786,461970.69066428224,476204.30102297675,490637.1009468694,505269.09043596033
PJWS,427183.887211,436082.2087633268,445078.3602342617,454172.3416238047,463364.1529319559
Homa (50%),461798.4299772775,478995.1532550553,497121.2713611666,516176.7842956116,536161.6920583901
Homa,425196.21122762666,433678.39851297374,442625.2832124877,452036.8653261685,461913.14485401596
"Vortex (Shielded, Stacked)",439449.07627682126,453341.5874104293,467234.09854403714,481126.60967764526,495019.12081125303
"Vortex (Shielded, Unstacked)",429436.7581719402,440826.189779328,452215.6213867156,463605.0529941035,474994.484601491
CalamityQueller (Stacked),428268.0932768747,441137.7507051808,454185.71543323476,467411.9874610364,480816.56678858603
CalamityQueller (Unstacked),421813.9959672737,432957.97532324475,444235.4004809896,455646.27144050825,467190.5882018009
"Vortex (Unshielded, Stacked)",411664.0540096053,418610.3095764093,425556.56514321343,432502.82071001746,439449.07627682126
"Vortex (Unshielded, Unstacked)",406657.8949571648,412352.6107608587,418047.32656455267,423742.04236824653,429436.7581719402
StaffOfTheScarletSands,400880.3230688535,400880.3230688535,400880.3230688535,400880.3230688535,400880.3230688535
SkywardSpine,403392.93583284004,408952.68231476925,414585.27882454253,420217.8753343161,425850.4718440897
EngulfingLightning,394000.30908523616,404204.6828227249,415149.0740158576,426833.48266463407,439257.90876905416
Lithic (4 Stacks),409478.8690229668,427022.9667576023,444964.1381152871,463735.87402693526,482891.8363871143
Lithic (3 Stacks),391218.84893049946,403708.4940668666,416696.25826700457,429936.1424919808,443453.5490683945
Lithic (2 Stacks),373371.5667288186,381481.8007816989,389670.6515756814,397938.11911076633,406472.4042017821
Lithic (1 Stacks),356146.91725782113,359973.79961506696,363850.7146180491,367837.0419960249,371843.0235592763
Deathmatch (1 Opponent),385905.25249518,394916.454176586,403927.6558579921,412938.85753939825,421950.05922080437
Deathmatch (2+ Opponents),373890.3169199716,379897.7847075756,385905.25249518,391912.72028278396,397920.18807038816
Blackcliff (3 Stacks),402169.9910550862,415755.4533599698,429340.9156648532,442926.3779697368,456511.84027462045
Blackcliff (2 Stacks),384056.0413152415,393113.0161851637,402169.9910550862,411226.9659250084,420283.94079493085
Blackcliff (1 Stacks),365942.0915753968,370470.5790103578,374999.06644531904,379527.55388028023,384056.0413152415
Blackcliff (0 Stacks),347828.1418355518,347828.1418355518,347828.1418355518,347828.1418355518,347828.1418355518
MissiveWindspear (On),353874.33749295294,357615.38813001814,361356.4387670833,365097.4894041485,368838.5400412137
MissiveWindspear (Off),338910.13494469225,338910.13494469225,338910.13494469225,338910.13494469225,338910.13494469225
WavebreakersFin,337766.98742975824,337766.98742975824,337766.98742975824,337766.98742975824,337766.98742975824
FavoniusLance,346705.96245838294,346705.96245838294,346705.96245838294,346705.96245838294,346705.96245838294
PrototypeStarglitter,328956.2777413249,328956.2777413249,328956.2777413249,328956.2777413249,328956.2777413249
WhiteTassel,301911.8332739716,301911.8332739716,301911.8332739716,301911.8332739716,301911.8332739716
