Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),900332.5824631671,923369.2282401159,946684.4769450518,970278.3285779756,994150.7831388866
PJWS,863318.183536352,877219.8762572795,891258.4019580964,905433.7606388036,919745.9522993998
Homa (50%),926252.7739284993,952364.1908861627,979886.7962131985,1008820.5899096057,1039165.5719753861
Homa,870676.1515737755,883555.4615064358,897140.3656237819,911430.8639258142,926426.9564125331
"Vortex (Shielded, Stacked)",854409.7768441746,875706.0974361126,897002.4180280502,918298.7386199884,939595.0592119262
"Vortex (Shielded, Unstacked)",838732.275373576,856109.220597864,873486.1658221522,890863.1110464406,908240.0562707287
CalamityQueller (Stacked),843034.0343138467,864089.4012562572,885395.2642201382,906951.6232054898,928758.4782123121
CalamityQueller (Unstacked),832987.9873875207,851374.2827736037,869948.0502512587,888709.2898204857,907658.0014812853
"Vortex (Unshielded, Stacked)",811817.1356602986,822465.2959562675,833113.4562522367,843761.6165482055,854409.7768441746
"Vortex (Unshielded, Unstacked)",803978.3849249993,812666.8575371433,821355.3301492876,830043.8027614317,838732.275373576
StaffOfTheScarletSands,844892.6680332618,844892.6680332618,844892.6680332618,844892.6680332618,844892.6680332618
SkywardSpine,731189.6101940214,741168.9280368432,751399.5452890989,761630.1625413545,771860.7797936103
EngulfingLightning,708291.9032815675,721933.1087526719,736561.0805181026,752175.8185778596,768777.322931943
Lithic (4 Stacks),822823.2335342746,854301.175865097,886961.0059078669,920168.2657599087,953924.5691976084
Lithic (3 Stacks),790925.9585324689,813991.935720783,837374.9391090571,861260.2856303096,885878.8458336486
Lithic (2 Stacks),760270.3509020447,774910.9557222606,789842.5130135869,805160.6379072914,820599.0045929126
Lithic (1 Stacks),730220.3389639393,737382.0329784397,744572.5648830506,751791.9346777721,759040.1423626039
Deathmatch (1 Opponent),815664.0466854727,829336.0357958744,843008.0249062763,856680.0140166779,870352.0031270795
Deathmatch (2+ Opponents),797434.7278716037,806549.3872785383,815664.0466854727,824778.706092407,833893.3654993417
Blackcliff (3 Stacks),829900.7614497886,850596.5314822451,871292.3015147008,891988.0715471574,912683.8415796134
Blackcliff (2 Stacks),802306.4014065139,816103.5814281512,829900.7614497886,843697.9414714263,857495.1214930634
Blackcliff (1 Stacks),774712.0413632387,781610.6313740578,788509.2213848764,795407.8113956953,802306.4014065139
Blackcliff (0 Stacks),747117.6813199637,747117.6813199637,747117.6813199637,747117.6813199637,747117.6813199637
MissiveWindspear (On),723061.5742924525,728796.362837979,734531.1513835053,740265.9399290317,746000.7284745584
MissiveWindspear (Off),700122.4201103466,700122.4201103466,700122.4201103466,700122.4201103466,700122.4201103466
WavebreakersFin,698558.244894839,698558.244894839,698558.244894839,698558.244894839,698558.244894839
FavoniusLance,644939.4021667662,644939.4021667662,644939.4021667662,644939.4021667662,644939.4021667662
PrototypeStarglitter,621077.9179911739,621077.9179911739,621077.9179911739,621077.9179911739,621077.9179911739
WhiteTassel,672042.4828062712,672042.4828062712,672042.4828062712,672042.4828062712,672042.4828062712
