Weapon,R1,R2,R3,R4,R5
PJWS,1264429.9096424002,1281542.4790405042,1298795.4205554894,1316188.7341873564,1333722.4199361044
Homa (50%),1347851.4981492104,1379048.0053869144,1411930.5240827587,1446499.0542367427,1482753.595848866
Homa,1281451.5588296615,1296839.061016246,1313069.5689319004,1330143.0825766248,1348059.6019504191
LumidouceElegy,1276498.6322506336,1289177.4326189961,1301856.232987359,1314535.0333557208,1327213.8337240836
"Vortex (Shielded, Stacked)",1218697.1221599802,1244228.4618202557,1269759.801480531,1295291.1411408065,1320822.4808010818
"Vortex (Shielded, Unstacked)",1200958.2648586645,1222054.890193611,1243151.5155285571,1264248.1408635038,1285344.76619845
CalamityQueller (Stacked),1212188.824437582,1237320.083387764,1262707.7113876124,1288351.7084371273,1314252.0745363082
CalamityQueller (Unstacked),1200893.3743831636,1223041.6173536347,1245382.5679873298,1267916.226284248,1290642.5922443902
"Vortex (Unshielded, Stacked)",1167634.4428394295,1180400.112669567,1193165.782499705,1205931.4523298424,1218697.1221599802
"Vortex (Unshielded, Unstacked)",1158765.0141887714,1169313.3268562448,1179861.639523718,1190409.952191191,1200958.2648586645
StaffOfTheScarletSands,1260995.5246457467,1260995.5246457467,1260995.5246457467,1260995.5246457467,1260995.5246457467
SkywardSpine,1085376.8413394603,1100182.775878686,1114988.7104179116,1130015.4851747626,1145423.5768004565
EngulfingLightning,1044070.296622578,1060675.5050336597,1078509.3990273075,1097571.9786035211,1117863.243762301
Lithic (4 Stacks),1194223.2386667929,1237690.2730450416,1281806.934492761,1326575.1104784647,1371996.6884706654
Lithic (3 Stacks),1152286.390573184,1183641.736694839,1215868.8491111158,1247842.6821976616,1282106.7604927113
Lithic (2 Stacks),1111087.873477763,1131604.692750292,1152262.1464986657,1173060.2347228853,1194230.3677739417
Lithic (1 Stacks),1071392.810100683,1081151.5269614314,1090943.9725407518,1100928.2749333447,1111098.788022206
Deathmatch (1 Opponent),1210823.177800086,1227154.790323001,1243486.4028459163,1259818.0153688313,1276149.6278917463
Deathmatch (2+ Opponents),1189047.6944361993,1199935.4361181427,1210823.177800086,1221710.9194820295,1232598.6611639725
Blackcliff (3 Stacks),1219280.4940906398,1244027.4960589225,1268774.4980272057,1293521.499995489,1318268.501963772
Blackcliff (2 Stacks),1186284.4914662617,1202782.4927784505,1219280.4940906398,1235778.495402828,1252276.496715017
Blackcliff (1 Stacks),1153288.4888418843,1161537.489497979,1169786.490154073,1178035.4908101675,1186284.4914662617
Blackcliff (0 Stacks),1120292.4862175067,1120292.4862175067,1120292.4862175067,1120292.4862175067,1120292.4862175067
MissiveWindspear (On),1055971.3902714346,1062846.6076876821,1069721.8251039304,1076597.0425201785,1083472.2599364263
MissiveWindspear (Off),1028470.5206064421,1028470.5206064421,1028470.5206064421,1028470.5206064421,1028470.5206064421
WavebreakersFin,1032496.481029116,1032496.481029116,1032496.481029116,1032496.481029116,1032496.481029116
FavoniusLance,965264.317802438,965264.317802438,965264.317802438,965264.317802438,965264.317802438
PrototypeStarglitter,933707.1072191572,933707.1072191572,933707.1072191572,933707.1072191572,933707.1072191572
WhiteTassel,1018397.308979321,1018397.308979321,1018397.308979321,1018397.308979321,1018397.308979321
