Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),598640.8790255453,614357.6135817866,630273.5377032264,646388.6513898645,662702.9546417005
PJWS,572131.2453566606,581251.4320568906,590469.4486757288,599785.2952131755,609198.9716692299
Homa (50%),611400.1748905556,627587.5770596686,644649.8254199493,662586.9199713976,681398.8607140138
Homa,576946.2370320511,584930.5823427117,593352.350748956,602211.5422507846,611508.1568481963
"Vortex (Shielded, Stacked)",554236.1316312004,567313.2545938754,580390.3775565501,593467.5005192251,606544.6234818997
"Vortex (Shielded, Unstacked)",544962.3493315731,555721.0267193412,566479.7041071091,577238.3814948773,587997.058882645
CalamityQueller (Stacked),557955.6397885997,572284.8269193245,586792.3213497966,601478.1230800168,616342.2321099851
CalamityQueller (Unstacked),551950.1574587383,564665.8202620627,577514.9288671607,590497.4832740327,603613.4834826789
"Vortex (Unshielded, Stacked)",528081.8857058508,534620.4471871883,541159.0086685257,547697.5701498633,554236.1316312004
"Vortex (Unshielded, Unstacked)",523444.9945560371,528824.3332499212,534203.6719438052,539583.0106376893,544962.3493315731
StaffOfTheScarletSands,563821.6565068744,563821.6565068744,563821.6565068744,563821.6565068744,563821.6565068744
SkywardSpine,483649.05077916104,490422.96025325,497196.8697273392,504204.2308357889,511294.08530425734
EngulfingLightning,464564.9233364414,472965.7992291417,481977.04413384135,491598.65805054037,501830.64097923884
Lithic (4 Stacks),536359.2921146253,557152.5984372817,578344.7122353959,600495.9493780755,623023.3520142596
Lithic (3 Stacks),516086.8807953742,530927.5957052474,546356.0024493235,562046.7707801728,578032.2319146197
Lithic (2 Stacks),496202.9826899877,505893.28570835484,515657.5912436489,525495.8992958695,535656.2240888592
Lithic (1 Stacks),476988.7106319608,481571.0738854961,486212.89452451695,490993.2938313896,495792.1937674941
Deathmatch (1 Opponent),536180.4774157864,544662.7878703837,553145.0983249808,561627.408779578,570109.7192341752
Deathmatch (2+ Opponents),524870.7301429904,530525.6037793884,536180.4774157864,541835.3510521846,547490.2246885827
Blackcliff (3 Stacks),543838.8245724224,556626.9202130993,569415.0158537764,582203.111494453,594991.20713513
Blackcliff (2 Stacks),526788.0303848536,535313.4274786382,543838.8245724224,552364.2216662072,560889.6187599917
Blackcliff (1 Stacks),509737.2361972844,513999.9347441766,518262.63329106884,522525.3318379612,526788.0303848536
Blackcliff (0 Stacks),492686.4420097152,492686.4420097152,492686.4420097152,492686.4420097152,492686.4420097152
MissiveWindspear (On),469639.20321834186,473160.681712762,476682.1602071822,480203.63870160235,483725.11719602277
MissiveWindspear (Off),455553.28924066067,455553.28924066067,455553.28924066067,455553.28924066067,455553.28924066067
WavebreakersFin,459017.3144117445,459017.3144117445,459017.3144117445,459017.3144117445,459017.3144117445
FavoniusLance,423880.11090534343,423880.11090534343,423880.11090534343,423880.11090534343,423880.11090534343
PrototypeStarglitter,407015.57732590166,407015.57732590166,407015.57732590166,407015.57732590166,407015.57732590166
WhiteTassel,439531.8887284827,439531.8887284827,439531.8887284827,439531.8887284827,439531.8887284827
