Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),547968.9626668157,563052.3369688203,578334.900836023,593816.654268424,609497.5972660233
PJWS,523445.15064541023,532428.4325032731,541509.5442797444,550688.4859748237,559965.2575885111
Homa (50%),562851.724564388,579039.1267335011,596101.3750937819,614038.4696452302,632850.4103878463
Homa,528397.7867058835,536382.1320165442,544803.9004227886,553663.091924617,562959.7065220288
"Vortex (Shielded, Stacked)",515613.11194143916,528690.234904114,541767.3578667886,554844.4808294637,567921.6037921383
"Vortex (Shielded, Unstacked)",506339.3296418117,517098.0070295797,527856.6844173475,538615.3618051157,549374.0391928836
CalamityQueller (Stacked),511650.978538618,525401.392768511,539330.1142981516,553437.1431275402,567722.4792566766
CalamityQueller (Unstacked),505645.4962087566,517782.3861112492,530052.7218155158,542456.5033215561,554993.7306293704
"Vortex (Unshielded, Stacked)",489458.86601608945,495997.42749742686,502535.9889787642,509074.5504601017,515613.11194143916
"Vortex (Unshielded, Unstacked)",484821.97486627573,490201.31356015976,495580.65225404367,500959.9909479278,506339.3296418117
StaffOfTheScarletSands,515180.49619396986,515180.49619396986,515180.49619396986,515180.49619396986,515180.49619396986
SkywardSpine,503085.6526987215,510019.4099345193,517044.0210265742,524068.6321186291,531093.243210684
EngulfingLightning,487622.1332405753,497239.5317374506,507555.68618471955,518570.59658238216,530284.2629304383
Lithic (4 Stacks),496253.2768299567,515909.4417548622,535957.7598897638,556918.0812978043,578250.7173353367
Lithic (3 Stacks),476800.48405653576,490821.5804205787,505398.7946827071,520231.71626614686,535350.438783337
Lithic (2 Stacks),457736.20449697913,466880.0951514596,476097.98832286696,485389.88401120086,494984.96523804584
Lithic (1 Stacks),439319.3505840118,443641.2503894636,448019.3225134516,452526.5156383811,457052.20939254225
Deathmatch (1 Opponent),494426.5885013237,502908.89895592106,511391.2094105182,519873.5198651153,528355.8303197125
Deathmatch (2+ Opponents),483116.8412285276,488771.7148649256,494426.5885013237,500081.46213772194,505736.3357741199
Blackcliff (3 Stacks),501872.8431206779,514660.93876135495,527449.0344020318,540237.1300427085,553025.2256833855
Blackcliff (2 Stacks),484822.04893310904,493347.44602689357,501872.8431206779,510398.24021446274,518923.6373082473
Blackcliff (1 Stacks),467771.25474553986,472033.9532924321,476296.6518393244,480559.35038621677,484822.04893310904
Blackcliff (0 Stacks),450720.4605579706,450720.4605579706,450720.4605579706,450720.4605579706,450720.4605579706
MissiveWindspear (On),434970.48349681747,438491.96199123765,442013.4404856579,445534.9189800781,449056.3974744985
MissiveWindspear (Off),420884.56951913633,420884.56951913633,420884.56951913633,420884.56951913633,420884.56951913633
WavebreakersFin,419910.0947258724,419910.0947258724,419910.0947258724,419910.0947258724,419910.0947258724
FavoniusLance,443032.09387122473,443032.09387122473,443032.09387122473,443032.09387122473,443032.09387122473
PrototypeStarglitter,426266.04111033765,426266.04111033765,426266.04111033765,426266.04111033765,426266.04111033765
WhiteTassel,403918.5989139199,403918.5989139199,403918.5989139199,403918.5989139199,403918.5989139199
