Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),453477.66639692755,467379.9716624861,481481.4664932429,495782.15088919806,510282.02485035127
PJWS,432656.948221484,441384.93450439174,450210.7507059073,459134.39682603144,468155.87286476337
Homa (50%),464125.2572050556,480312.65937416867,497374.9077344495,515312.0022858981,534123.9430285142
Homa,429671.3193465513,437655.664657212,446077.4330634563,454936.6245652846,464233.2391626966
"Vortex (Shielded, Stacked)",437070.6606973295,450147.7836600044,463224.9066226791,476302.029585354,489379.1525480288
"Vortex (Shielded, Unstacked)",427796.8783977021,438555.5557854702,449314.23317323806,460072.91056100605,470831.58794877405
CalamityQueller (Stacked),432270.2193136461,445028.4346796097,457964.95734532125,471079.78731078055,484372.9245759876
CalamityQueller (Unstacked),426264.7369837846,437409.428022348,448687.5648626853,460099.1475047965,471644.17594868154
"Vortex (Unshielded, Stacked)",410916.41477197973,417454.97625331726,423993.53773465473,430532.09921599214,437070.6606973295
"Vortex (Unshielded, Unstacked)",406279.5236221661,411658.86231605016,417038.2010099341,422417.53970381815,427796.8783977021
StaffOfTheScarletSands,406838.7974488796,406838.7974488796,406838.7974488796,406838.7974488796,406838.7974488796
SkywardSpine,409983.4419929371,415634.021853894,421358.6419434022,427083.26203291037,432807.8821224185
EngulfingLightning,397706.0266126493,407323.42510952475,417639.57955679373,428654.4899544564,440368.15630251245
Lithic (4 Stacks),409758.50428517035,426962.24939595046,444543.7967727735,462935.72576245765,481691.6644028298
Lithic (3 Stacks),392073.34460099705,404326.8078757923,417068.29501331516,430051.13852819585,443300.6062958607
Lithic (2 Stacks),374776.69813068834,382742.16672567034,390781.6378375791,398895.11146641447,407271.15825817356
Lithic (1 Stacks),358079.5987380955,361839.7691735684,365649.0271769101,369567.0092720902,373503.49199650215
Deathmatch (1 Opponent),388567.4580050869,397049.76845968404,405532.0789142812,414014.38936887844,422496.6998234755
Deathmatch (2+ Opponents),377257.71073229064,382912.58436868875,388567.4580050869,394222.3316414851,399877.205277883
Blackcliff (3 Stacks),404006.150643252,416794.2462839289,429582.34192460595,442370.43756528257,455158.53320595954
Blackcliff (2 Stacks),386955.3564556831,395480.75354946766,404006.150643252,412531.5477370368,421056.94483082124
Blackcliff (1 Stacks),369904.56226811395,374167.2608150062,378429.95936189836,382692.6579087908,386955.3564556831
Blackcliff (0 Stacks),352853.7680805448,352853.7680805448,352853.7680805448,352853.7680805448,352853.7680805448
MissiveWindspear (On),354121.35727123625,357642.8357656564,361164.3142600766,364685.7927544968,368207.27124891727
MissiveWindspear (Off),340035.4432935551,340035.4432935551,340035.4432935551,340035.4432935551,340035.4432935551
WavebreakersFin,341650.0934794941,341650.0934794941,341650.0934794941,341650.0934794941,341650.0934794941
FavoniusLance,351957.3117334702,351957.3117334702,351957.3117334702,351957.3117334702,351957.3117334702
PrototypeStarglitter,333709.2321576862,333709.2321576862,333709.2321576862,333709.2321576862,333709.2321576862
WhiteTassel,305781.28607719933,305781.28607719933,305781.28607719933,305781.28607719933,305781.28607719933
