Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),932677.0711794901,958305.2261066395,984256.4959473964,1010530.8807017616,1037128.3803697346
PJWS,895142.6311145752,911428.4508279592,927972.7348195761,944718.7841986113,961633.7993574977
Homa (50%),957220.8212840166,987572.2772572087,1019564.0739952213,1053196.2114980547,1088468.6897657083
Homa,893138.8562801392,907821.6869244884,923381.0652735758,939992.09142939,957423.2879676144
"Vortex (Shielded, Stacked)",934596.830018339,960368.5353417207,986140.2406651021,1011911.9459884843,1037683.651311866
"Vortex (Shielded, Unstacked)",918425.3016611114,940154.1248951863,961882.9481292609,983611.771363336,1005340.5945974109
CalamityQueller (Stacked),902450.1053126128,926580.9615260598,951011.1510753568,975740.673960503,1000769.5301814986
CalamityQueller (Unstacked),892119.5526695073,913508.2620048892,935132.5011892057,956992.2702224561,979087.5691046404
"Vortex (Unshielded, Stacked)",883053.4193715758,895939.2720332664,908825.1246949572,921710.9773566481,934596.830018339
"Vortex (Unshielded, Unstacked)",874967.6551929619,885832.0668099992,896696.4784270367,907560.8900440738,918425.3016611114
StaffOfTheScarletSands,846877.9049336931,846877.9049336931,846877.9049336931,846877.9049336931,846877.9049336931
SkywardSpine,766661.2893497812,772900.0636761461,784139.6870295372,790093.0658968618,802000.101845349
EngulfingLightning,758047.0024567554,774680.6790663605,792531.3611062154,811599.0485763208,831883.7414766765
Lithic (4 Stacks),880888.6518897318,911339.3364794,942308.8539203028,973798.8179888267,1005810.8424613585
Lithic (3 Stacks),848149.6995615959,870337.5723605058,890962.9907023271,912297.8673763174,937950.307153792
Lithic (2 Stacks),813348.4978396582,830324.4305964975,842236.3504045513,859786.49283128,871600.3268208363
Lithic (1 Stacks),782873.9827884653,791296.6836346018,798880.1580884636,803186.3474217282,811257.3525869793
Deathmatch (1 Opponent),839739.1665974885,855539.5448211781,871339.9230448676,887140.3012685572,902940.6794922468
Deathmatch (2+ Opponents),818671.9956325693,829205.5811150288,839739.1665974885,850272.7520799484,860806.3375624078
Blackcliff (3 Stacks),866108.538276435,890323.3739829717,914538.2096895083,938753.0453960451,962967.8811025815
Blackcliff (2 Stacks),833822.09066772,849965.3144720776,866108.538276435,882251.7620807929,898394.9858851507
Blackcliff (1 Stacks),801535.6430590043,809607.2549611831,817678.866863362,825750.478765541,833822.09066772
Blackcliff (0 Stacks),769476.3934723537,769476.3934723537,769476.3934723537,769476.3934723537,769476.3934723537
MissiveWindspear (On),785240.7408125271,792180.685196308,799120.6295800889,806060.5739638696,813000.51834765
MissiveWindspear (Off),757480.9632774045,757480.9632774045,757480.9632774045,757480.9632774045,757480.9632774045
WavebreakersFin,744818.507297402,744818.507297402,744818.507297402,744818.507297402,744818.507297402
FavoniusLance,685316.5440617085,685316.5440617085,685316.5440617085,685316.5440617085,685316.5440617085
PrototypeStarglitter,661825.3965209605,661825.3965209605,661825.3965209605,661825.3965209605,661825.3965209605
WhiteTassel,700074.6450811921,700074.6450811921,700074.6450811921,700074.6450811921,700074.6450811921
