Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),581785.8328159569,598930.8603956423,616312.8766025795,633931.8814367683,651787.8748982088
PJWS,556382.0034671138,567199.5056451458,578140.6507831906,589205.4388812484,600393.8699393192
Homa (50%),596624.6820146637,615966.4703503433,636353.5832958065,657786.0208510536,680263.7830160849
Homa,555456.8178677283,564997.0464593453,575059.9373558541,585645.4905572545,596753.706063547
"Vortex (Shielded, Stacked)",571791.618365896,587858.3250869472,603925.0318079985,619991.7385290496,636058.4452501008
"Vortex (Shielded, Unstacked)",561960.5910329478,575569.5409207619,589178.490808576,602787.4406963901,616396.3905842043
CalamityQueller (Stacked),554924.9789103623,570839.3477430341,586969.8068830188,603316.3563303156,619878.9960849248
CalamityQueller (Unstacked),548579.7662779527,562791.3561426711,577172.4459907617,591723.0358222242,606443.1256370585
"Vortex (Unshielded, Stacked)",539658.2049237937,547691.5582843192,555724.9116448448,563758.2650053704,571791.618365896
"Vortex (Unshielded, Unstacked)",534742.6912573195,541547.1662012266,548351.6411451336,555156.1160890406,561960.5910329478
StaffOfTheScarletSands,525590.3688657752,525590.3688657752,525590.3688657752,525590.3688657752,525590.3688657752
SkywardSpine,469279.92188676284,474328.087062199,481260.92002314486,486084.2241706047,493269.7099719737
EngulfingLightning,461765.81507442903,472153.8235150326,483303.8464389621,495215.8838462176,507889.9357367996
Lithic (4 Stacks),542122.3429784543,562457.4905074242,583157.1337119981,604222.4116152487,625654.4632402478
Lithic (3 Stacks),520141.2223525414,535487.9441124352,549926.4720163101,564286.1801112026,580213.6213612228
Lithic (2 Stacks),498782.1623284675,509213.46042491874,517972.408036334,528853.5452464164,537518.1580407014
Lithic (1 Stacks),478670.41372511204,483631.76139872987,488107.8831127945,492404.8769321869,497563.4882039953
Deathmatch (1 Opponent),521833.49145372625,531908.4901698556,541983.4888859849,552058.487602114,562133.4863182434
Deathmatch (2+ Opponents),508400.1598322206,515116.82564297353,521833.49145372625,528550.1572644792,535266.8230752319
Blackcliff (3 Stacks),537268.1632803843,552651.0231316173,568033.8829828504,583416.7428340836,598799.6026853166
Blackcliff (2 Stacks),516757.6834787402,527012.9233795623,537268.1632803843,547523.4031812064,557778.6430820284
Blackcliff (1 Stacks),496247.20367709605,501374.82362750726,506502.44357791817,511630.06352832937,516757.6834787402
Blackcliff (0 Stacks),475736.7238754519,475736.7238754519,475736.7238754519,475736.7238754519,475736.7238754519
MissiveWindspear (On),478689.1577406128,483015.68754046434,487342.2173403163,491668.74714016815,495995.2769400199
MissiveWindspear (Off),461383.03854120546,461383.03854120546,461383.03854120546,461383.03854120546,461383.03854120546
WavebreakersFin,453478.0109967886,453478.0109967886,453478.0109967886,453478.0109967886,453478.0109967886
FavoniusLance,416388.51522163174,416388.51522163174,416388.51522163174,416388.51522163174,416388.51522163174
PrototypeStarglitter,401749.036133248,401749.036133248,401749.036133248,401749.036133248,401749.036133248
WhiteTassel,430990.58721547626,430990.58721547626,430990.58721547626,430990.58721547626,430990.58721547626
