Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),684357.8699377945,705091.8014653041,726185.2201000208,747803.1572963822,769705.2383342214
PJWS,657458.9487374221,671450.887071846,685676.9285886734,700047.668962161,714741.2640856901
Homa (50%),704039.5021538006,730638.8960562361,759197.1248288244,789808.8093649186,822568.5705578718
Homa,649045.5355326373,661602.7284964904,674964.5851056012,689129.677597394,704214.7177823716
"Vortex (Shielded, Stacked)",708767.1059524859,734538.8112758675,760310.5165992492,786082.2219226311,811853.9272460128
"Vortex (Shielded, Unstacked)",692595.5775952581,714324.400829333,736053.2240634079,757782.0472974827,779510.8705315576
CalamityQueller (Stacked),666265.5381257338,686868.4404666387,707860.5337113842,729368.9825217763,751163.0805479628
CalamityQueller (Unstacked),656588.4402712458,674622.5532406734,692875.6674027252,711410.9253701968,730395.0327761774
"Vortex (Unshielded, Stacked)",657223.6953057225,670109.5479674133,682995.4006291041,695881.253290795,708767.1059524859
"Vortex (Unshielded, Unstacked)",649137.9311271087,660002.3427441461,670866.7543611834,681731.1659782208,692595.5775952581
StaffOfTheScarletSands,600296.1919657667,600296.1919657667,600296.1919657667,600296.1919657667,600296.1919657667
SkywardSpine,546282.3037072688,553222.4000765001,560942.7938244339,567946.3988454394,575980.7808656655
EngulfingLightning,537813.8324210229,552933.3129810941,569547.751054379,587477.1006748192,606824.7027804705
Lithic (4 Stacks),642410.9077573392,667766.9486252037,693703.8232113227,720149.2500719131,747104.8429833624
Lithic (3 Stacks),613591.0241976673,632467.5498149814,650288.6055881878,668065.2869260103,688577.2097485146
Lithic (2 Stacks),584719.7617973896,598143.2652301092,608611.4019397099,622598.0870927928,633027.4381759303
Lithic (1 Stacks),558406.2739311729,564790.867317814,570569.4212463883,575285.0596456353,581849.3715625667
Deathmatch (1 Opponent),587796.5302066146,601448.9445590397,615135.3987707793,629106.9149859607,643095.5439193341
Deathmatch (2+ Opponents),569950.5767837137,578873.5534951639,587796.5302066146,596886.7931551265,606011.0959629529
Blackcliff (3 Stacks),618515.4738955144,640078.320649212,661978.4207541365,684278.2532044942,706994.3574746905
Blackcliff (2 Stacks),590335.3538236362,604287.2533473356,618515.4738955144,632804.626770441,647352.0145279828
Blackcliff (1 Stacks),562811.654312348,569606.5973770742,576426.3004848202,583380.8271542281,590335.3538236362
Blackcliff (0 Stacks),535944.3753616497,535944.3753616497,535944.3753616497,535944.3753616497,535944.3753616497
MissiveWindspear (On),562824.0632689577,569604.4240480566,576466.6081607536,583406.5525445344,590346.4969283151
MissiveWindspear (Off),535958.0501701904,535958.0501701904,535958.0501701904,535958.0501701904,535958.0501701904
WavebreakersFin,526282.1259854075,526282.1259854075,526282.1259854075,526282.1259854075,526282.1259854075
FavoniusLance,471498.233285256,471498.233285256,471498.233285256,471498.233285256,471498.233285256
PrototypeStarglitter,448345.2538947643,448345.2538947643,448345.2538947643,448345.2538947643,448345.2538947643
WhiteTassel,467998.95958328474,467998.95958328474,467998.95958328474,467998.95958328474,467998.95958328474
