Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),1520951.0520396202,1553932.1456747237,1587247.932343156,1620898.4120449186,1654883.58478001
PJWS,1473745.4473282662,1495178.4809838722,1516784.0896980802,1538562.2734708905,1560513.0323023028
Homa (50%),1567575.0729188314,1607595.9087012764,1649779.6657101067,1694126.3439453235,1740635.9434069262
Homa,1482393.0668941238,1502133.1196320476,1522954.6329831642,1544857.6069474749,1567842.0415249777
LumidouceElegy,1470424.8305490026,1486635.2898715981,1502845.7491941927,1519056.2085167882,1535266.6678393828
"Vortex (Shielded, Stacked)",1489748.8927798716,1523814.0217875983,1557879.1507953247,1591944.2798030516,1626009.4088107776
"Vortex (Shielded, Unstacked)",1468303.7750338097,1497007.6246050207,1525711.4741762318,1554415.3237474433,1583119.1733186538
CalamityQueller (Stacked),1453970.911646868,1484931.1251183609,1516202.1279931578,1547783.9202712604,1579676.501952668
CalamityQueller (Unstacked),1440400.5632266188,1467799.9434315928,1495442.8145752894,1523329.176657709,1551459.029678851
"Vortex (Unshielded, Stacked)",1421618.6347644185,1438651.1992682817,1455683.7637721447,1472716.3282760084,1489748.8927798716
"Vortex (Unshielded, Unstacked)",1410896.0758913874,1425248.0006769928,1439599.9254625982,1453951.850248204,1468303.7750338097
StaffOfTheScarletSands,1390995.4162660504,1390995.4162660504,1390995.4162660504,1390995.4162660504,1390995.4162660504
SkywardSpine,1284459.543884087,1294053.8787798132,1313507.5899384723,1322586.4514309664,1342619.3461887625
EngulfingLightning,1257183.83577785,1279536.5475617542,1303564.4941684988,1329267.6755980845,1356646.0918505103
Lithic (4 Stacks),1432862.717693878,1478851.0286396388,1525525.5434440118,1572888.311607838,1620941.3826319557
Lithic (3 Stacks),1383427.746029886,1418929.9642813,1450141.6012426724,1481088.0390788887,1517985.477907921
Lithic (2 Stacks),1333595.5532811435,1360306.9677597536,1377313.1094028617,1404997.2108687218,1421700.69074777
Lithic (1 Stacks),1290175.763063231,1302977.940073319,1313000.5838417925,1320172.1489125134,1333401.360961545
Deathmatch (1 Opponent),1400981.2758173957,1421773.8858418604,1442566.4958663255,1463359.1058907905,1484151.7159152555
Deathmatch (2+ Opponents),1373257.7957847756,1387119.5358010859,1400981.2758173957,1414843.0158337057,1428704.7558500161
Blackcliff (3 Stacks),1431064.6477732717,1463005.107558377,1494945.5673434823,1526886.027128588,1558826.4869136927
Blackcliff (2 Stacks),1388477.3680597984,1409771.0079165353,1431064.6477732717,1452358.287630009,1473651.9274867456
Blackcliff (1 Stacks),1345890.0883463249,1356536.9082746934,1367183.7282030617,1377830.5481314303,1388477.3680597984
Blackcliff (0 Stacks),1303302.8086328509,1303302.8086328509,1303302.8086328509,1303302.8086328509,1303302.8086328509
MissiveWindspear (On),1285249.1032441878,1294422.3456731802,1303595.5881021724,1312768.8305311648,1321942.0729601579
MissiveWindspear (Off),1248556.133528218,1248556.133528218,1248556.133528218,1248556.133528218,1248556.133528218
WavebreakersFin,1239766.2382906103,1239766.2382906103,1239766.2382906103,1239766.2382906103,1239766.2382906103
FavoniusLance,1157142.6466255975,1157142.6466255975,1157142.6466255975,1157142.6466255975,1157142.6466255975
PrototypeStarglitter,1122118.2753819379,1122118.2753819379,1122118.2753819379,1122118.2753819379,1122118.2753819379
WhiteTassel,1197121.9868366679,1197121.9868366679,1197121.9868366679,1197121.9868366679,1197121.9868366679
