Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),1261044.3228671832,1291247.4054577027,1321785.1810815507,1352657.6497387285,1383864.8114292359
PJWS,1218802.3918483092,1238639.0634358586,1258648.3100820098,1278830.131786763,1299184.528550119
Homa (50%),1296649.878058104,1333557.3348439548,1372459.4506651137,1413356.2255215803,1456247.6594133556
Homa,1218094.516961222,1236298.9129747343,1255500.6385058998,1275699.6935547194,1296896.0781211937
LumidouceElegy,1207617.0656055526,1222565.6293468482,1237514.1930881436,1252462.756829439,1267411.3205707343
"Vortex (Shielded, Stacked)",1249159.6017310447,1280571.7856651025,1311983.9695991604,1343396.153533218,1374808.3374672756
"Vortex (Shielded, Unstacked)",1229782.5753080775,1256350.5026363938,1282918.4299647096,1309486.3572930256,1336054.2846213412
CalamityQueller (Stacked),1215441.999725349,1243873.0246700442,1272614.8390180445,1301667.4427693505,1331030.8359239611
CalamityQueller (Unstacked),1203127.8893106366,1228312.1404901978,1253739.8826084817,1279411.115665489,1305325.8396612187
"Vortex (Unshielded, Stacked)",1186335.2338629295,1202041.3258299583,1217747.4177969869,1233453.5097640157,1249159.6017310447
"Vortex (Unshielded, Unstacked)",1176646.720651446,1189930.6843156037,1203214.6479797615,1216498.6116439195,1229782.5753080775
StaffOfTheScarletSands,1131301.9072430076,1131301.9072430076,1131301.9072430076,1131301.9072430076,1131301.9072430076
SkywardSpine,1053943.1589307995,1061777.8273110886,1077764.932804422,1085175.983931979,1101639.063866584
EngulfingLightning,1034798.8495877117,1055453.1407584096,1077659.906806804,1101419.1477328946,1126730.8635366827
Lithic (4 Stacks),1187838.6617991268,1227276.9758366586,1267341.9321651792,1308035.4182532022,1349359.3215692395
Lithic (3 Stacks),1144663.3650815454,1174990.5497363776,1201808.4864782726,1228434.0418714504,1260115.2187557241
Lithic (2 Stacks),1101158.4391505478,1123895.2610538614,1138566.9908278799,1162142.4376736283,1176587.2852341463
Lithic (1 Stacks),1063100.1113635723,1073987.3348520838,1082596.6763757952,1088779.9096737392,1100031.8260702114
Deathmatch (1 Opponent),1140725.2357292601,1159899.5491212339,1179073.8625132071,1198248.1759051804,1217422.4892971537
Deathmatch (2+ Opponents),1115159.4845399621,1127942.3601346114,1140725.2357292601,1153508.1113239091,1166290.986918558
Blackcliff (3 Stacks),1174843.9817949396,1204299.2763075188,1233754.5708200983,1263209.8653326782,1292665.1598452576
Blackcliff (2 Stacks),1135570.255778167,1155207.1187865536,1174843.9817949396,1194480.844803326,1214117.7078117125
Blackcliff (1 Stacks),1096296.5297613947,1106114.961265588,1115933.392769781,1125751.8242739744,1135570.255778167
Blackcliff (0 Stacks),1057022.8037446223,1057022.8037446223,1057022.8037446223,1057022.8037446223,1057022.8037446223
MissiveWindspear (On),1060594.6099590308,1069053.452970776,1077512.2959825215,1085971.1389942665,1094429.9820060122
MissiveWindspear (Off),1026759.2379120486,1026759.2379120486,1026759.2379120486,1026759.2379120486,1026759.2379120486
WavebreakersFin,1018644.1925627281,1018644.1925627281,1018644.1925627281,1018644.1925627281,1018644.1925627281
FavoniusLance,942460.0592895643,942460.0592895643,942460.0592895643,942460.0592895643,942460.0592895643
PrototypeStarglitter,910168.1850668245,910168.1850668245,910168.1850668245,910168.1850668245,910168.1850668245
WhiteTassel,962165.1500764422,962165.1500764422,962165.1500764422,962165.1500764422,962165.1500764422
