Weapon,R1,R2,R3,R4,R5
PJWS,1387932.4625909755,1408297.2268781755,1428834.566223977,1449544.480628381,1470426.9700913879
Homa (50%),1473794.263695186,1510701.7204810365,1549603.8363021954,1590500.6111586625,1633392.0450504376
Homa,1395238.902598304,1413443.298611816,1432645.0241429815,1452844.0791918014,1474040.4637582756
LumidouceElegy,1384038.0704091745,1398986.6341504708,1413935.1978917657,1428883.761633061,1443832.3253743565
"Vortex (Shielded, Stacked)",1397324.6565002385,1428736.8404342965,1460149.0243683546,1491561.208302412,1522973.3922364695
"Vortex (Shielded, Unstacked)",1377947.6300772713,1404515.5574055875,1431083.4847339038,1457651.4120622196,1484219.3393905351
CalamityQueller (Stacked),1368668.2643682987,1398364.5917814325,1428371.7085978724,1458689.614817617,1489318.3104406665
CalamityQueller (Unstacked),1356354.1539535862,1382803.7076015864,1409496.7521883096,1436433.2877137556,1463613.3141779238
"Vortex (Unshielded, Stacked)",1334500.2886321235,1350206.380599152,1365912.4725661809,1381618.5645332094,1397324.6565002385
"Vortex (Unshielded, Unstacked)",1324811.77542064,1338095.7390847977,1351379.7027489555,1364663.6664131132,1377947.6300772713
StaffOfTheScarletSands,1311151.347149859,1311151.347149859,1311151.347149859,1311151.347149859,1311151.347149859
SkywardSpine,1209156.7126904402,1218223.8478940956,1236514.0498951273,1245096.541701213,1263931.2868455804
EngulfingLightning,1182963.9043569057,1203618.1955276034,1225824.961575998,1249584.202502089,1274895.918305877
Lithic (4 Stacks),1346587.778889832,1389569.1988156552,1433184.8035896944,1477436.480680463,1522326.1175564728
Lithic (3 Stacks),1300513.7592657926,1333739.666827083,1362914.8768523878,1391836.679384138,1426250.9182496588
Lithic (2 Stacks),1254137.4651045555,1279108.8148135026,1295013.0114108871,1320891.5547643336,1336507.8430033803
Lithic (1 Stacks),1213702.6647975924,1225672.867837888,1235018.6354568128,1241758.935627747,1254128.1159270362
Deathmatch (1 Opponent),1320574.6756361113,1339748.9890280853,1358923.3024200583,1378097.6158120318,1397271.9292040055
Deathmatch (2+ Opponents),1295008.9244468138,1307791.800041463,1320574.6756361113,1333357.5512307608,1346140.4268254095
Blackcliff (3 Stacks),1347129.2953378586,1376584.5898504383,1406039.8843630177,1435495.1788755972,1464950.4733881769
Blackcliff (2 Stacks),1307855.5693210864,1327492.432329473,1347129.2953378586,1366766.1583462453,1386403.021354632
Blackcliff (1 Stacks),1268581.8433043142,1278400.2748085072,1288218.7063127004,1298037.1378168936,1307855.5693210864
Blackcliff (0 Stacks),1229308.1172875413,1229308.1172875413,1229308.1172875413,1229308.1172875413,1229308.1172875413
MissiveWindspear (On),1208759.6647282245,1217218.5077399698,1225677.3507517152,1234136.1937634607,1242595.0367752064
MissiveWindspear (Off),1174924.2926812433,1174924.2926812433,1174924.2926812433,1174924.2926812433,1174924.2926812433
WavebreakersFin,1166809.2473319224,1166809.2473319224,1166809.2473319224,1166809.2473319224,1166809.2473319224
FavoniusLance,1090625.114058758,1090625.114058758,1090625.114058758,1090625.114058758,1090625.114058758
PrototypeStarglitter,1058333.2398360188,1058333.2398360188,1058333.2398360188,1058333.2398360188,1058333.2398360188
WhiteTassel,1130813.5717195356,1130813.5717195356,1130813.5717195356,1130813.5717195356,1130813.5717195356
