Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),641138.8969768371,659012.1150573014,677122.3217650177,695469.5170999854,714053.7010622049
PJWS,613514.417820869,624504.9480478985,635619.1212349411,646856.9373819965,658218.3964890651
Homa (50%),652919.1360030206,672260.9243387002,692648.0372841636,714080.4748394107,736558.2370044419
Homa,611751.2718560853,621291.5004477024,631354.3913442111,641939.9445456115,653048.1600519039
"Vortex (Shielded, Stacked)",617973.0185499319,634039.725270983,650106.4319920343,666173.1387130854,682239.8454341366
"Vortex (Shielded, Unstacked)",608141.9912169838,621750.9411047976,635359.8909926119,648968.8408804259,662577.79076824
CalamityQueller (Stacked),610242.0236050874,626836.1126376013,643646.2919774279,660672.5616245668,677914.921579018
CalamityQueller (Unstacked),603896.8109726778,618788.1210372383,633848.9310851708,649079.2411164753,664479.0511311517
"Vortex (Unshielded, Stacked)",585839.6051078296,593872.9584683551,601906.3118288807,609939.6651894063,617973.0185499319
"Vortex (Unshielded, Unstacked)",580924.0914413554,587728.5663852625,594533.0413291694,601337.5162730765,608141.9912169838
StaffOfTheScarletSands,580735.9637434329,580735.9637434329,580735.9637434329,580735.9637434329,580735.9637434329
SkywardSpine,585624.4954899214,590411.4836744117,598997.8330167802,603588.5635153155,612402.1000068873
EngulfingLightning,573891.512667785,585640.6187934482,598252.1177174452,611726.0094397758,626062.2939604409
Lithic (4 Stacks),589745.5272664342,611258.4072259,633138.5862624188,655387.2033990636,678005.3976589058
Lithic (3 Stacks),566861.5469477932,583111.1284004153,598364.983415824,613517.3365559803,630423.5480429776
Lithic (2 Stacks),544556.5778849163,555661.7156838521,564896.26715411,576476.7295343963,585594.2641212536
Lithic (1 Stacks),523622.3662390654,528907.8910300657,533667.2413140378,538179.292488636,543674.8236116864
Deathmatch (1 Opponent),570018.8212868578,580093.820002987,590168.8187191165,600243.8174352457,610318.8161513748
Deathmatch (2+ Opponents),556585.489665352,563302.155476105,570018.8212868578,576735.4870976108,583452.1529083635
Blackcliff (3 Stacks),586276.9965163529,601659.8563675858,617042.7162188189,632425.5760700521,647808.4359212851
Blackcliff (2 Stacks),565766.5167147088,576021.7566155308,586276.9965163529,596532.2364171747,606787.4763179969
Blackcliff (1 Stacks),545256.0369130647,550383.6568634757,555511.2768138867,560638.8967642976,565766.5167147088
Blackcliff (0 Stacks),524745.5571114204,524745.5571114204,524745.5571114204,524745.5571114204,524745.5571114204
MissiveWindspear (On),520142.4162426223,524468.946042474,528795.4758423257,533122.0056421777,537448.5354420295
MissiveWindspear (Off),502836.297043215,502836.297043215,502836.297043215,502836.297043215,502836.297043215
WavebreakersFin,500238.3673051542,500238.3673051542,500238.3673051542,500238.3673051542,500238.3673051542
FavoniusLance,520239.94819193595,520239.94819193595,520239.94819193595,520239.94819193595,520239.94819193595
PrototypeStarglitter,500696.9542940403,500696.9542940403,500696.9542940403,500696.9542940403,500696.9542940403
WhiteTassel,472785.85017250624,472785.85017250624,472785.85017250624,472785.85017250624,472785.85017250624
