Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),1500539.7966395,1531401.5851109533,1562547.9244998915,1593978.814806315,1625694.2560302238
PJWS,1456586.1792734987,1476770.4661363491,1497095.1251160812,1517560.1562126945,1538165.5594261885
Homa (50%),1569734.349741364,1610065.929666325,1652577.2249472465,1697268.2355841293,1744138.9615769724
Homa,1483890.9430011935,1503784.268544179,1524767.451765144,1546840.4926640906,1570003.3912410168
LumidouceElegy,1477370.469172873,1493761.5251004067,1510152.5810279401,1526543.6369554724,1542934.692883006
"Vortex (Shielded, Stacked)",1436285.1368828719,1469292.322110766,1502299.5073386603,1535306.6925665543,1568313.8777944485
"Vortex (Shielded, Unstacked)",1414871.5379186897,1442525.3234055382,1470179.1088923863,1497832.8943792353,1525486.679866084
CalamityQueller (Stacked),1394501.7385939737,1422611.0426151322,1450976.7156859564,1479598.7578064473,1508477.1689766045
CalamityQueller (Unstacked),1380984.1463409588,1405554.898832757,1430318.3589877782,1455274.5268060237,1480423.4022874923
"Vortex (Unshielded, Stacked)",1370270.766427083,1386774.35904103,1403277.9516549772,1419781.5442689245,1436285.1368828719
"Vortex (Unshielded, Unstacked)",1359563.9669449918,1373390.8596884161,1387217.7524318402,1401044.6451752647,1414871.5379186897
StaffOfTheScarletSands,1456708.7426395293,1456708.7426395293,1456708.7426395293,1456708.7426395293,1456708.7426395293
SkywardSpine,1247424.3104808156,1264435.8297445076,1281447.349008199,1298727.3669200258,1316430.7443605242
EngulfingLightning,1210636.0403535282,1232153.9856614652,1255269.5807813194,1279982.825713089,1306293.7204567748
Lithic (4 Stacks),1398637.7968636241,1450872.2904956394,1503938.0886687199,1557837.6306658478,1612573.3557700077
Lithic (3 Stacks),1347322.7947459358,1384958.1074089697,1423667.8890494122,1462120.3736732476,1503279.979161452
Lithic (2 Stacks),1296961.9797985873,1321552.3759132887,1346324.5219651975,1371278.4179543147,1396699.914732964
Lithic (1 Stacks),1248431.9060039513,1260120.460533003,1271852.6046047022,1283827.5401555542,1296009.1445021501
Deathmatch (1 Opponent),1412853.9087727172,1433967.7237851084,1455081.5387975003,1476195.3538098913,1497309.1688222827
Deathmatch (2+ Opponents),1384702.155422862,1398778.0320977897,1412853.9087727172,1426929.7854476448,1441005.6621225728
Blackcliff (3 Stacks),1423889.8347884514,1455883.1699398614,1487876.505091271,1519869.840242681,1551863.1753940918
Blackcliff (2 Stacks),1381232.0545865716,1402560.944687511,1423889.8347884514,1445218.7248893916,1466547.6149903315
Blackcliff (1 Stacks),1338574.2743846918,1349238.7194351617,1359903.1644856315,1370567.609536101,1381232.0545865716
Blackcliff (0 Stacks),1295916.4941828114,1295916.4941828114,1295916.4941828114,1295916.4941828114,1295916.4941828114
MissiveWindspear (On),1238141.3070081258,1247029.6606064774,1255918.0142048285,1264806.3678031801,1273694.7214015312
MissiveWindspear (Off),1202587.8926147197,1202587.8926147197,1202587.8926147197,1202587.8926147197,1202587.8926147197
WavebreakersFin,1194065.4680536669,1194065.4680536669,1194065.4680536669,1194065.4680536669,1194065.4680536669
FavoniusLance,1114010.6325731461,1114010.6325731461,1114010.6325731461,1114010.6325731461,1114010.6325731461
PrototypeStarglitter,1080076.7521841084,1080076.7521841084,1080076.7521841084,1080076.7521841084,1080076.7521841084
WhiteTassel,1183998.048979558,1183998.048979558,1183998.048979558,1183998.048979558,1183998.048979558
