Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),1260760.6806108353,1289305.3838167223,1318134.6379400943,1347248.442980952,1376646.7989392946
PJWS,1221088.4066504133,1239970.1124884523,1258992.1904433728,1278154.6405151747,1297457.4627038576
Homa (50%),1316770.6206185168,1354428.3272196348,1394121.2400165289,1435849.3590091993,1479612.6841976459
Homa,1236618.3967116834,1255192.8492377703,1274784.9048617457,1295394.5635836085,1317021.8254033595
LumidouceElegy,1230465.7800070625,1245770.0123688926,1261074.2447307217,1276378.477092551,1291682.7094543804
"Vortex (Shielded, Stacked)",1221069.05744255,1251887.837917515,1282706.61839248,1313525.3988674458,1344344.1793424108
"Vortex (Shielded, Unstacked)",1201611.7818764602,1227566.2434599025,1253520.7050433452,1279475.1666267882,1305429.6282102305
CalamityQueller (Stacked),1181120.5895434488,1207179.6727049625,1233495.1249161423,1260066.946176988,1286895.1364875005
CalamityQueller (Unstacked),1168791.3431706957,1191608.961272915,1214619.2870383572,1237822.3204670232,1261218.061558913
"Vortex (Unshielded, Stacked)",1159431.4964926199,1174840.8867301024,1190250.2769675849,1205659.6672050678,1221069.05744255
"Vortex (Unshielded, Unstacked)",1149702.858709575,1162680.0895012962,1175657.3202930172,1188634.551084739,1201611.7818764602
StaffOfTheScarletSands,1201209.3053867957,1201209.3053867957,1201209.3053867957,1201209.3053867957,1201209.3053867957
SkywardSpine,1038000.5159526613,1052157.448237924,1066314.380523186,1080690.606885371,1095423.3013473228
EngulfingLightning,1010485.9159469932,1030625.4315543915,1052265.4402487357,1075405.9420300263,1100046.9368982634
Lithic (4 Stacks),1175751.484083828,1220968.3278334523,1266953.675534906,1313709.8044388462,1361238.9917959287
Lithic (3 Stacks),1130428.7773927653,1162978.836905059,1196466.1054583227,1229775.6836617037,1265405.6438426767
Lithic (2 Stacks),1085996.8748334455,1107230.3028202518,1128633.4077845332,1150206.1897262894,1172184.6052544932
Lithic (1 Stacks),1043192.3539465516,1053277.7692322843,1063403.878572494,1073733.258587101,1084243.924469582
Deathmatch (1 Opponent),1166753.7040578898,1186467.7028642762,1206181.701670663,1225895.7004770495,1245609.699283436
Deathmatch (2+ Opponents),1140468.372316041,1153611.0381869655,1166753.7040578898,1179896.3699288138,1193039.0357997387
Blackcliff (3 Stacks),1185532.8124163656,1215405.0155010787,1245277.2185857925,1275149.4216705065,1305021.6247552198
Blackcliff (2 Stacks),1145703.208303414,1165618.0103598898,1185532.8124163656,1205447.614472841,1225362.416529317
Blackcliff (1 Stacks),1105873.604190463,1115831.0052187005,1125788.4062469385,1135745.8072751763,1145703.208303414
Blackcliff (0 Stacks),1066044.0000775114,1066044.0000775114,1066044.0000775114,1066044.0000775114,1066044.0000775114
MissiveWindspear (On),1036076.4595038939,1044375.5076184226,1052674.5557329515,1060973.6038474804,1069272.6519620093
MissiveWindspear (Off),1002880.2670457785,1002880.2670457785,1002880.2670457785,1002880.2670457785,1002880.2670457785
WavebreakersFin,994907.0311870031,994907.0311870031,994907.0311870031,994907.0311870031,994907.0311870031
FavoniusLance,920167.8277982983,920167.8277982983,920167.8277982983,920167.8277982983,920167.8277982983
PrototypeStarglitter,888491.7205338556,888491.7205338556,888491.7205338556,888491.7205338556,888491.7205338556
WhiteTassel,965264.9456943967,965264.9456943967,965264.9456943967,965264.9456943967,965264.9456943967
