Weapon,R1,R2,R3,R4,R5
PJWS,1388606.8761671986,1407918.1312735965,1427369.7584968754,1446961.757837036,1466694.1292940779
Homa (50%),1494358.6581089068,1532016.3647100246,1571709.277506919,1613437.3964995896,1657200.721688036
Homa,1414206.4342020731,1432780.88672816,1452372.9423521354,1472982.6010739985,1494609.8628937495
LumidouceElegy,1408120.6639844421,1423424.8963462724,1438729.1287081013,1454033.3610699305,1469337.59343176
"Vortex (Shielded, Stacked)",1364182.9810647701,1395001.7615397351,1425820.5420147001,1456639.3224896656,1487458.1029646304
"Vortex (Shielded, Unstacked)",1344725.70549868,1370680.1670821225,1396634.628665565,1422589.0902490078,1448543.5518324503
CalamityQueller (Stacked),1328240.1403687645,1355300.630331052,1382617.4893430062,1410190.7174046258,1438020.314515912
CalamityQueller (Unstacked),1315910.8939960115,1339729.9188990043,1363741.651465221,1387946.091694661,1412343.2395873244
"Vortex (Unshielded, Stacked)",1302545.42011484,1317954.810352322,1333364.2005898047,1348773.5908272872,1364182.9810647701
"Vortex (Unshielded, Unstacked)",1292816.7823317947,1305794.0131235155,1318771.243915237,1331748.4747069585,1344725.70549868
StaffOfTheScarletSands,1390776.0128791942,1390776.0128791942,1390776.0128791942,1390776.0128791942,1390776.0128791942
SkywardSpine,1189127.1341924155,1205341.7182257154,1221556.3022590154,1238032.5272837917,1254906.5581526782
EngulfingLightning,1153599.8395692129,1173739.355176611,1195379.3638709555,1218519.8656522464,1243160.8605204835
Lithic (4 Stacks),1330993.4058196573,1380451.5846388075,1430687.4727222654,1481703.3473206884,1533501.4856847327
Lithic (3 Stacks),1282584.2215065386,1318220.7586408881,1354878.6940602108,1391284.459783232,1430251.9515629516
Lithic (2 Stacks),1235065.841325162,1258356.921060006,1281817.6777723252,1305448.111462119,1329526.525652914
Lithic (1 Stacks),1189267.2282024827,1200339.6270327854,1211452.7199175651,1222802.2250788175,1234341.7168353177
Deathmatch (1 Opponent),1348592.8209801142,1368306.8197865004,1388020.818592887,1407734.8173992736,1427448.81620566
Deathmatch (2+ Opponents),1322307.489238265,1335450.15510919,1348592.8209801142,1361735.4868510382,1374878.1527219631
Blackcliff (3 Stacks),1357249.7733375747,1387121.976422288,1416994.1795070018,1446866.382591716,1476738.585676429
Blackcliff (2 Stacks),1317420.1692246236,1337334.9712810991,1357249.7733375747,1377164.5753940505,1397079.3774505267
Blackcliff (1 Stacks),1277590.565111672,1287547.9661399103,1297505.3671681483,1307462.7681963858,1317420.1692246236
Blackcliff (0 Stacks),1237760.960998721,1237760.960998721,1237760.960998721,1237760.960998721,1237760.960998721
MissiveWindspear (On),1179190.383126114,1187489.4312406427,1195788.4793551716,1204087.5274697002,1212386.575584229
MissiveWindspear (Off),1145994.1906679983,1145994.1906679983,1145994.1906679983,1145994.1906679983,1145994.1906679983
WavebreakersFin,1138020.9548092226,1138020.9548092226,1138020.9548092226,1138020.9548092226,1138020.9548092226
FavoniusLance,1063281.751420518,1063281.751420518,1063281.751420518,1063281.751420518,1063281.751420518
PrototypeStarglitter,1031605.6441560755,1031605.6441560755,1031605.6441560755,1031605.6441560755,1031605.6441560755
WhiteTassel,1132565.8768588207,1132565.8768588207,1132565.8768588207,1132565.8768588207,1132565.8768588207
