Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),1006036.9404536581,1031329.7255647009,1056926.4411426391,1082827.0871874725,1109031.663699201
PJWS,966489.6684612262,982025.0683112692,997709.7405030101,1013543.6850364485,1029526.9019115847
Homa (50%),1033743.8864204739,1062229.0685561066,1092253.7289128727,1123817.8674907722,1156921.4842898054
Homa,973114.8438516845,987165.0001418592,1001984.8955426007,1017574.5300539087,1033933.9036757834
"Vortex (Shielded, Stacked)",950786.3684103306,974018.71814699,997251.0678836497,1020483.4176203092,1043715.7673569686
"Vortex (Shielded, Unstacked)",933683.6395333139,952640.3070507189,971596.9745681245,990553.6420855297,1009510.3096029351
CalamityQueller (Stacked),941569.5814090017,964687.6708544053,988079.0286868678,1011743.6549063893,1035681.5495129692
CalamityQueller (Unstacked),930610.2574893736,950816.6325096925,971227.5225389992,991842.927577294,1012662.8476245764
"Vortex (Unshielded, Stacked)",904321.6689370116,915937.843805341,927554.0186736712,939170.1935420011,950786.3684103306
"Vortex (Unshielded, Unstacked)",895770.3044985032,905248.6382572055,914726.9720159085,924205.3057746113,933683.6395333139
StaffOfTheScarletSands,944871.7152238467,944871.7152238467,944871.7152238467,944871.7152238467,944871.7152238467
SkywardSpine,818779.2120823669,829953.9578481026,841410.1063164802,852866.2547848586,864322.4032532366
EngulfingLightning,791385.0517965773,806266.3668559641,822224.1542364339,839258.4139379868,857369.1459606232
Lithic (4 Stacks),917015.0268433703,951882.5974384624,988055.6700472841,1024827.1198615526,1062198.707364599
Lithic (3 Stacks),881823.1180223625,907380.8837741065,933285.6126005972,959743.7852648692,987012.499478858
Lithic (2 Stacks),848000.7443391344,864225.5749884865,880772.0604309766,897746.7407048431,914852.5938426179
Lithic (1 Stacks),814839.0205020724,822778.4084860856,830749.2559865834,838751.563003565,846785.3295370303
Deathmatch (1 Opponent),909827.1433919254,924742.0406032727,939656.9378146199,954571.8350259673,969486.7322373145
Deathmatch (2+ Opponents),889940.6137767956,899883.8785843605,909827.1433919254,919770.4081994902,929713.673007055
Blackcliff (3 Stacks),925541.3480735035,948118.5517452736,970695.7554170442,993272.9590888144,1015850.1627605851
Blackcliff (2 Stacks),895438.409844476,910489.8789589896,925541.3480735035,940592.8171880171,955644.2863025307
Blackcliff (1 Stacks),865335.4716154488,872861.2061727056,880386.9407299624,887912.6752872195,895438.409844476
Blackcliff (0 Stacks),835232.5333864216,835232.5333864216,835232.5333864216,835232.5333864216,835232.5333864216
MissiveWindspear (On),805582.5731203099,811838.7060790658,818094.8390378221,824350.9719965782,830607.1049553341
MissiveWindspear (Off),780558.0412852854,780558.0412852854,780558.0412852854,780558.0412852854,780558.0412852854
WavebreakersFin,781000.9864422567,781000.9864422567,781000.9864422567,781000.9864422567,781000.9864422567
FavoniusLance,721433.0444065054,721433.0444065054,721433.0444065054,721433.0444065054,721433.0444065054
PrototypeStarglitter,694327.6753370966,694327.6753370966,694327.6753370966,694327.6753370966,694327.6753370966
WhiteTassel,750305.6506534717,750305.6506534717,750305.6506534717,750305.6506534717,750305.6506534717
