Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),826758.1229236205,850444.8820620712,874435.5716674175,898730.1917396592,923328.7422787962
PJWS,793596.6885782343,809154.7717123209,824862.1271881057,840718.7550055883,856724.6551647689
Homa (50%),851600.0961164094,881617.4609040997,913257.1105389231,946519.0450208798,981403.2643499696
Homa,787709.8924712243,802515.789259178,818132.8284706981,834561.0101057847,851800.3341644378
"Vortex (Shielded, Stacked)",810975.1727014475,835457.1617440293,859939.1507866113,884421.1398291934,908903.1288717751
"Vortex (Shielded, Unstacked)",792740.5861350803,812663.9285360703,832587.2709370605,852510.6133380508,872433.9557390407
CalamityQueller (Stacked),790977.1870229171,812740.4109655954,834776.9032953324,857086.6640121287,879669.6931159836
CalamityQueller (Unstacked),779330.3293225785,798009.9553949947,816894.0964763985,835982.7525667906,855275.9236661703
"Vortex (Unshielded, Stacked)",762011.1946162835,774252.1891375744,786493.1836588653,798734.1781801565,810975.1727014475
"Vortex (Unshielded, Unstacked)",752893.9013330999,762855.5725335949,772817.24373409,782778.9149345852,792740.5861350803
StaffOfTheScarletSands,742266.899961237,742266.899961237,742266.899961237,742266.899961237,742266.899961237
SkywardSpine,661099.5728770065,670122.2978603977,679372.2333100272,688622.1687596564,697872.1042092857
EngulfingLightning,642967.8788032882,658634.9847900647,675433.800379215,693364.3255707386,712426.5603646351
Lithic (4 Stacks),759078.535567582,790177.6840305276,822479.7106815078,855399.6759419417,888939.4349893769
Lithic (3 Stacks),726214.6941850506,748926.1838799607,771991.3668089333,795581.6862402443,819912.0684891099
Lithic (2 Stacks),694633.8329414504,709024.1931198637,723708.0576749091,738773.8321923399,753977.8351994968
Lithic (1 Stacks),663749.1570806528,670762.0029029349,677808.0004101127,684887.1496021856,691999.4504791537
Deathmatch (1 Opponent),715333.2961344052,731050.4471862101,746767.5982380151,762484.7492898202,778201.9003416253
Deathmatch (2+ Opponents),694377.0947319983,704855.1954332015,715333.2961344052,725811.3968356083,736289.4975368116
Blackcliff (3 Stacks),745655.4004431131,769447.0039257447,793238.607408376,817030.2108910073,840821.8143736392
Blackcliff (2 Stacks),713933.2624662708,729794.3314546918,745655.4004431131,761516.4694315341,777377.538419955
Blackcliff (1 Stacks),682211.1244894289,690141.6589836393,698072.1934778499,706002.7279720604,713933.2624662708
Blackcliff (0 Stacks),650488.9865125867,650488.9865125867,650488.9865125867,650488.9865125867,650488.9865125867
MissiveWindspear (On),657989.7755726716,664582.4181715179,671175.0607703646,677767.7033692108,684360.3459680575
MissiveWindspear (Off),631619.2051772852,631619.2051772852,631619.2051772852,631619.2051772852,631619.2051772852
WavebreakersFin,632053.7274053048,632053.7274053048,632053.7274053048,632053.7274053048,632053.7274053048
FavoniusLance,569297.8237761102,569297.8237761102,569297.8237761102,569297.8237761102,569297.8237761102
PrototypeStarglitter,540750.6146898502,540750.6146898502,540750.6146898502,540750.6146898502,540750.6146898502
WhiteTassel,567083.7965439796,567083.7965439796,567083.7965439796,567083.7965439796,567083.7965439796
