Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),1463887.6816261257,1493119.469348949,1522635.807989258,1552436.6975470525,1582522.1380223313
PJWS,1419660.5478953724,1438075.8596118107,1456631.543445131,1475327.599395332,1494164.027462414
Homa (50%),1509239.127154691,1543109.5077162373,1578810.408896109,1616341.8306943052,1655703.7731108246
Homa,1437148.0050018039,1453854.3802052867,1471476.0157179325,1490012.9115397392,1509465.067670709
LumidouceElegy,1431783.1134914537,1445548.7374255196,1459314.3613595858,1473079.9852936522,1486845.6092277179
"Vortex (Shielded, Stacked)",1360110.9909319396,1387830.735345144,1415550.4797583488,1443270.2241715533,1470989.9685847582
"Vortex (Shielded, Unstacked)",1340415.8102325313,1363211.7594708835,1386007.7087092362,1408803.6579475887,1431599.6071859414
CalamityQueller (Stacked),1358824.5965648568,1385495.043564998,1412421.8596148053,1439605.0447142802,1467044.5988634194
CalamityQueller (Unstacked),1346340.8006301764,1369731.145180541,1393314.1973941294,1417089.9572709422,1441058.424810977
"Vortex (Unshielded, Stacked)",1304671.5021055306,1318531.3743121326,1332391.2465187348,1346251.1187253376,1360110.9909319396
"Vortex (Unshielded, Unstacked)",1294823.9117558263,1306221.8863750023,1317619.8609941786,1329017.8356133555,1340415.8102325313
StaffOfTheScarletSands,1412761.3927316132,1412761.3927316132,1412761.3927316132,1412761.3927316132,1412761.3927316132
SkywardSpine,1221633.8536672434,1238296.463771269,1254959.0738752938,1271876.315081801,1289216.593233501
EngulfingLightning,1170418.2103607506,1188401.8484723715,1207711.3288915288,1228346.6516182213,1250307.8166524502
Lithic (4 Stacks),1333856.7297218135,1382068.3820055444,1430987.5186674315,1480616.1892083136,1530956.4431290322
Lithic (3 Stacks),1287585.0339888365,1322368.185473974,1358119.7310533212,1393578.386269758,1431579.8453424955
Lithic (2 Stacks),1242115.0522926429,1264883.8745015622,1287805.4041460592,1310879.6412261345,1334369.7276563286
Lithic (1 Stacks),1198297.6948231878,1209129.5377885504,1219998.0049606557,1231084.630351537,1242373.5993087601
Deathmatch (1 Opponent),1349763.7827945505,1367495.21152347,1385226.64025239,1402958.0689813104,1420689.4977102303
Deathmatch (2+ Opponents),1326121.877822657,1337942.8303086036,1349763.7827945505,1361584.735280497,1373405.687766444
Blackcliff (3 Stacks),1361040.4254405245,1387908.5594755036,1414776.693510484,1441644.8275454636,1468512.961580443
Blackcliff (2 Stacks),1325216.2467272184,1343128.3360838713,1361040.4254405245,1378952.5147971776,1396864.6041538306
Blackcliff (1 Stacks),1289392.068013912,1298348.1126922383,1307304.1573705652,1316260.2020488912,1325216.2467272184
Blackcliff (0 Stacks),1253567.8893006057,1253567.8893006057,1253567.8893006057,1253567.8893006057,1253567.8893006057
MissiveWindspear (On),1177528.0529086748,1184992.5758087453,1192457.0987088159,1199921.6216088864,1207386.1445089574
MissiveWindspear (Off),1147669.961308392,1147669.961308392,1147669.961308392,1147669.961308392,1147669.961308392
WavebreakersFin,1158673.846925209,1158673.846925209,1158673.846925209,1158673.846925209,1158673.846925209
FavoniusLance,1082362.4946585046,1082362.4946585046,1082362.4946585046,1082362.4946585046,1082362.4946585046
PrototypeStarglitter,1044783.9540024184,1044783.9540024184,1044783.9540024184,1044783.9540024184,1044783.9540024184
WhiteTassel,1134296.7275951328,1134296.7275951328,1134296.7275951328,1134296.7275951328,1134296.7275951328
