Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),1234907.9169973452,1261822.6194546022,1289021.872829345,1316505.6771215731,1344274.0323312867
PJWS,1194962.1266721715,1212074.8573637982,1229327.9601723067,1246721.4350976963,1264255.2821399672
Homa (50%),1268860.8256780459,1300057.3329157503,1332939.8516115942,1367508.3817655782,1403762.923377702
Homa,1202460.8863584974,1217848.388545082,1234078.8964607362,1251152.4101054606,1269068.9294792549
LumidouceElegy,1197467.1189440435,1210145.9193124063,1222824.7196807684,1235503.5200491308,1248182.3204174929
"Vortex (Shielded, Stacked)",1155036.710832018,1180568.0504922932,1206099.390152569,1231630.7298128444,1257162.0694731197
"Vortex (Shielded, Unstacked)",1137297.853530702,1158394.4788656484,1179491.104200595,1200587.7295355415,1221684.3548704877
CalamityQueller (Stacked),1153932.2331809714,1178552.4593214681,1203429.0545116307,1228562.0187514601,1253951.3520409549
CalamityQueller (Unstacked),1142636.783126553,1164273.9932873386,1186103.9111113476,1208126.5365985804,1230341.8697490366
"Vortex (Unshielded, Stacked)",1103974.031511467,1116739.7013416048,1129505.3711717424,1142271.0410018803,1155036.710832018
"Vortex (Unshielded, Unstacked)",1095104.602860809,1105652.9155282823,1116201.2281957555,1126749.540863229,1137297.853530702
StaffOfTheScarletSands,1171783.1042540735,1171783.1042540735,1171783.1042540735,1171783.1042540735,1171783.1042540735
SkywardSpine,1022053.2099506649,1035994.9899756018,1049936.7700005386,1064087.5109902269,1078596.3029533671
EngulfingLightning,980409.8852946158,997015.0937056973,1014848.9876993452,1033911.5672755588,1054202.8324343388
Lithic (4 Stacks),1122550.6946292296,1164061.3088407165,1206217.2924935108,1249020.5330561236,1292472.9179970708
Lithic (3 Stacks),1082041.3998188155,1111969.1926572754,1142735.0888564808,1173282.1538083742,1206002.561688479
Lithic (2 Stacks),1042270.4360065894,1061835.5530903214,1081541.3046498988,1101387.6906853218,1121591.8114689963
Lithic (1 Stacks),1003954.9197972498,1013257.1384188918,1022593.0857591056,1032110.837462171,1041805.4994566337
Deathmatch (1 Opponent),1118981.90785277,1135313.520375685,1151645.1328986005,1167976.7454215158,1184308.3579444303
Deathmatch (2+ Opponents),1097206.4244888835,1108094.1661708266,1118981.90785277,1129869.6495347135,1140757.391216657
Blackcliff (3 Stacks),1136313.8543578647,1161060.856326148,1185807.8582944314,1210554.8602627143,1235301.8622309973
Blackcliff (2 Stacks),1103317.8517334873,1119815.8530456761,1136313.8543578647,1152811.8556700537,1169309.8569822423
Blackcliff (1 Stacks),1070321.84910911,1078570.8497652044,1086819.8504212988,1095068.8510773932,1103317.8517334873
Blackcliff (0 Stacks),1037325.8464847326,1037325.8464847326,1037325.8464847326,1037325.8464847326,1037325.8464847326
MissiveWindspear (On),986823.0148202451,993698.2322364929,1000573.449652741,1007448.6670689891,1014323.884485237
MissiveWindspear (Off),959322.1451552529,959322.1451552529,959322.1451552529,959322.1451552529,959322.1451552529
WavebreakersFin,969508.0653080795,969508.0653080795,969508.0653080795,969508.0653080795,969508.0653080795
FavoniusLance,899195.9222163253,899195.9222163253,899195.9222163253,899195.9222163253,899195.9222163253
PrototypeStarglitter,864558.731767968,864558.731767968,864558.731767968,864558.731767968,864558.731767968
WhiteTassel,930426.9903679495,930426.9903679495,930426.9903679495,930426.9903679495,930426.9903679495
