Weapon,R1,R2,R3,R4,R5
PJWS,1332532.0991277876,1350074.3790877727,1367757.0311646399,1385580.0553583885,1403543.4516690182
Homa (50%),1414371.1425440807,1445567.6497817852,1478450.168477629,1513018.698631613,1549273.240243737
Homa,1347971.2032245318,1363358.7054111168,1379589.2133267708,1396662.7269714957,1414579.2463452895
LumidouceElegy,1343032.2078186027,1355711.008186965,1368389.8085553274,1381068.60892369,1393747.4092920518
"Vortex (Shielded, Stacked)",1272299.971739091,1297831.3113993662,1323362.6510596422,1348893.9907199175,1374425.3303801932
"Vortex (Shielded, Unstacked)",1254561.114437775,1275657.7397727214,1296754.3651076683,1317850.9904426148,1338947.6157775612
CalamityQueller (Stacked),1275201.1212911406,1300822.754232411,1326700.7562233477,1352835.127263951,1379225.8673542198
CalamityQueller (Unstacked),1263905.6712367223,1286544.2881982818,1309375.612823065,1332399.6451110719,1355616.3850623015
"Vortex (Unshielded, Stacked)",1221237.2924185402,1234002.9622486779,1246768.6320788155,1259534.3019089538,1272299.971739091
"Vortex (Unshielded, Unstacked)",1212367.8637678823,1222916.1764353556,1233464.4891028288,1244012.8017703022,1254561.114437775
StaffOfTheScarletSands,1327108.3844039964,1327108.3844039964,1327108.3844039964,1327108.3844039964,1327108.3844039964
SkywardSpine,1145881.8327437344,1161509.5909577878,1177137.3491718415,1193008.7661435953,1209272.1049979175
EngulfingLightning,1097673.146201689,1114278.354612771,1132112.2486064183,1151174.828182632,1171466.093341412
Lithic (4 Stacks),1249751.2738005323,1294737.110885267,1340375.8599685354,1386669.4085188503,1433619.644004726
Lithic (3 Stacks),1206713.011706443,1239169.7718285788,1272533.617455441,1305617.605690153,1341072.6869601272
Lithic (2 Stacks),1164413.0806105414,1185664.1758833907,1207055.905632085,1228588.2698566248,1250513.0666223653
Lithic (1 Stacks),1123644.2949349019,1133755.2183000697,1143899.8703838098,1154253.482066123,1164791.1331551445
Deathmatch (1 Opponent),1267975.4318305585,1284307.0443534732,1300638.6568763885,1316970.269399304,1333301.8819222185
Deathmatch (2+ Opponents),1246199.9484666716,1257087.690148615,1267975.4318305585,1278863.1735125014,1289750.9151944455
Blackcliff (3 Stacks),1277013.5869976257,1301760.5889659089,1326507.590934192,1351254.5929024755,1376001.594870758
Blackcliff (2 Stacks),1244017.584373248,1260515.585685437,1277013.5869976257,1293511.588309815,1310009.589622003
Blackcliff (1 Stacks),1211021.5817488707,1219270.582404965,1227519.5830610595,1235768.5837171539,1244017.584373248
Blackcliff (0 Stacks),1178025.579124493,1178025.579124493,1178025.579124493,1178025.579124493,1178025.579124493
MissiveWindspear (On),1104086.275727318,1110961.4931435664,1117836.7105598145,1124711.927976062,1131587.14539231
MissiveWindspear (Off),1076585.4060623262,1076585.4060623262,1076585.4060623262,1076585.4060623262,1076585.4060623262
WavebreakersFin,1086771.3262151526,1086771.3262151526,1086771.3262151526,1086771.3262151526,1086771.3262151526
FavoniusLance,1016459.1831233985,1016459.1831233985,1016459.1831233985,1016459.1831233985,1016459.1831233985
PrototypeStarglitter,981821.992675041,981821.992675041,981821.992675041,981821.992675041,981821.992675041
WhiteTassel,1067508.3605420827,1067508.3605420827,1067508.3605420827,1067508.3605420827,1067508.3605420827
