Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),956443.661777723,979997.8272149729,1003830.59558021,1027941.9668734346,1052331.9410946465
PJWS,919034.6900859036,933355.259275881,947812.6614457478,962406.8965955048,977137.9647251511
Homa (50%),980475.325939478,1006586.7428971413,1034109.3482241767,1063043.1419205845,1093388.1239863648
Homa,924898.7035847545,937778.0135174143,951362.9176347607,965653.415936793,980649.5084235114
"Vortex (Shielded, Stacked)",897959.9507226882,919256.271314626,940552.5919065638,961848.9124985016,983145.2330904397
"Vortex (Shielded, Unstacked)",882282.4492520894,899659.3944763775,917036.3397006658,934413.2849249538,951790.2301492422
CalamityQueller (Stacked),894535.3852749539,916065.7557635448,937846.6222736066,959877.9848051394,982159.8433581422
CalamityQueller (Unstacked),884489.338348628,903350.6372808913,922399.408304727,941635.6514201354,961059.3666271153
"Vortex (Unshielded, Stacked)",855367.3095388121,866015.4698347813,876663.6301307501,887311.7904267192,897959.9507226882
"Vortex (Unshielded, Unstacked)",847528.5588035128,856217.0314156571,864905.5040278011,873593.9766399454,882282.4492520894
StaffOfTheScarletSands,898845.8293057327,898845.8293057327,898845.8293057327,898845.8293057327,898845.8293057327
SkywardSpine,888064.8139662455,898294.2468598706,910595.2772760921,920497.2825453938,933174.5872644467
EngulfingLightning,858056.0575352813,873624.3787853732,890318.8684449494,908139.5265140085,927086.3529925515
Lithic (4 Stacks),867972.4124370491,900679.8044567986,934606.7362058797,969083.8478575305,1004112.7531881368
Lithic (3 Stacks),835155.6495167057,859141.1146235574,883446.2052785266,908266.2902356957,933844.4389779744
Lithic (2 Stacks),803615.4558918298,818845.7847083469,834376.9670718974,850309.816810066,866362.90834015
Lithic (1 Stacks),772680.8579592733,780137.413971924,787622.8078746859,795137.0396675577,802680.1093505399
Deathmatch (1 Opponent),862261.8850657908,875933.8741761927,889605.8632865944,903277.8523969965,916949.8415073977
Deathmatch (2+ Opponents),844032.5662519219,853147.2256588564,862261.8850657908,871376.5444727252,880491.20387966
Blackcliff (3 Stacks),876925.284330902,897621.0543633581,918316.8243958144,939012.5944282705,959708.3644607264
Blackcliff (2 Stacks),849330.9242876268,863128.1043092645,876925.284330902,890722.4643525394,904519.644374177
Blackcliff (1 Stacks),821736.5642443523,828635.1542551708,835533.7442659894,842432.3342768083,849330.9242876268
Blackcliff (0 Stacks),794142.2042010772,794142.2042010772,794142.2042010772,794142.2042010772,794142.2042010772
MissiveWindspear (On),762152.9965620085,767887.7851075348,773622.573653061,779357.3621985875,785092.1507441136
MissiveWindspear (Off),739213.8423799026,739213.8423799026,739213.8423799026,739213.8423799026,739213.8423799026
WavebreakersFin,742654.3883581231,742654.3883581231,742654.3883581231,742654.3883581231,742654.3883581231
FavoniusLance,783520.8696244445,783520.8696244445,783520.8696244445,783520.8696244445,783520.8696244445
PrototypeStarglitter,753432.5606641715,753432.5606641715,753432.5606641715,753432.5606641715,753432.5606641715
WhiteTassel,712019.3656922546,712019.3656922546,712019.3656922546,712019.3656922546,712019.3656922546
