Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),759734.9801954874,783675.2504951583,808107.4279668458,832861.6753621895,857937.9926811899
PJWS,742638.7245424663,762148.0821035781,782205.0623528527,802551.4372310503,823136.3401509449
Homa (50%),790941.6784791735,823053.3779016909,856900.5502332158,892483.1954737491,929801.3136232895
Homa,724041.6928238643,739505.5102163109,755816.5142734322,772974.704995227,791155.8872898647
"Vortex (Shielded, Stacked)",771116.1802943369,797306.2965474178,823496.4128004992,849686.5290535804,875876.6453066611
"Vortex (Shielded, Unstacked)",760514.2506341498,784053.884472184,807593.5183102186,831133.152148253,854672.7859862869
CalamityQueller (Stacked),731263.7444442896,753411.2810903142,775848.3955777993,798575.0879067465,821591.3580771551
CalamityQueller (Unstacked),720029.8504833084,739204.6824844469,758603.3998651898,778226.002625538,798072.4907654914
"Vortex (Unshielded, Stacked)",718735.9477881752,731831.0059147158,744926.064041256,758021.1221677968,771116.1802943369
"Vortex (Unshielded, Unstacked)",713434.9829580816,725204.7998770989,736974.6167961156,748744.433715133,760514.2506341498
StaffOfTheScarletSands,682569.6677183777,682569.6677183777,682569.6677183777,682569.6677183777,682569.6677183777
SkywardSpine,599816.1137046502,608167.9576626852,616519.8016207203,625038.4112169011,633759.9995060506
EngulfingLightning,591632.8075548067,608505.7325961632,626609.8207652548,645945.0720620814,666511.4864866433
Lithic (4 Stacks),712250.7216764842,742802.3358277796,774557.5349211132,806967.7083838141,840034.8408305969
Lithic (3 Stacks),679126.2090531256,701390.032600997,724026.4817185955,747196.7447361855,771103.7812998809
Lithic (2 Stacks),647297.050389714,661388.0213584654,675771.091242161,690529.3435255106,705435.46860666
Lithic (1 Stacks),616212.6504988669,623063.0801142375,629948.9744330636,636870.3334553455,643827.1571810828
Deathmatch (1 Opponent),663209.6099360315,679678.1078183589,696491.8565908972,713305.6053634356,730119.3541359736
Deathmatch (2+ Opponents),641422.8875645606,652264.3689125902,663209.6099360315,674154.8509594729,685282.6907425383
Blackcliff (3 Stacks),694032.6116911287,719484.1736525994,744935.7356140703,770387.2975755417,795838.8595370123
Blackcliff (2 Stacks),660097.195742501,677064.903716815,694032.6116911287,711000.3196654428,727968.0276397567
Blackcliff (1 Stacks),626896.5680832748,635172.4716218427,643448.3751604108,651724.2786989787,660097.195742501
Blackcliff (0 Stacks),593792.9539290025,593792.9539290025,593792.9539290025,593792.9539290025,593792.9539290025
MissiveWindspear (On),617736.0026022447,624788.6189472029,631841.2352921612,638893.8516371195,645946.4679820781
MissiveWindspear (Off),589525.537222411,589525.537222411,589525.537222411,589525.537222411,589525.537222411
WavebreakersFin,578452.5793377927,578452.5793377927,578452.5793377927,578452.5793377927,578452.5793377927
FavoniusLance,517636.99841099733,517636.99841099733,517636.99841099733,517636.99841099733,517636.99841099733
PrototypeStarglitter,492659.7847430923,492659.7847430923,492659.7847430923,492659.7847430923,492659.7847430923
WhiteTassel,519710.1143384351,519710.1143384351,519710.1143384351,519710.1143384351,519710.1143384351
