Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),514808.41493015323,531048.6568165056,547519.1653713385,564219.9405946527,581150.9824864471
PJWS,502568.3517667513,515779.56647925376,529161.3188715156,542713.6089435376,556436.4366953189
Homa (50%),531560.4313813044,551657.7582515776,572841.2427202984,595110.8847874667,618466.6844530829
Homa,488784.4476949503,498697.3414302807,509153.31396483514,520152.36529861344,531694.4954316155
"Vortex (Shielded, Stacked)",507103.5816161598,523339.3686780953,539575.1557400305,555810.942801966,572046.7298639012
"Vortex (Shielded, Unstacked)",500889.27875541395,515571.4901021629,530253.7014489116,544935.9127956607,559618.1241424093
CalamityQueller (Stacked),492560.30618365254,507450.66227014165,522547.14475606254,537849.7536414156,553358.4889262008
CalamityQueller (Unstacked),485757.7949911766,498830.62076929305,512062.8119427399,525454.3685115173,539005.2904756254
"Vortex (Unshielded, Stacked)",474632.00749228924,482749.9010232568,490867.7945542248,498985.6880851924,507103.5816161598
"Vortex (Unshielded, Unstacked)",471524.8560619163,478865.96173529065,486207.0674086654,493548.17308203963,500889.27875541395
StaffOfTheScarletSands,460351.62690410984,460351.62690410984,460351.62690410984,460351.62690410984,460351.62690410984
SkywardSpine,404990.1421365137,410662.3678057497,416334.59347498586,422202.30306056427,428139.0895884954
EngulfingLightning,395886.8814361026,406369.0734964338,417618.5471914092,429635.30252102856,442419.3394852922
Lithic (4 Stacks),471829.88605436584,492142.74267011473,512918.5336726918,534657.0909154648,556844.0378990085
Lithic (3 Stacks),450627.17557681154,465086.21112376754,480122.0967264183,495451.5135222065,511103.7737643437
Lithic (2 Stacks),429906.8202647673,439293.5150665181,448772.0870426524,458342.53619316965,468221.6538570766
Lithic (1 Stacks),409910.40041472856,414339.15040137625,418825.82198402705,423438.77685731766,428074.701024204
Deathmatch (1 Opponent),444004.0940661694,454535.2320486708,465066.3700311721,475597.50801367377,486128.6459961753
Deathmatch (2+ Opponents),429962.5767561672,436983.3354111682,444004.0940661694,451024.8527211704,458045.6113761715
Blackcliff (3 Stacks),462976.717480314,478853.6652112714,494730.61294222885,510607.5606731863,526484.508404144
Blackcliff (2 Stacks),441807.4538390372,452392.0856596754,462976.717480314,473561.34930095216,484145.98112159054
Blackcliff (1 Stacks),420638.19019776053,425930.50610807975,431222.8220183989,436515.13792871794,441807.4538390372
Blackcliff (0 Stacks),399468.92655648384,399468.92655648384,399468.92655648384,399468.92655648384,399468.92655648384
MissiveWindspear (On),407757.0174408492,412129.07811059884,416501.1387803485,420873.1994500982,425245.26011984795
MissiveWindspear (Off),390268.77476185013,390268.77476185013,390268.77476185013,390268.77476185013,390268.77476185013
WavebreakersFin,388189.4950428586,388189.4950428586,388189.4950428586,388189.4950428586,388189.4950428586
FavoniusLance,347755.21375758963,347755.21375758963,347755.21375758963,347755.21375758963,347755.21375758963
PrototypeStarglitter,330007.205197133,330007.205197133,330007.205197133,330007.205197133,330007.205197133
WhiteTassel,346871.7129984549,346871.7129984549,346871.7129984549,346871.7129984549,346871.7129984549
