Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),616366.1128793517,633801.6981624245,651467.5501139783,669363.6687340131,687490.0540225289
PJWS,601943.8987515436,615804.9191196646,629836.477167546,644038.572895187,658411.2063025879
Homa (50%),637995.7860929032,658093.1129631761,679276.5974318966,701546.2394990653,724902.0391646817
Homa,595219.802406549,605132.6961418792,615588.6686764337,626587.720010212,638129.8501432141
"Vortex (Shielded, Stacked)",591778.8858348216,608014.672896757,624250.4599586924,640486.2470206276,656722.034082563
"Vortex (Shielded, Unstacked)",585564.5829740757,600246.7943208246,614929.0056675734,629611.2170143223,644293.428361071
CalamityQueller (Stacked),577877.4463498926,593771.9929820931,609872.6660137258,626179.4654447901,642692.3912752868
CalamityQueller (Unstacked),571074.9351574166,585151.9514812445,599388.3332004029,613784.0803148918,628339.1928247114
"Vortex (Unshielded, Stacked)",559307.3117109509,567425.2052419186,575543.0987728864,583660.9923038541,591778.8858348216
"Vortex (Unshielded, Unstacked)",556200.160280578,563541.2659539523,570882.3716273269,578223.4773007014,585564.5829740757
StaffOfTheScarletSands,577153.0018993312,577153.0018993312,577153.0018993312,577153.0018993312,577153.0018993312
SkywardSpine,563444.6440080443,571210.2965493265,579077.7033712581,586945.1101931893,594812.5170151211
EngulfingLightning,550151.9247519478,562152.0327707537,575030.5317256906,588787.4216167581,603422.7024439562
Lithic (4 Stacks),565078.454981644,588035.22441834,611470.3997547321,635977.8979451373,660942.7393351833
Lithic (3 Stacks),541970.0888082439,558334.7800510458,575349.73239119,592673.6874373392,610341.1599891396
Lithic (2 Stacks),519344.07780035393,530001.2097326686,540750.2188393668,551591.1051204478,562784.4434383945
Lithic (1 Stacks),497493.6193395067,502527.96037326445,507627.8609543317,512876.0343929044,518147.1771250725
Deathmatch (1 Opponent),558129.0537167521,568660.1916992535,579191.3296817549,589722.4676642567,600253.6056467581
Deathmatch (2+ Opponents),544087.53640675,551108.2950617513,558129.0537167521,565149.8123717533,572170.5710267543
Blackcliff (3 Stacks),568485.163258822,584362.1109897796,600239.058720737,616116.0064516946,631992.9541826522
Blackcliff (2 Stacks),547315.8996175453,557900.5314381836,568485.163258822,579069.7950794601,589654.4269000989
Blackcliff (1 Stacks),526146.6359762686,531438.9518865879,536731.2677969071,542023.5837072262,547315.8996175453
Blackcliff (0 Stacks),504977.37233499205,504977.37233499205,504977.37233499205,504977.37233499205,504977.37233499205
MissiveWindspear (On),494919.1094118138,499291.17008156335,503663.23075131304,508035.29142106284,512407.3520908124
MissiveWindspear (Off),477430.8667328147,477430.8667328147,477430.8667328147,477430.8667328147,477430.8667328147
WavebreakersFin,472560.29463878926,472560.29463878926,472560.29463878926,472560.29463878926,472560.29463878926
FavoniusLance,496299.506156942,496299.506156942,496299.506156942,496299.506156942,496299.506156942
PrototypeStarglitter,477579.1742160158,477579.1742160158,477579.1742160158,477579.1742160158,477579.1742160158
WhiteTassel,452671.91006417223,452671.91006417223,452671.91006417223,452671.91006417223,452671.91006417223
