Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),460347.06897328934,475946.29583487596,491775.7893649433,507835.54956349154,524125.5764305201
PJWS,449299.77316558606,462139.9562418129,475173.24375814694,488377.0689542408,501751.4318300942
Homa (50%),479221.1583436411,499318.4852139141,520501.9696826348,542771.6117498034,566127.4114154193
Homa,436733.8945875218,446390.10818463063,456814.0409271716,467813.09226095007,479355.2223939521
"Vortex (Shielded, Stacked)",465464.7494907212,481700.5365526568,497936.3236145921,514172.11067652766,530407.8977384628
"Vortex (Shielded, Unstacked)",459250.4466299753,473932.6579767244,488614.8693234731,503297.08067022235,517979.2920169709
CalamityQueller (Stacked),442792.8145044834,457097.40266051184,471608.11721597204,486324.9581708645,501247.9255251891
CalamityQueller (Unstacked),435990.30331200745,448477.3611596632,461123.78440264927,473929.5730409662,486894.7270746135
"Vortex (Unshielded, Stacked)",432993.17536685086,441111.0688978184,449228.96242878627,457346.8559597539,465464.7494907212
"Vortex (Unshielded, Unstacked)",429886.0239364779,437227.12960985216,444568.2352832268,451909.34095660126,459250.4466299753
StaffOfTheScarletSands,410372.0017178047,410372.0017178047,410372.0017178047,410372.0017178047,410372.0017178047
SkywardSpine,411683.3873727863,417427.736523722,423301.92859927745,429176.12067483226,435050.3127503872
EngulfingLightning,405546.36212657363,417546.47014537954,430424.9691003166,444181.8589913843,458817.1398185823
Lithic (4 Stacks),428592.2611593534,447679.1846361564,467221.8686473883,487676.51953720115,508575.40861564217
Lithic (3 Stacks),408273.16773998993,421848.58622875507,435966.81544029625,450371.4019925756,465089.245814907
Lithic (2 Stacks),388436.4294861365,397234.0462490936,406123.540186434,415104.9112981572,424374.64931879076
Lithic (1 Stacks),369299.69281319313,373447.6415088833,377649.9702247932,381968.3860786869,386309.77122617624
Deathmatch (1 Opponent),398989.92414733215,409521.06212983356,420052.200112335,430583.33809483645,441114.47607733804
Deathmatch (2+ Opponents),385007.8856098297,391969.16549233114,398989.92414733215,406010.68280233326,413031.4414573342
Blackcliff (3 Stacks),417733.8941411624,433610.8418721198,449487.78960307717,465364.73733403464,481241.68506499234
Blackcliff (2 Stacks),396564.63049988565,407149.26232052385,417733.8941411624,428318.52596180036,438903.1577824388
Blackcliff (1 Stacks),375605.0949310839,380759.1612567581,385979.9986792473,391272.31458956643,396564.63049988565
Blackcliff (0 Stacks),355462.488615548,355462.488615548,355462.488615548,355462.488615548,355462.488615548
MissiveWindspear (On),370381.25003364414,374753.3107033937,379125.3713731433,383497.43204289314,387869.4927126429
MissiveWindspear (Off),352893.00735464506,352893.00735464506,352893.00735464506,352893.00735464506,352893.00735464506
WavebreakersFin,346028.65499273845,346028.65499273845,346028.65499273845,346028.65499273845,346028.65499273845
FavoniusLance,353868.1393028036,353868.1393028036,353868.1393028036,353868.1393028036,353868.1393028036
PrototypeStarglitter,335930.03477228864,335930.03477228864,335930.03477228864,335930.03477228864,335930.03477228864
WhiteTassel,308929.0279537897,308929.0279537897,308929.0279537897,308929.0279537897,308929.0279537897
