Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),670827.4588362155,688904.0591440542,707210.9261203739,725748.0597651742,744515.4600784557
PJWS,655235.0441130563,669444.5293571054,683824.5522809146,698375.1128844836,713096.2111678126
Homa (50%),690335.0591305668,710432.3860008395,731615.8704695599,753885.5125367284,777241.3122023451
Homa,647559.0754442124,657471.9691795429,667927.9417140972,678926.9930478757,690469.1231808775
"Vortex (Shielded, Stacked)",633417.7179602603,649653.5050221954,665889.2920841308,682125.0791460661,698360.8662080016
"Vortex (Shielded, Unstacked)",627203.4150995143,641885.6264462629,656567.8377930119,671250.0491397608,685932.2604865098
CalamityQueller (Stacked),627644.938029062,644125.2525917228,660811.6935538163,677704.2609153413,694802.9546762988
CalamityQueller (Unstacked),620842.426836586,635505.211090874,650327.3607404936,665308.875785443,680449.7562257233
"Vortex (Unshielded, Stacked)",600946.1438363893,609064.037367357,617181.9308983249,625299.8244292926,633417.7179602603
"Vortex (Unshielded, Unstacked)",597838.9924060163,605180.0980793908,612521.2037527654,619862.3094261399,627203.4150995143
StaffOfTheScarletSands,629592.2240244844,629592.2240244844,629592.2240244844,629592.2240244844,629592.2240244844
SkywardSpine,617270.1139446789,625777.6138028968,634396.5884565162,643015.563110135,651634.5377637544
EngulfingLightning,597820.4353465164,609820.5433653226,622699.0423202593,636455.9322113268,651091.213038525
Lithic (4 Stacks),608316.0798766564,632498.7824522983,657167.0647800358,682958.469323401,709211.3686185495
Lithic (3 Stacks),584324.0966450654,601572.4049460582,619505.0136773121,637753.79896697,656355.6879385762
Lithic (2 Stacks),560814.4685789846,572060.6785500933,583398.7656955854,594828.7300154602,606631.44797668
Lithic (1 Stacks),538104.326941042,543419.4692657574,548803.7127135654,554346.425171535,559912.1069231002
Deathmatch (1 Opponent),603143.2236355891,613674.3616180909,624205.4996005922,634736.6375830937,645267.7755655954
Deathmatch (2+ Opponents),589101.7063255872,596122.4649805881,603143.2236355891,610163.9822905903,617184.7409455915
Blackcliff (3 Stacks),613727.9865979736,629604.934328931,645481.8820598887,661358.8297908463,677235.7775218039
Blackcliff (2 Stacks),592558.7229566968,603143.3547773353,613727.9865979736,624312.6184186117,634897.2502392506
Blackcliff (1 Stacks),571389.4593154204,576681.7752257395,581974.0911360587,587266.4070463777,592558.7229566968
Blackcliff (0 Stacks),550220.1956741436,550220.1956741436,550220.1956741436,550220.1956741436,550220.1956741436
MissiveWindspear (On),532294.876819019,536666.9374887684,541038.9981585181,545411.058828268,549783.1194980175
MissiveWindspear (Off),514806.63414001977,514806.63414001977,514806.63414001977,514806.63414001977,514806.63414001977
WavebreakersFin,514721.1346889094,514721.1346889094,514721.1346889094,514721.1346889094,514721.1346889094
FavoniusLance,541826.6189709356,541826.6189709356,541826.6189709356,541826.6189709356,541826.6189709356
PrototypeStarglitter,520367.2898688086,520367.2898688086,520367.2898688086,520367.2898688086,520367.2898688086
WhiteTassel,491066.0027046362,491066.0027046362,491066.0027046362,491066.0027046362,491066.0027046362
