Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),780569.9639608957,804466.453702419,828685.0133675989,853225.6429564357,878088.3424689295
PJWS,763247.8230040875,782887.6477358046,802766.0005092183,822882.8813243293,843238.2901811374
Homa (50%),806688.4952091288,837176.566849879,869312.3626326689,903095.8825574992,938527.1266243694
Homa,741851.1001187944,756834.4898863995,772696.4222600391,789382.2167046993,806891.8732203795
"Vortex (Shielded, Stacked)",776894.69309823,801760.5879266923,826626.482755155,851492.3775836173,876358.2724120792
"Vortex (Shielded, Unstacked)",767025.8173688343,789424.4932649477,811823.1691610612,834221.8450571747,856620.5209532875
CalamityQueller (Stacked),748885.2661309886,770851.8166260993,793107.9449626718,815653.6511407052,838488.9351602005
CalamityQueller (Unstacked),738308.2967885706,757466.3737934363,776848.3361779071,796454.1839419823,816283.9170856635
"Vortex (Unshielded, Stacked)",727162.903441305,739595.8508555366,752028.7982697678,764461.745683999,776894.69309823
"Vortex (Unshielded, Unstacked)",722228.4655766072,733427.8035246643,744627.141472721,755826.4794207776,767025.8173688343
StaffOfTheScarletSands,699022.0819016141,699022.0819016141,699022.0819016141,699022.0819016141,699022.0819016141
SkywardSpine,618352.2097354815,626791.5162487733,635443.3415710884,644095.1668934033,652752.7927563523
EngulfingLightning,606513.1326168497,622545.2124623205,639748.4385278156,658122.8108133351,677668.3293188789
Lithic (4 Stacks),722649.7248661211,752920.422249899,784372.5539856222,816449.370354767,849152.7556261998
Lithic (3 Stacks),690254.8491656808,712338.1726108337,734777.9530143181,757737.5616334027,781422.236159958
Lithic (2 Stacks),659125.7098240877,673110.4299710008,687382.6579144435,702026.6203555472,716810.9788683035
Lithic (1 Stacks),628703.6728539467,635510.8394491657,642351.6775858823,649226.187264097,656134.3684838089
Deathmatch (1 Opponent),677250.9901927166,693214.6042756032,709178.21835849,725141.8324413769,741105.4465242638
Deathmatch (2+ Opponents),655966.1714155342,666608.5808041252,677250.9901927166,687893.3995813075,698535.808969899
Blackcliff (3 Stacks),707281.1931673718,731445.8763951366,755610.5596229008,779775.2428506656,803939.9260784304
Blackcliff (2 Stacks),675061.6155303527,691171.4043488622,707281.1931673718,723390.9819858819,739500.7708043914
Blackcliff (1 Stacks),642842.0378933335,650896.9323025884,658951.8267118431,667006.7211210979,675061.6155303527
Blackcliff (0 Stacks),610924.959228158,610924.959228158,610924.959228158,610924.959228158,610924.959228158
MissiveWindspear (On),626687.2312915631,633383.2541195869,640079.2769476107,646775.2997756345,653471.3226036585
MissiveWindspear (Off),599903.1399794676,599903.1399794676,599903.1399794676,599903.1399794676,599903.1399794676
WavebreakersFin,594533.6445788578,594533.6445788578,594533.6445788578,594533.6445788578,594533.6445788578
FavoniusLance,533699.0718190229,533699.0718190229,533699.0718190229,533699.0718190229,533699.0718190229
PrototypeStarglitter,507609.6253332053,507609.6253332053,507609.6253332053,507609.6253332053,507609.6253332053
WhiteTassel,533972.7590502565,533972.7590502565,533972.7590502565,533972.7590502565,533972.7590502565
