Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),668901.8184735529,686825.6908890317,704979.8299729922,723364.2357254326,741978.9081463541
PJWS,653320.2033925243,667365.609877703,681581.5540426421,695968.0358873405,710525.0554117988
Homa (50%),684076.7413228655,703007.2750988901,722960.9072817938,743937.6378715765,765937.466868238
Homa,643784.2084300955,653121.5880172482,662970.51680784,673330.9948018714,684203.0219993425
"Vortex (Shielded, Stacked)",623549.4543840941,638842.6382657251,654135.8221473552,669429.0060289854,684722.1899106157
"Vortex (Shielded, Unstacked)",617856.9516948701,631727.009904195,645597.0681135191,659467.1263228434,673337.1845321675
CalamityQueller (Stacked),625098.5973976364,641450.0829606528,658007.6949231008,674771.4332849807,691741.2980462929
CalamityQueller (Unstacked),618763.6962461752,633414.5540110725,648224.7771713,663194.3657268581,678323.3196777467
"Vortex (Unshielded, Stacked)",592963.086620834,600609.678561649,608256.2705024641,615902.8624432794,623549.4543840941
"Vortex (Unshielded, Unstacked)",590116.835276222,597051.864380884,603986.893485546,610921.9225902082,617856.9516948701
StaffOfTheScarletSands,626887.4342552018,626887.4342552018,626887.4342552018,626887.4342552018,626887.4342552018
SkywardSpine,538952.6203487932,546501.1025699083,554049.5847910241,561858.213020615,569758.7674360883
EngulfingLightning,518811.5779276019,528695.2421729836,539303.467004227,550636.2524213314,562693.5984242974
Lithic (4 Stacks),600918.5557406431,624488.8941699686,648521.2533119895,673644.3317722973,699204.7926799287
Lithic (3 Stacks),577748.9056577507,594566.3992139433,612050.4446875495,629836.9427431925,647962.2343164576
Lithic (2 Stacks),555033.6065844067,566007.2755692478,577067.4876035268,588214.2426872442,599725.2196341177
Lithic (1 Stacks),533086.8327278963,538274.7132099514,543529.9698818579,548941.0792060203,554373.8242925425
Deathmatch (1 Opponent),597130.0957959772,607049.826144425,616969.5564928732,626889.2868413208,636809.0171897685
Deathmatch (2+ Opponents),583903.7886647135,590516.9422303453,597130.0957959772,603743.2493616091,610356.4029272412
Blackcliff (3 Stacks),607281.69880482,622236.8765367226,637192.0542686256,652147.2320005279,667102.4097324298
Blackcliff (2 Stacks),587341.4618289501,597311.5803168851,607281.69880482,617251.8172927554,627221.9357806902
Blackcliff (1 Stacks),567401.2248530802,572386.2840970476,577371.3433410152,582356.4025849827,587341.4618289501
Blackcliff (0 Stacks),547460.9878772099,547460.9878772099,547460.9878772099,547460.9878772099,547460.9878772099
MissiveWindspear (On),525501.5234710053,529619.7548514159,533737.9862318262,537856.2176122371,541974.4489926476
MissiveWindspear (Off),509028.597949363,509028.597949363,509028.597949363,509028.597949363,509028.597949363
WavebreakersFin,512086.42024975433,512086.42024975433,512086.42024975433,512086.42024975433,512086.42024975433
FavoniusLance,471491.44473572134,471491.44473572134,471491.44473572134,471491.44473572134,471491.44473572134
PrototypeStarglitter,452265.6420893702,452265.6420893702,452265.6420893702,452265.6420893702,452265.6420893702
WhiteTassel,487262.985915093,487262.985915093,487262.985915093,487262.985915093,487262.985915093
