Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),522064.56667492376,538152.0806689162,554469.8613313894,571017.9086623436,587796.2226617786
PJWS,509835.3031536525,522882.4391072843,536100.1127406756,549488.324053827,563047.0730467383
Homa (50%),535107.7248167173,554038.2585927421,573991.890775646,594968.6213654288,616968.4503620904
Homa,494815.1919239474,504152.5715111001,514001.5003016922,524361.9782957234,535234.0054931944
"Vortex (Shielded, Stacked)",505036.2326638089,520329.4165454395,535622.6004270696,550915.7843086998,566208.9681903303
"Vortex (Shielded, Unstacked)",499343.72997458495,513213.7881839095,527083.8463932336,540953.9046025578,554823.9628118824
CalamityQueller (Stacked),497963.7579330884,512725.2850199321,527692.9385062085,542866.7183919161,558246.6246770563
CalamityQueller (Unstacked),491628.85678162717,504689.7560703518,517910.02075440774,531289.6508337935,544828.6463085102
"Vortex (Unshielded, Stacked)",474449.8649005486,482096.4568413636,489743.0487821787,497389.64072299376,505036.2326638089
"Vortex (Unshielded, Unstacked)",471603.61355593655,478538.6426605985,485473.6717652607,492408.70086992276,499343.72997458495
StaffOfTheScarletSands,468098.80622736784,468098.80622736784,468098.80622736784,468098.80622736784,468098.80622736784
SkywardSpine,412424.46184999164,418200.81138478545,423977.1609195796,429952.58282826527,435998.3497103511
EngulfingLightning,400298.35620731633,410182.0204526984,420790.2452839415,432123.03070104617,444180.376704012
Lithic (4 Stacks),472861.48296650394,492800.9695724135,513181.2300593302,534501.7571612917,556247.3710394772
Lithic (3 Stacks),452308.8455941841,466509.32643980446,481275.5447537708,496322.9688180853,511680.79497753666
Lithic (2 Stacks),432210.5592314124,441439.5530758721,450755.0899697696,460157.16991310474,469863.3443641151
Lithic (1 Stacks),412809.9129996116,417166.14300506137,421579.2600990545,426118.0318530261,430678.43936935754
Deathmatch (1 Opponent),447819.0883909475,457738.8187393953,467658.54908784333,477578.2794362909,487498.00978473877
Deathmatch (2+ Opponents),434592.78125968354,441205.9348253157,447819.0883909475,454432.2419565795,461045.3955222111
Blackcliff (3 Stacks),465840.5339546272,480795.7116865298,495750.88941843243,510706.0671503348,525661.2448822374
Blackcliff (2 Stacks),445900.29697875713,455870.4154666921,465840.5339546272,475810.6524425624,485780.7709304973
Blackcliff (1 Stacks),425960.0600028873,430945.11924685456,435930.1784908223,440915.2377347898,445900.29697875713
Blackcliff (0 Stacks),406019.823027017,406019.823027017,406019.823027017,406019.823027017,406019.823027017
MissiveWindspear (On),408654.87931672175,412773.1106971321,416891.34207754274,421009.5734579534,425127.8048383641
MissiveWindspear (Off),392181.9537950793,392181.9537950793,392181.9537950793,392181.9537950793,392181.9537950793
WavebreakersFin,393369.1278071016,393369.1278071016,393369.1278071016,393369.1278071016,393369.1278071016
FavoniusLance,353709.476437253,353709.476437253,353709.476437253,353709.476437253,353709.476437253
PrototypeStarglitter,335418.9979350864,335418.9979350864,335418.9979350864,335418.9979350864,335418.9979350864
WhiteTassel,351973.8542204842,351973.8542204842,351973.8542204842,351973.8542204842,351973.8542204842
