Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),1018739.5903512313,1045204.5621944709,1071991.603961367,1099100.7156519208,1126531.897266131
PJWS,996728.5744563114,1017764.6625552167,1039039.2786958187,1060552.422878119,1082304.0951021153
Homa (50%),1048823.107002021,1079311.1786427712,1111446.974425561,1145230.4943503912,1180661.7384172606
Homa,983931.0313766709,998969.1016792915,1014831.0340529311,1031516.8284975913,1049026.4850132714
"Vortex (Shielded, Stacked)",971371.0512646944,996236.9460931567,1021102.8409216193,1045968.7357500818,1070834.6305785438
"Vortex (Shielded, Unstacked)",961502.1755352987,983900.8514314117,1006299.5273275255,1028698.2032236392,1051096.8791197522
CalamityQueller (Stacked),956007.7870545316,980207.9997336807,1004697.7902542909,1029477.1586163624,1054546.1048198952
CalamityQueller (Unstacked),945430.8177121138,966822.5569010174,988438.1814695261,1010277.6914176395,1032341.0867453583
"Vortex (Unshielded, Stacked)",921639.2616077695,934072.2090220012,946505.1564362322,958938.1038504638,971371.0512646944
"Vortex (Unshielded, Unstacked)",916704.8237430716,927904.1616911289,939103.4996391853,950302.8375872424,961502.1755352987
StaffOfTheScarletSands,951957.8358620091,951957.8358620091,951957.8358620091,951957.8358620091,951957.8358620091
SkywardSpine,939681.8561253283,950505.8549342221,963521.8588474329,973999.3989373993,987413.5473663437
EngulfingLightning,914146.6080015438,932443.5664243253,952077.120840972,973047.2712514834,995354.0176558597
Lithic (4 Stacks),932447.1977953219,968430.8548408023,1005770.9061885485,1043748.4211977781,1082365.2841373594
Lithic (3 Stacks),895779.6808999334,922135.6455400345,948860.1456897955,976163.2610230868,1004306.9147695048
Lithic (2 Stacks),860540.0812856494,877265.108281023,894323.651012793,911824.0932847477,929464.9316283554
Lithic (1 Stacks),826007.5840428174,834184.9040622663,842395.8956232134,850640.5587256582,858918.8933696009
Deathmatch (1 Opponent),919753.9289635868,935717.5430464733,951681.15712936,967644.7712122471,983608.3852951338
Deathmatch (2+ Opponents),898469.1101864041,909111.5195749952,919753.9289635868,930396.3383521778,941038.7477407692
Blackcliff (3 Stacks),937934.2309683542,962098.9141961181,986263.5974238827,1010428.280651648,1034592.9638794122
Blackcliff (2 Stacks),905714.6533313347,921824.4421498443,937934.2309683542,954044.0197868637,970153.8086053733
Blackcliff (1 Stacks),873495.0756943155,881549.97010357,889604.8645128249,897659.75892208,905714.6533313347
Blackcliff (0 Stacks),841275.4980572957,841275.4980572957,841275.4980572957,841275.4980572957,841275.4980572957
MissiveWindspear (On),818428.789653134,825124.8124811571,831820.8353091816,838516.8581372054,845212.8809652294
MissiveWindspear (Off),791644.6983410382,791644.6983410382,791644.6983410382,791644.6983410382,791644.6983410382
WavebreakersFin,789344.8761908192,789344.8761908192,789344.8761908192,789344.8761908192,789344.8761908192
FavoniusLance,829676.4997889716,829676.4997889716,829676.4997889716,829676.4997889716,829676.4997889716
PrototypeStarglitter,798149.6882702447,798149.6882702447,798149.6882702447,798149.6882702447,798149.6882702447
WhiteTassel,754984.875968696,754984.875968696,754984.875968696,754984.875968696,754984.875968696
