Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),617645.5476405183,634928.4050312315,652441.5290904256,670184.9198181002,688158.5772142563
PJWS,603234.1331548406,616931.0747640915,630798.5540531024,644836.5710218726,659045.1256704031
Homa (50%),634969.8396749496,653900.3734509742,673854.0056338779,694830.7362236606,716830.5652203222
Homa,594677.3067821795,604014.6863693321,613863.615159924,624224.0931539555,635096.1203514265
"Vortex (Shielded, Stacked)",584482.1552940483,599775.3391756788,615068.5230573089,630361.7069389393,645654.8908205694
"Vortex (Shielded, Unstacked)",578789.6526048242,592659.7108141488,606529.7690234728,620399.8272327972,634269.8854421213
CalamityQueller (Stacked),578259.9453707703,594025.6630033259,609997.5070353134,626175.4774667328,642559.5742975841
CalamityQueller (Unstacked),571925.0442193092,585990.1340537455,600214.5892835127,614598.40990861,629141.5959290382
"Vortex (Unshielded, Stacked)",553895.7875307879,561542.3794716028,569188.9714124181,576835.5633532332,584482.1552940483
"Vortex (Unshielded, Unstacked)",551049.5361861758,557984.5652908378,564919.5943955,571854.6235001619,578789.6526048242
StaffOfTheScarletSands,577686.7561804405,577686.7561804405,577686.7561804405,577686.7561804405,577686.7561804405
SkywardSpine,565746.3982182004,573543.7745918436,581443.3209273338,589342.8672628235,597242.4135983132
EngulfingLightning,549215.5776501837,560530.4856277854,572674.8770995329,585648.7520654253,599452.1105254629
Lithic (4 Stacks),560351.2022032534,582771.3187325189,605646.7251652089,629565.1888240355,653917.1397698034
Lithic (3 Stacks),538010.5987129605,553999.0456765539,570622.1074274328,587540.8909510777,604789.4738395932
Lithic (2 Stacks),516124.34623221564,526545.3174886573,537052.8317945369,547646.8891498544,558586.1205513338
Lithic (1 Stacks),494984.1631970111,499908.58412799955,504897.05839386664,510031.81885382935,515188.2150761518
Deathmatch (1 Opponent),554895.9131894243,564815.6435378722,574735.3738863203,584655.1042347678,594574.8345832156
Deathmatch (2+ Opponents),541669.6060581604,548282.7596237923,554895.9131894243,561509.0667550563,568122.2203206881
Blackcliff (3 Stacks),564832.9839670922,579788.1616989949,594743.3394308975,609698.5171628001,624653.6948947022
Blackcliff (2 Stacks),544892.7469912223,554862.8654791573,564832.9839670922,574803.1024550274,584773.2209429623
Blackcliff (1 Stacks),524952.5100153524,529937.5692593198,534922.6285032873,539907.687747255,544892.7469912223
Blackcliff (0 Stacks),505012.2730394822,505012.2730394822,505012.2730394822,505012.2730394822,505012.2730394822
MissiveWindspear (On),490434.0105393633,494552.2419197738,498670.47330018436,502788.7046805951,506906.93606100586
MissiveWindspear (Off),473961.08501772105,473961.08501772105,473961.08501772105,473961.08501772105,473961.08501772105
WavebreakersFin,472529.3514260261,472529.3514260261,472529.3514260261,472529.3514260261,472529.3514260261
FavoniusLance,497052.2115815636,497052.2115815636,497052.2115815636,497052.2115815636,497052.2115815636
PrototypeStarglitter,477612.18133780605,477612.18133780605,477612.18133780605,477612.18133780605,477612.18133780605
WhiteTassel,451240.0375298625,451240.0375298625,451240.0375298625,451240.0375298625,451240.0375298625
