Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),470808.29584188905,486254.7948111156,501931.56044882303,517838.59275501146,533975.8917296807
PJWS,459749.23291596887,472447.90399367246,485317.112751136,498356.8591883594,511567.14330534264
Homa (50%),486000.82316880143,504931.3569448264,524884.98912773,545861.719717513,567861.5487141743
Homa,445708.2902760315,455045.6698631843,464894.59865377634,475255.0766478077,486127.1038452786
"Vortex (Shielded, Stacked)",465968.9335737628,481262.1174553933,496555.30133702356,511848.48521865363,527141.6691002842
"Vortex (Shielded, Unstacked)",460276.43088453886,474146.4890938632,488016.5473031874,501886.6055125115,515756.6637218362
CalamityQueller (Stacked),451125.1059062224,465300.8650626056,479682.7506184211,494270.76257366815,509064.90092834784
CalamityQueller (Unstacked),444790.2047547612,457265.3361130253,469899.8328666204,482693.69501554547,495646.9225598017
"Vortex (Unshielded, Stacked)",435382.5658105024,443029.1577513174,450675.7496921325,458322.34163294756,465968.9335737628
"Vortex (Unshielded, Unstacked)",432536.31446589035,439471.3435705524,446406.3726752145,453341.40177987656,460276.43088453886
StaffOfTheScarletSands,419205.6809368738,419205.6809368738,419205.6809368738,419205.6809368738,419205.6809368738
SkywardSpine,421329.4846679979,427122.7136622262,432915.9426564541,438891.7905271063,444932.1693005316
EngulfingLightning,413540.57244948496,424855.4804270867,436999.8718988341,449973.7468647264,463777.10532476404
Lithic (4 Stacks),432294.12942911446,451083.39413496404,470306.7019125495,490422.6142130296,510959.71812935197
Lithic (3 Stacks),412570.53864939394,425941.9729024148,439847.207493654,454026.91702597035,468508.03450067225
Lithic (2 Stacks),393301.29887922143,401977.5949952814,410740.43416077946,419589.81637571513,428724.2452813311
Lithic (1 Stacks),374707.24346872634,378800.01392310933,382946.3486110632,387208.7715008351,391492.83015296666
Deathmatch (1 Opponent),405584.9057843945,415504.63613284245,425424.3664812904,435344.09682973794,445263.8271781858
Deathmatch (2+ Opponents),392358.59865313064,398971.7522187625,405584.9057843945,412198.0593500265,418811.2129156582
Blackcliff (3 Stacks),423391.8191168994,438346.99684880197,453302.17458070454,468257.3523126069,483212.5300445096
Blackcliff (2 Stacks),403451.5821410293,413421.7006289643,423391.8191168994,433361.9376048346,443332.05609276955
Blackcliff (1 Stacks),383511.34516515944,388496.4044091267,393481.46365309437,398466.52289706195,403451.5821410293
Blackcliff (0 Stacks),363571.1081892892,363571.1081892892,363571.1081892892,363571.1081892892,363571.1081892892
MissiveWindspear (On),373587.36638507975,377705.59776549024,381823.82914590096,385942.0605263115,390060.291906722
MissiveWindspear (Off),357114.4408634374,357114.4408634374,357114.4408634374,357114.4408634374,357114.4408634374
WavebreakersFin,353812.0589833732,353812.0589833732,353812.0589833732,353812.0589833732,353812.0589833732
FavoniusLance,362214.3518939808,362214.3518939808,362214.3518939808,362214.3518939808,362214.3518939808
PrototypeStarglitter,343845.0891669996,343845.0891669996,343845.0891669996,343845.0891669996,343845.0891669996
WhiteTassel,315950.9058352538,315950.9058352538,315950.9058352538,315950.9058352538,315950.9058352538
