Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),1046661.1040886586,1074500.3411331102,1102661.6481012187,1131145.024992984,1159950.471808407
PJWS,1025057.847640494,1047595.7593878361,1070372.199176875,1093387.1670076111,1116640.6628800451
Homa (50%),1093093.3603983584,1128738.3642742105,1166309.7980706368,1205807.661787637,1247231.9554252117
Homa,1017225.0564126765,1034806.754610531,1053351.667768672,1072859.7958871005,1093331.1389658162
"Vortex (Shielded, Stacked)",1028744.741328015,1057816.6002497973,1086888.459171579,1115960.318093361,1145032.1770151432
"Vortex (Shielded, Unstacked)",1018142.811667828,1044564.1881745637,1070985.5646812983,1097406.941188034,1123828.317694769
CalamityQueller (Stacked),985169.6313768532,1010583.3046956299,1036286.5558558682,1062279.384857568,1088561.7917007292
CalamityQueller (Unstacked),973482.7448235995,995810.465349422,1018362.0712548496,1041137.5625398824,1064136.9392045205
"Vortex (Unshielded, Stacked)",970601.0234844512,985136.9529453424,999672.8824062329,1014208.8118671245,1028744.741328015
"Vortex (Unshielded, Unstacked)",965300.0586543577,978510.7469077253,991721.4351610927,1004932.1234144609,1018142.811667828
StaffOfTheScarletSands,980324.136358407,980324.136358407,980324.136358407,980324.136358407,980324.136358407
SkywardSpine,844794.667570224,856324.4737683288,868144.6238089787,879964.7738496282,891784.9238902781
EngulfingLightning,829667.3903589875,848467.8584818583,868647.8633568643,890207.4049840039,913146.4833632782
Lithic (4 Stacks),979214.7888049615,1018263.6178449364,1058805.741620598,1100086.3951931975,1142107.7815479524
Lithic (3 Stacks),938604.711057499,967159.0797907349,996137.9325247684,1025762.1811612766,1056308.0738517868
Lithic (2 Stacks),899578.307070568,917683.0842145985,936153.4584756257,955103.3707765093,974217.4265685659
Lithic (1 Stacks),861378.6089202021,870214.4792969265,879089.7166182492,888004.3208841697,896958.2920946893
Deathmatch (1 Opponent),960509.0040501192,979172.797961458,997836.5918727971,1016500.3857841366,1035164.1796954757
Deathmatch (2+ Opponents),935623.9455016667,948066.474775893,960509.0040501192,972951.5333243455,985394.0625985715
Blackcliff (3 Stacks),980878.5619318074,1009130.6021874831,1037382.6424431594,1065634.6826988352,1093886.722954511
Blackcliff (2 Stacks),943209.1749242396,962043.8684280235,980878.5619318074,999713.2554355913,1018547.9489393753
Blackcliff (1 Stacks),905539.7879166716,914957.1346685635,924374.4814204557,933791.8281723475,943209.1749242396
Blackcliff (0 Stacks),867870.400909104,867870.400909104,867870.400909104,867870.400909104,867870.400909104
MissiveWindspear (On),860678.584933796,868507.212551513,876335.8401692297,884164.4677869468,891993.0954046637
MissiveWindspear (Off),829364.0744629287,829364.0744629287,829364.0744629287,829364.0744629287,829364.0744629287
WavebreakersFin,814613.7902756842,814613.7902756842,814613.7902756842,814613.7902756842,814613.7902756842
FavoniusLance,747725.5794530496,747725.5794530496,747725.5794530496,747725.5794530496,747725.5794530496
PrototypeStarglitter,721459.4904653989,721459.4904653989,721459.4904653989,721459.4904653989,721459.4904653989
WhiteTassel,784031.5462999742,784031.5462999742,784031.5462999742,784031.5462999742,784031.5462999742
