Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),678396.3496069015,697237.4164219529,716308.7499054852,735610.3500574987,755142.2168779927
PJWS,663826.8413875853,679074.8359933946,694493.3682789637,710082.4382442929,725842.0458893816
Homa (50%),710347.4158311541,734150.6862600388,759240.4015584888,785616.5617265039,813279.1667640845
Homa,659683.5482372036,671424.3778429506,683808.42988348,696835.7043587922,710506.2012688862
"Vortex (Shielded, Stacked)",664868.3449789659,684098.0083344781,703327.6716899897,722557.3350455017,741786.9984010132
"Vortex (Shielded, Unstacked)",658132.2419466982,675677.8795441434,693223.517141588,710769.1547390331,728314.7923364777
CalamityQueller (Stacked),637224.2224442711,654369.0178578572,671719.9396708763,689276.987883327,707040.1624952096
CalamityQueller (Unstacked),629631.6534311322,644761.4040811801,660050.5201265592,675499.0015672686,691106.8484033084
"Vortex (Unshielded, Stacked)",626409.0182679422,636023.849945698,645638.6816234541,655253.5133012102,664868.3449789659
"Vortex (Unshielded, Unstacked)",623040.9667518083,631813.7855505307,640586.6043492532,649359.4231479759,658132.2419466982
StaffOfTheScarletSands,638084.402401482,638084.402401482,638084.402401482,638084.402401482,638084.402401482
SkywardSpine,542990.8646447535,550595.9058547701,558200.9470647866,566068.0834956871,574027.834893601
EngulfingLightning,533225.4963677181,545678.2739706809,559046.6691094143,573330.6817839197,588530.3119941959
Lithic (4 Stacks),631800.8815234359,657928.2486193142,684616.0213554343,712529.8207126302,740981.6987515038
Lithic (3 Stacks),605197.2471171033,623813.6741155218,643170.7652898452,662887.6209914426,683003.0295646992
Lithic (2 Stacks),579164.9140844069,591276.6123162098,603497.1298572767,615826.4667076077,628555.6504606112
Lithic (1 Stacks),554030.3997034952,559749.6765868309,565543.5323839899,571504.1646042849,577492.0016518964
Deathmatch (1 Opponent),621838.3593191243,634311.4373030511,646784.5152869776,659257.5932709043,671730.6712548309
Deathmatch (2+ Opponents),605207.5886738884,613522.9739965063,621838.3593191243,630153.7446417419,638469.1299643597
Blackcliff (3 Stacks),634008.4251780283,652813.0792927132,671617.7334073986,690422.3875220834,709227.0416367683
Blackcliff (2 Stacks),608935.5530251152,621471.9891015718,634008.4251780283,646544.861254485,659081.297330942
Blackcliff (1 Stacks),583862.6808722022,590130.8989104303,596399.1169486588,602667.3349868868,608935.5530251152
Blackcliff (0 Stacks),558789.8087192886,558789.8087192886,558789.8087192886,558789.8087192886,558789.8087192886
MissiveWindspear (On),553711.4130355798,558889.6809278873,564067.9488201947,569246.2167125022,574424.4846048099
MissiveWindspear (Off),532998.3414663497,532998.3414663497,532998.3414663497,532998.3414663497,532998.3414663497
WavebreakersFin,523229.4863877198,523229.4863877198,523229.4863877198,523229.4863877198,523229.4863877198
FavoniusLance,478992.20897953183,478992.20897953183,478992.20897953183,478992.20897953183,478992.20897953183
PrototypeStarglitter,461624.549017378,461624.549017378,461624.549017378,461624.549017378,461624.549017378
WhiteTassel,502606.18699429766,502606.18699429766,502606.18699429766,502606.18699429766,502606.18699429766
