Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),1093447.6751157842,1122092.0869693782,1151058.5687466287,1180347.120447537,1209957.7420721014
PJWS,1071215.5363068988,1094421.0548469755,1117865.1014287486,1141547.6760522202,1165468.7787173882
Homa (50%),1143750.753317831,1181019.38497545,1220302.1953206116,1261599.1843533148,1304910.3520735605
Homa,1064426.6526506364,1082809.1961435024,1102198.8289801409,1122595.5511605497,1143999.3626847293
"Vortex (Shielded, Stacked)",1076300.3998097589,1106696.4801561588,1137092.5605025599,1167488.6408489605,1197884.7211953606
"Vortex (Shielded, Unstacked)",1064965.4162187804,1092527.7506674358,1120090.085116092,1147652.4195647482,1175214.754013404
CalamityQueller (Stacked),1029151.1443301708,1055288.762252601,1081715.9580164931,1108432.7316218466,1135439.083068661
CalamityQueller (Unstacked),1016807.3331583538,1039694.767133189,1062806.0864876295,1086141.2912216752,1109700.3813353258
"Vortex (Unshielded, Stacked)",1015508.2391169578,1030706.2792901574,1045904.319463358,1061102.3596365585,1076300.3998097589
"Vortex (Unshielded, Unstacked)",1009840.7473214685,1023621.9145457959,1037403.0817701244,1051184.2489944524,1064965.4162187804
StaffOfTheScarletSands,1025895.6466496447,1025895.6466496447,1025895.6466496447,1025895.6466496447,1025895.6466496447
SkywardSpine,1006025.6064158684,1017613.8050115742,1031548.7694301624,1042766.0485061023,1057127.2673801437
EngulfingLightning,990762.1671540211,1013178.2414641575,1037237.2375733005,1062939.1554814521,1090283.9951886109
Lithic (4 Stacks),1024569.1918514911,1065417.1492769911,1107827.0474080709,1151009.161082165,1194965.793630335
Lithic (3 Stacks),982094.0283269499,1011964.3460170652,1042278.5261787176,1073267.710487693,1105220.9331578678
Lithic (2 Stacks),941275.2555337125,960214.5164892396,979536.1922305054,999359.5001826398,1019354.4283520932
Lithic (1 Stacks),901320.8449781532,910564.0948698584,919848.5048681191,929174.0749729364,938540.8051843098
Deathmatch (1 Opponent),1005128.3708841462,1024642.2994851371,1044156.2280861273,1063670.156687118,1083184.085288109
Deathmatch (2+ Opponents),979109.7994161586,992119.0851501523,1005128.3708841462,1018137.6566181397,1031146.942352134
Blackcliff (3 Stacks),1026383.381954475,1055922.3009438578,1085461.21993324,1115000.1389226217,1144539.057912004
Blackcliff (2 Stacks),986998.1566352991,1006690.7692948871,1026383.381954475,1046075.9946140633,1065768.6072736513
Blackcliff (1 Stacks),947612.9313161223,957459.2376459168,967305.5439757105,977151.8503055049,986998.1566352991
Blackcliff (0 Stacks),908227.7059969461,908227.7059969461,908227.7059969461,908227.7059969461,908227.7059969461
MissiveWindspear (On),900568.9794454896,908754.2005801403,916939.4217147925,925124.6428494436,933309.8639840946
MissiveWindspear (Off),867828.0949068845,867828.0949068845,867828.0949068845,867828.0949068845,867828.0949068845
WavebreakersFin,852417.0042489858,852417.0042489858,852417.0042489858,852417.0042489858,852417.0042489858
FavoniusLance,893018.2623959162,893018.2623959162,893018.2623959162,893018.2623959162,893018.2623959162
PrototypeStarglitter,861669.7646535898,861669.7646535898,861669.7646535898,861669.7646535898,861669.7646535898
WhiteTassel,820535.3875878879,820535.3875878879,820535.3875878879,820535.3875878879,820535.3875878879
