Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),645789.0547166856,664054.4548605355,682550.1216728655,701276.0551536768,720232.255302968
PJWS,631669.1713627568,646439.8547366678,661381.075790338,676492.8345237686,691775.1309369581
Homa (50%),674852.3039293232,697488.7812639597,721348.6442765928,746431.8929672223,772738.5273358481
Homa,626671.8871289577,637837.202586526,649614.2108830934,662002.9120186584,675003.305993222
"Vortex (Shielded, Stacked)",631740.5691758072,650027.629351014,668314.6895262209,686601.7497014274,704888.8098766345
"Vortex (Shielded, Unstacked)",625526.2663150612,642259.7507750817,658993.235235102,675726.7196951221,692460.2041551427
CalamityQueller (Stacked),606640.5838067957,623270.0632218022,640105.6690362405,657147.4012501112,674395.2598634141
CalamityQueller (Unstacked),599515.6248346717,614246.9619963935,629137.6645534456,644187.7325058286,659397.1658535425
"Vortex (Unshielded, Stacked)",595166.4488253935,604309.978912997,613453.5090006002,622597.0390882036,631740.5691758072
"Vortex (Unshielded, Unstacked)",592059.2973950205,600426.0396250307,608792.7818550407,617159.5240850509,625526.2663150612
StaffOfTheScarletSands,606086.986832331,606086.986832331,606086.986832331,606086.986832331,606086.986832331
SkywardSpine,589775.7226047791,597904.2821496042,606139.3511892601,614374.4202289158,622609.4892685713
EngulfingLightning,579933.3971618713,593504.2492431278,608074.4010961115,623643.8527208236,640212.604117264
Lithic (4 Stacks),600250.7571924406,625080.9521063468,650443.9862967054,676972.2676134649,704012.1962443737
Lithic (3 Stacks),574963.0457095404,592655.0681884247,611050.9919094576,629788.9488570052,648905.7936598549
Lithic (2 Stacks),550218.6314443147,561728.7288400272,573342.3114200587,585059.3791844094,597156.4215674349
Lithic (1 Stacks),526327.7051187548,531762.8641496195,537268.8988316787,542933.3979932558,548623.7684509128
Deathmatch (1 Opponent),590680.2506486137,602541.9209984869,614403.5913483602,626265.261698233,638126.9320481062
Deathmatch (2+ Opponents),574864.6901821163,582772.4704153651,590680.2506486137,598588.0308818626,606495.8111151113
Blackcliff (3 Stacks),602289.4304206038,620172.3145362335,638055.1986518638,655938.0827674939,673820.9668831235
Blackcliff (2 Stacks),578445.5849330971,590367.5076768508,602289.4304206038,614211.3531643571,626133.2759081104
Blackcliff (1 Stacks),554601.7394455903,560562.7008174674,566523.6621893438,572484.6235612204,578445.5849330971
Blackcliff (0 Stacks),530757.893958084,530757.893958084,530757.893958084,530757.893958084,530757.893958084
MissiveWindspear (On),526039.9016167008,530964.340219669,535888.7788226373,540813.2174256061,545737.6560285743
MissiveWindspear (Off),506342.1472048274,506342.1472048274,506342.1472048274,506342.1472048274,506342.1472048274
WavebreakersFin,497043.665335107,497043.665335107,497043.665335107,497043.665335107,497043.665335107
FavoniusLance,520864.12957433553,520864.12957433553,520864.12957433553,520864.12957433553,520864.12957433553
PrototypeStarglitter,501960.94041413895,501960.94041413895,501960.94041413895,501960.94041413895,501960.94041413895
WhiteTassel,477356.174176506,477356.174176506,477356.174176506,477356.174176506,477356.174176506
