Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),560081.8754482093,577727.5988665401,595603.5889533518,613709.8457086443,632046.3691324174
PJWS,547694.5181932995,562292.7071434899,577061.4337734398,592000.6980831497,607110.5000726191
Homa (50%),585482.8282319419,609286.0986608268,634375.8139592767,660751.9741272916,688414.5791648722
Homa,534818.9606379918,546559.7902437382,558943.8422842678,571971.1167595796,585641.6136696741
"Vortex (Shielded, Stacked)",565531.55064263,584761.2139981422,603990.8773536538,623220.5407091657,642450.2040646776
"Vortex (Shielded, Unstacked)",558795.4476103622,576341.0852078072,593886.7228052521,611432.3604026971,628977.9980001419
CalamityQueller (Stacked),537829.9590912212,553970.563959096,570317.2952264032,586870.1528931425,603629.1369593133
CalamityQueller (Unstacked),530237.3900780824,544362.9501824189,558647.8756820862,573092.1665770841,587695.8228674124
"Vortex (Unshielded, Stacked)",527072.2239316063,536687.0556093624,546301.8872871182,555916.7189648743,565531.55064263
"Vortex (Unshielded, Unstacked)",523704.1724154724,532476.991214195,541249.8100129174,550022.62881164,558795.4476103622
StaffOfTheScarletSands,502626.4224651633,502626.4224651633,502626.4224651633,502626.4224651633,502626.4224651633
SkywardSpine,504585.0608152845,511592.5733172772,518630.29736399604,525838.3386352798,533158.1267288097
EngulfingLightning,496719.69971056865,510975.75183302927,526280.011169203,542632.4777190904,560033.1514826906
Lithic (4 Stacks),522406.36562342476,545432.0276051479,568999.9448288839,593665.3623824059,618858.3548714365
Lithic (3 Stacks),498038.35032328713,514419.15821551037,531454.5081537756,548831.4722210844,566582.7353968578
Lithic (2 Stacks),474241.6363967856,484862.9218911252,495593.02669472864,506431.95080759656,517619.3572026374
Lithic (1 Stacks),451282.18656241376,456291.0145863824,461365.4610650999,466580.88691666373,471823.5175955434
Deathmatch (1 Opponent),487952.7152099879,500425.7931939147,512898.8711778417,525371.9491617684,537845.0271456948
Deathmatch (2+ Opponents),471321.9445647521,479637.32988737006,487952.7152099879,496268.1005326058,504583.4858552234
Blackcliff (3 Stacks),510231.24036885705,529035.8944835421,547840.5485982269,566645.2027129119,585449.8568275968
Blackcliff (2 Stacks),485158.3682159437,497694.8042924005,510231.24036885705,522767.67644531355,535304.1125217704
Blackcliff (1 Stacks),460085.49606303044,466353.7141012587,472621.93213948706,478890.1501777155,485158.3682159437
Blackcliff (0 Stacks),435533.17934560525,435533.17934560525,435533.17934560525,435533.17934560525,435533.17934560525
MissiveWindspear (On),451457.24478735693,456635.51267966436,461813.78057197185,466992.04846427945,472170.3163565869
MissiveWindspear (Off),430744.17321812676,430744.17321812676,430744.17321812676,430744.17321812676,430744.17321812676
WavebreakersFin,424249.9215099824,424249.9215099824,424249.9215099824,424249.9215099824,424249.9215099824
FavoniusLance,433692.6611384119,433692.6611384119,433692.6611384119,433692.6611384119,433692.6611384119
PrototypeStarglitter,411790.66976303555,411790.66976303555,411790.66976303555,411790.66976303555,411790.66976303555
WhiteTassel,378504.4823754823,378504.4823754823,378504.4823754823,378504.4823754823,378504.4823754823
