Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),997313.3411934521,1023377.4690396257,1049763.6668094567,1076471.9345029437,1103502.2721200883
PJWS,976703.6942797123,997634.1926427565,1018803.2190474983,1040210.7734939363,1061856.855982073
Homa (50%),1022182.642345067,1051159.948130462,1081703.3289000834,1113812.7846539316,1147488.3153920048
Homa,960506.1433981329,974799.0369178024,989874.9679295847,1005733.9364334801,1022375.9424294892
"Vortex (Shielded, Stacked)",943582.6527208041,967216.3756588188,990850.0985968341,1014483.8215348488,1038117.5444728638
"Vortex (Shielded, Unstacked)",935991.1312030666,957726.9737616468,979462.8163202277,1001198.6588788079,1022934.5014373885
CalamityQueller (Stacked),935610.6662637916,959456.9995156584,983592.9106089865,1008018.3995437764,1032733.4663200274
CalamityQueller (Unstacked),926621.5501441045,948056.3732114087,969715.0816583179,991597.6754848326,1013704.154690952
"Vortex (Unshielded, Stacked)",896315.2068447744,908132.0683137819,919948.9297827891,931765.7912517964,943582.6527208041
"Vortex (Unshielded, Unstacked)",892519.4460859055,903387.3673651959,914255.2886444859,925123.209923776,935991.1312030666
StaffOfTheScarletSands,929618.186205985,929618.186205985,929618.186205985,929618.186205985,929618.186205985
SkywardSpine,808072.1129067973,819100.7275673338,830407.0650536906,841713.4025400465,853019.7400264029
EngulfingLightning,781883.4107585797,797230.8079436813,813711.2724465838,831324.8042672883,850071.4034057945
Lithic (4 Stacks),907136.2137997294,941905.7525805823,977981.8974016595,1014665.1905441268,1051957.422906266
Lithic (3 Stacks),871860.1473490854,897335.6266604571,923162.5824914749,949545.3363173031,976738.477828987
Lithic (2 Stacks),837957.3930648938,854126.564375371,870617.3068727194,887535.0395211851,904586.2112387824
Lithic (1 Stacks),804726.7023300331,812635.271341399,820575.8433789236,828548.4184426072,836552.996532449
Deathmatch (1 Opponent),895112.463243938,910285.0373631081,925457.6114822783,940630.1856014483,955802.759720619
Deathmatch (2+ Opponents),874882.3644183769,884997.413831158,895112.463243938,905227.5126567174,915342.562069498
Blackcliff (3 Stacks),912924.7937860466,935892.0520419683,958859.3102978899,981826.5685538116,1004793.8268097333
Blackcliff (2 Stacks),882301.7827781512,897613.2882820987,912924.7937860466,928236.2992899944,943547.8047939421
Blackcliff (1 Stacks),851678.7717702553,859334.5245222292,866990.2772742029,874646.0300261771,882301.7827781512
Blackcliff (0 Stacks),821055.76076236,821055.76076236,821055.76076236,821055.76076236,821055.76076236
MissiveWindspear (On),795719.5341127213,802083.7510208944,808447.9679290669,814812.1848372392,821176.4017454115
MissiveWindspear (Off),770262.6664800316,770262.6664800316,770262.6664800316,770262.6664800316,770262.6664800316
WavebreakersFin,770882.4318274676,770882.4318274676,770882.4318274676,770882.4318274676,770882.4318274676
FavoniusLance,710200.7816657124,710200.7816657124,710200.7816657124,710200.7816657124,710200.7816657124
PrototypeStarglitter,682542.5434290541,682542.5434290541,682542.5434290541,682542.5434290541,682542.5434290541
WhiteTassel,735219.1640601001,735219.1640601001,735219.1640601001,735219.1640601001,735219.1640601001
