Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),676155.305330539,694302.9091922813,712680.779722504,731288.9169212079,750127.3207883928
PJWS,661846.5619483725,676422.6337294788,691169.2431903443,706086.3903309702,721174.0751513559
Homa (50%),695561.4631674045,715739.8963834915,737008.8705806701,759368.3857589404,782818.4419183016
Homa,652612.84937219,662565.7483575975,673063.9178335501,684107.3578000492,695696.0682570933
"Vortex (Shielded, Stacked)",637915.4903056829,654216.7997810473,670518.1092564121,686819.418731776,703120.7282071403
"Vortex (Shielded, Unstacked)",632800.4464729431,647822.9949901226,662845.5435073023,677868.0920244812,692890.6405416606
CalamityQueller (Stacked),632732.420161902,649276.8724371427,666027.4511118152,682984.15618592,700146.9876594571
CalamityQueller (Unstacked),626592.5596761822,641485.1443197392,656537.0943586266,671748.409792845,687119.0906223941
"Vortex (Unshielded, Stacked)",605312.8713549546,613463.526092637,621614.1808303188,629764.835568001,637915.4903056829
"Vortex (Unshielded, Unstacked)",602755.3494385846,610266.6236971746,617777.8979557639,625289.1722143537,632800.4464729431
StaffOfTheScarletSands,634346.9691795082,634346.9691795082,634346.9691795082,634346.9691795082,634346.9691795082
SkywardSpine,544401.1267612127,552025.919871696,559650.7129821792,567538.2820302665,575518.7065860251
EngulfingLightning,526400.1873956422,536993.5385868294,548369.7872555695,560528.9334018619,573470.9770257068
Lithic (4 Stacks),612666.0331511792,637000.0585867561,661821.9378281644,687773.6982403864,714188.9977997704
Lithic (3 Stacks),588538.4995067327,605895.1429180431,623940.3402256359,642303.3044885771,661021.2175818722
Lithic (2 Stacks),564895.2676580678,576212.6813725793,587622.3430481926,599124.2526849069,611001.3100398087
Lithic (1 Stacks),542055.7976632459,547404.6969348708,552823.1314169429,558401.1213082352,564002.1731898028
Deathmatch (1 Opponent),607162.4255933968,617736.0638608634,628309.7021283302,638883.340395797,649456.9786632638
Deathmatch (2+ Opponents),593064.2412367745,600113.3334150858,607162.4255933968,614211.5177717082,621260.6099500193
Blackcliff (3 Stacks),618007.1508502732,633948.1728345606,649889.194818848,665830.2168031357,681771.2387874232
Blackcliff (2 Stacks),596752.4548712233,607379.8028607479,618007.1508502732,628634.4988397983,639261.8468293234
Blackcliff (1 Stacks),575497.7588921728,580811.4328869357,586125.1068816982,591438.7808764605,596752.4548712233
Blackcliff (0 Stacks),554243.0629131232,554243.0629131232,554243.0629131232,554243.0629131232,554243.0629131232
MissiveWindspear (On),535932.0003423878,540321.7052424817,544711.4101425756,549101.1150426696,553490.8199427633
MissiveWindspear (Off),518373.180742012,518373.180742012,518373.180742012,518373.180742012,518373.180742012
WavebreakersFin,518795.30004237354,518795.30004237354,518795.30004237354,518795.30004237354,518795.30004237354
FavoniusLance,476942.94384410453,476942.94384410453,476942.94384410453,476942.94384410453,476942.94384410453
PrototypeStarglitter,457868.4148690508,457868.4148690508,457868.4148690508,457868.4148690508,457868.4148690508
WhiteTassel,494207.35223447165,494207.35223447165,494207.35223447165,494207.35223447165,494207.35223447165
