Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),775877.2596069805,799372.9053514376,823190.621019552,847330.4066113223,871792.262126751
PJWS,759956.4876313524,779490.722627208,799263.4856647612,819274.7767440107,839524.5958649587
Homa (50%),797827.0865451336,826804.3923305292,857347.7731001505,889457.2288539985,923132.759592072
Homa,736150.5875981996,750443.4811178695,765519.4121296518,781378.3806335471,798020.3866295562
"Vortex (Shielded, Stacked)",763385.9798729582,787019.7028109727,810653.4257489878,834287.1486870025,857920.8716250176
"Vortex (Shielded, Unstacked)",755794.4583552204,777530.3009138007,799266.1434723812,821001.9860309616,842737.8285895423
CalamityQueller (Stacked),743040.3535134397,764653.0245812688,786555.2734905588,808747.1002413104,831228.5048335236
CalamityQueller (Unstacked),734051.2373937526,753252.3982770192,772677.4445398903,792326.3761823666,812199.1932044483
"Vortex (Unshielded, Stacked)",716118.5339969285,727935.3954659356,739752.256934943,751569.1184039504,763385.9798729582
"Vortex (Unshielded, Unstacked)",712322.7732380596,723190.6945173496,734058.6157966398,744926.5370759299,755794.4583552204
StaffOfTheScarletSands,693638.6685913202,693638.6685913202,693638.6685913202,693638.6685913202,693638.6685913202
SkywardSpine,615930.7113331136,624336.9690969756,632954.9134354986,641572.8577740225,650190.8021125456
EngulfingLightning,601686.7379107336,617034.1350958347,633514.5995987378,651128.1314194425,669874.7305579482
Lithic (4 Stacks),712743.3994229374,742219.4602054436,772840.0137449636,804055.8748949456,835868.8345536736
Lithic (3 Stacks),681426.2498034247,702942.8122836652,724799.6596159234,747157.834486389,770219.4032593996
Lithic (2 Stacks),651332.13977808,664962.2149159925,678871.231495101,693142.2251443932,707546.6578628176
Lithic (1 Stacks),621910.0933020664,628549.1142271501,635220.1381783922,641923.1651557933,648658.195159353
Deathmatch (1 Opponent),670415.6253643858,685588.199483556,700760.7736027265,715933.3477218964,731105.921841067
Deathmatch (2+ Opponents),650185.5265388252,660300.5759516055,670415.6253643858,680530.6747771658,690645.724189946
Blackcliff (3 Stacks),699207.7621332373,722175.0203891589,745142.2786450803,768109.5369010022,791076.7951569236
Blackcliff (2 Stacks),668584.7511253414,683896.256629289,699207.7621332373,714519.2676371849,729830.7731411329
Blackcliff (1 Stacks),637961.7401174458,645617.4928694197,653273.2456213934,660928.9983733674,668584.7511253414
Blackcliff (0 Stacks),607338.7291095501,607338.7291095501,607338.7291095501,607338.7291095501,607338.7291095501
MissiveWindspear (On),618056.8547558732,624421.071664046,630785.2885722186,637149.5054803909,643513.7223885631
MissiveWindspear (Off),592599.9871231833,592599.9871231833,592599.9871231833,592599.9871231833,592599.9871231833
WavebreakersFin,590375.4740623571,590375.4740623571,590375.4740623571,590375.4740623571,590375.4740623571
FavoniusLance,531115.9631047327,531115.9631047327,531115.9631047327,531115.9631047327,531115.9631047327
PrototypeStarglitter,504879.86407220585,504879.86407220585,504879.86407220585,504879.86407220585,504879.86407220585
WhiteTassel,530435.1558483014,530435.1558483014,530435.1558483014,530435.1558483014,530435.1558483014
