Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),465117.8408165091,480277.75291436055,495667.9316806929,511288.37711550586,527139.0892188002
PJWS,455060.69872487476,467683.8775106364,480477.59397615795,493441.848121439,506576.63994648034
Homa (50%),477336.17909182515,495181.026119416,513990.29574496124,533763.9879684597,554502.1027899121
Homa,439354.46688378026,448156.33757283154,457440.41956085945,467206.7128478646,477455.2174338468
"Vortex (Shielded, Stacked)",454526.1765771915,468942.27969194565,483358.38280670013,497774.4859214543,512190.5890362086
"Vortex (Shielded, Unstacked)",450454.73308749544,463852.97532982554,477251.21757215605,490649.45981448615,504047.7020568164
CalamityQueller (Stacked),444783.0920601802,458706.9538620884,472836.9420634287,487173.0566642011,501715.29766440555
CalamityQueller (Unstacked),439578.45165648975,452084.2508472217,464749.41543328424,477573.9454146774,490557.8407914012
"Vortex (Unshielded, Stacked)",425693.97034768295,432902.02190506004,440110.073462437,447318.1250198143,454526.1765771915
"Vortex (Unshielded, Unstacked)",423658.2486028349,430357.369724,437056.490845165,443755.6119663302,450454.73308749544
StaffOfTheScarletSands,414118.5771821308,414118.5771821308,414118.5771821308,414118.5771821308,414118.5771821308
SkywardSpine,364413.29613376333,369517.2091367718,374621.12213978084,379900.9330990203,385242.9000310364
EngulfingLightning,355968.5211142795,365364.8166755688,375458.56761684455,386249.77393810725,397738.43563935737
Lithic (4 Stacks),423369.40143501456,441530.9875401259,460104.3566116557,479537.7812632192,499369.76531385176
Lithic (3 Stacks),404452.7007353459,417381.54800967546,430826.07371375244,444531.9656598289,458525.49751296284
Lithic (2 Stacks),385964.29351953545,394359.1808299247,402835.64785152493,411393.69458433636,420227.89077193633
Lithic (1 Stacks),368121.13161908725,372082.2287234166,376095.1178199442,380221.17922782927,384367.635563517
Deathmatch (1 Opponent),398843.9566040515,408194.77960341086,417545.6026027702,426896.42560212966,436247.2486014891
Deathmatch (2+ Opponents),386376.1926049057,392610.0746044785,398843.9566040515,405077.83860362443,411311.72060319723
Blackcliff (3 Stacks),415713.53775250324,429811.0197386808,443908.50172485854,458005.9837110359,472103.46569721354
Blackcliff (2 Stacks),396916.8951042666,406315.21642838506,415713.53775250324,425111.85907662194,434510.1804007399
Blackcliff (1 Stacks),378120.25245602994,382819.4131180892,387518.5737801481,392217.7344422077,396916.8951042666
Blackcliff (0 Stacks),359323.6098077933,359323.6098077933,359323.6098077933,359323.6098077933,359323.6098077933
MissiveWindspear (On),365878.2873402837,369760.3336616994,373642.3799831148,377524.4263045304,381406.4726259463
MissiveWindspear (Off),350350.1020546211,350350.1020546211,350350.1020546211,350350.1020546211,350350.1020546211
WavebreakersFin,348993.19312626024,348993.19312626024,348993.19312626024,348993.19312626024,348993.19312626024
FavoniusLance,312846.06460420723,312846.06460420723,312846.06460420723,312846.06460420723,312846.06460420723
PrototypeStarglitter,296842.5635911087,296842.5635911087,296842.5635911087,296842.5635911087,296842.5635911087
WhiteTassel,311921.0566493144,311921.0566493144,311921.0566493144,311921.0566493144,311921.0566493144
