Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),647071.3874167807,664708.6729608843,682576.2251734692,700674.0440545343,719002.129604081
PJWS,632491.6931700377,646461.6073632744,660602.0592362713,674913.0487890275,689394.5760215443
Homa (50%),658423.7237319613,676268.5707595522,695077.8403850971,714851.5326085956,735589.647430048
Homa,620442.0115239163,629243.8822129677,638527.9642009953,648294.2574880008,658542.7620739825
"Vortex (Shielded, Stacked)",598591.4918491956,613007.5949639494,627423.6980787037,641839.8011934583,656255.904308212
"Vortex (Shielded, Unstacked)",594520.0483594994,607918.2906018293,621316.5328441596,634714.7750864901,648113.0173288198
CalamityQueller (Stacked),604581.8243496479,620681.4125581891,636987.1271661622,653498.9681735673,670216.9355804049
CalamityQueller (Unstacked),599377.1839459575,614058.7095433224,628899.6005360178,643899.8569240436,659059.4787074006
"Vortex (Unshielded, Stacked)",569759.2856196867,576967.3371770639,584175.3887344411,591383.4402918181,598591.4918491956
"Vortex (Unshielded, Unstacked)",567723.5638748388,574422.6849960039,581121.8061171691,587820.927238334,594520.0483594994
StaffOfTheScarletSands,604269.2684147186,604269.2684147186,604269.2684147186,604269.2684147186,604269.2684147186
SkywardSpine,520468.4503206625,527758.0462806085,535047.6422405553,542588.4621203346,550218.0554427202
EngulfingLightning,500033.8363862835,509430.1319475726,519523.88288884837,530315.0892101113,541803.7509113612
Lithic (4 Stacks),577531.419774647,600064.0213439111,623033.9839627529,647045.125249122,671469.628127306
Lithic (3 Stacks),555464.2178746744,571543.5663493079,588259.9591307096,605263.2962372702,622588.452378202
Lithic (2 Stacks),533825.30945856,544320.530902485,554897.3320576214,565555.7129239687,576562.6278020658
Lithic (1 Stacks),512916.98165143956,517879.2645024773,522905.966692201,528082.1951668541,533278.8185693098
Deathmatch (1 Opponent),573960.8939383856,583311.716937745,592662.5399371043,602013.3629364638,611364.1859358231
Deathmatch (2+ Opponents),561493.1299392396,567727.0119388124,573960.8939383856,580194.7759379584,586428.6579375314
Blackcliff (3 Stacks),583831.7376184494,597929.2196046266,612026.7015908039,626124.1835769815,640221.6655631592
Blackcliff (2 Stacks),565035.0949702124,574433.4162943307,583831.7376184494,593230.0589425676,602628.3802666856
Blackcliff (1 Stacks),546238.4523219758,550937.6129840349,555636.7736460938,560335.9343081532,565035.0949702124
Blackcliff (0 Stacks),527441.8096737392,527441.8096737392,527441.8096737392,527441.8096737392,527441.8096737392
MissiveWindspear (On),504763.2257979162,508645.2721193318,512527.3184407473,516409.36476216296,520291.41108357883
MissiveWindspear (Off),489235.0405122535,489235.0405122535,489235.0405122535,489235.0405122535,489235.0405122535
WavebreakersFin,493692.8402530851,493692.8402530851,493692.8402530851,493692.8402530851,493692.8402530851
FavoniusLance,454638.357396436,454638.357396436,454638.357396436,454638.357396436,454638.357396436
PrototypeStarglitter,435727.5020487411,435727.5020487411,435727.5020487411,435727.5020487411,435727.5020487411
WhiteTassel,468540.21680750744,468540.21680750744,468540.21680750744,468540.21680750744,468540.21680750744
