Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),512197.9277354339,527998.854858051,544030.0486491494,560291.509108728,576783.236236788
PJWS,500970.58504844847,513942.22871013806,527084.4100515877,540397.1290727968,553880.3857737661
Homa (50%),522231.33003788325,540076.1770654741,558885.4466910193,578659.1389145178,599397.2537359701
Homa,484249.61782983836,493051.4885188895,502335.57050691743,512101.8637939227,522350.3683799048
"Vortex (Shielded, Stacked)",490242.7913674643,504658.8944822184,519074.9975969729,533491.100711727,547907.2038264814
"Vortex (Shielded, Unstacked)",486171.3478777682,499569.59012009826,512967.8323624288,526366.0746047589,539764.3168470892
CalamityQueller (Stacked),487805.49249530665,502315.12222767575,517030.8783594765,531952.7608907097,547080.7698213747
CalamityQueller (Unstacked),482600.8520916162,495692.41921280907,508943.351729332,522353.64964118594,535923.3129483702
"Vortex (Unshielded, Stacked)",461410.5851379556,468618.63669533277,475826.68825270986,483034.739810087,490242.7913674643
"Vortex (Unshielded, Unstacked)",459374.86339310755,466073.9845142727,472773.1056354378,479472.22675660293,486171.3478777682
StaffOfTheScarletSands,459099.4616340124,459099.4616340124,459099.4616340124,459099.4616340124,459099.4616340124
SkywardSpine,404792.2299910189,410461.6837351258,416131.13747923356,421995.9796098485,427929.86492602894
EngulfingLightning,391685.1359045523,401081.4314658415,411175.1824071172,421966.3887283801,433455.0504296301
Lithic (4 Stacks),460457.41553130816,479670.5724766018,499301.6659163942,519836.3891946175,540773.2329561448
Lithic (3 Stacks),440782.77306241693,454469.56210596906,468701.22755816276,483200.4127804363,497995.46066118975
Lithic (2 Stacks),421536.42407738394,430436.6059005882,439418.36743500346,448481.70868062985,457838.61352428107
Lithic (1 Stacks),402955.8502152961,407157.8107403751,411414.60112138523,415793.3097856779,420192.413377773
Deathmatch (1 Opponent),437455.84087236086,446806.66387172026,456157.48687107954,465508.30987043894,474859.1328697985
Deathmatch (2+ Opponents),424988.0768732149,431221.9588727878,437455.84087236086,443689.72287193383,449923.6048715066
Blackcliff (3 Stacks),454521.5544701869,468619.0364563645,482716.51844254206,496814.0004287196,510911.4824148972
Blackcliff (2 Stacks),435724.9118219502,445123.23314606876,454521.5544701869,463919.87579430547,473318.19711842365
Blackcliff (1 Stacks),416928.26917371363,421627.4298357727,426326.59049783164,431025.7511598912,435724.9118219502
Blackcliff (0 Stacks),398131.6265254769,398131.6265254769,398131.6265254769,398131.6265254769,398131.6265254769
MissiveWindspear (On),397938.1655557061,401820.2118771217,405702.25819853717,409584.30451995286,413466.3508413687
MissiveWindspear (Off),382409.9802700435,382409.9802700435,382409.9802700435,382409.9802700435,382409.9802700435
WavebreakersFin,385157.5715787595,385157.5715787595,385157.5715787595,385157.5715787595,385157.5715787595
FavoniusLance,346958.1929381681,346958.1929381681,346958.1929381681,346958.1929381681,346958.1929381681
PrototypeStarglitter,328902.44180653105,328902.44180653105,328902.44180653105,328902.44180653105,328902.44180653105
WhiteTassel,344854.4255039063,344854.4255039063,344854.4255039063,344854.4255039063,344854.4255039063
