Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),729645.5424971214,748434.1613836293,767453.0469386183,786702.1991620878,806181.6180540384
PJWS,714166.5985196038,729091.1351766381,744186.209513432,759451.8215299856,774887.9712262993
Homa (50%),746921.3568929576,767099.7901090449,788368.7643062234,810728.2794844937,834178.3356438549
Homa,703972.743097743,713925.6420831503,724423.8115591031,735467.2515256024,747055.9619826468
"Vortex (Shielded, Stacked)",678775.1711667404,695076.4806421046,711377.7901174694,727679.0995928333,743980.4090681978
"Vortex (Shielded, Unstacked)",673660.1273340005,688682.6758511799,703705.2243683597,718727.7728855385,733750.3214027181
CalamityQueller (Stacked),681612.4999016349,698742.7201073363,716079.0667124697,733621.5397170351,751370.1391210328
CalamityQueller (Unstacked),675472.6394159152,690950.9919899328,706588.7099592811,722385.7933239599,738342.2420839696
"Vortex (Unshielded, Stacked)",646172.552216012,654323.2069536942,662473.8616913762,670624.5164290584,678775.1711667404
"Vortex (Unshielded, Unstacked)",643615.0302996421,651126.3045582318,658637.5788168213,666148.8530754109,673660.1273340005
StaffOfTheScarletSands,685804.9417321737,685804.9417321737,685804.9417321737,685804.9417321737,685804.9417321737
SkywardSpine,675295.9089667711,684603.146948982,694032.3387915646,703461.5306341479,712890.7224767305
EngulfingLightning,649404.2137975395,661531.5777919919,674555.2098803902,688475.1100627334,703291.2783390218
Lithic (4 Stacks),655094.5899627185,680631.6087162498,706663.5208899488,733875.1630317877,761554.4181885456
Lithic (3 Stacks),630099.9736178664,648323.6997295824,667269.3821220569,686539.8710842164,706174.7156752431
Lithic (2 Stacks),605589.6590687956,617485.127916911,629472.8447261284,641552.8094964463,654027.8437031572
Lithic (1 Stacks),581906.5924007552,587531.038572911,593228.4952608693,599095.5127189634,604985.5921673328
Deathmatch (1 Opponent),651334.2844862747,661907.9227537413,672481.5610212083,683055.1992886749,693628.8375561417
Deathmatch (2+ Opponents),637236.1001296522,644285.1923079636,651334.2844862747,658383.3766645861,665432.4688428971
Blackcliff (3 Stacks),662403.3845708045,678344.4065550918,694285.4285393794,710226.4505236672,726167.4725079545
Blackcliff (2 Stacks),641148.6885917546,651776.036581279,662403.3845708045,673030.7325603294,683658.0805498546
Blackcliff (1 Stacks),619893.9926127043,625207.6666074669,630521.3406022297,635835.0145969917,641148.6885917546
Blackcliff (0 Stacks),598639.2966336544,598639.2966336544,598639.2966336544,598639.2966336544,598639.2966336544
MissiveWindspear (On),572608.3875089366,576998.0924090304,581387.7973091245,585777.5022092183,590167.2071093121
MissiveWindspear (Off),555049.5679085607,555049.5679085607,555049.5679085607,555049.5679085607,555049.5679085607
WavebreakersFin,560167.2209476564,560167.2209476564,560167.2209476564,560167.2209476564,560167.2209476564
FavoniusLance,590683.7876155631,590683.7876155631,590683.7876155631,590683.7876155631,590683.7876155631
PrototypeStarglitter,566159.3501062823,566159.3501062823,566159.3501062823,566159.3501062823,566159.3501062823
WhiteTassel,531883.0095995304,531883.0095995304,531883.0095995304,531883.0095995304,531883.0095995304
