Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),1083401.50444098,1110463.8461197258,1137848.257722128,1165554.7392481866,1193583.2906979036
PJWS,1061756.6513989717,1083481.6500466107,1105445.1767359464,1127647.2314669795,1150087.8142397103
Homa (50%),1111304.7466809067,1141792.8183216574,1173928.6141044463,1207712.1340292771,1243143.3780961472
Homa,1046412.6710555574,1061450.741358177,1077312.6737318174,1093998.468176477,1111508.124692157
"Vortex (Shielded, Stacked)",1021554.7141745329,1046420.609002995,1071286.5038314573,1096152.3986599194,1121018.2934883817
"Vortex (Shielded, Unstacked)",1011685.838445137,1034084.5143412502,1056483.1902373636,1078881.8661334766,1101280.5420295899
CalamityQueller (Stacked),1015357.4907500234,1040105.9971695136,1065144.0814304652,1090471.7435328788,1116088.9834767526
CalamityQueller (Unstacked),1004780.5214076056,1026720.5543368504,1048884.4726457004,1071272.276334156,1093883.9654022157
"Vortex (Unshielded, Stacked)",971822.9245176075,984255.8719318389,996688.8193460703,1009121.7667603015,1021554.7141745329
"Vortex (Unshielded, Unstacked)",966888.4866529097,978087.8246009665,989287.1625490234,1000486.5004970802,1011685.838445137
StaffOfTheScarletSands,1014129.0516594658,1014129.0516594658,1014129.0516594658,1014129.0516594658,1014129.0516594658
SkywardSpine,882383.0072788699,894425.8212986214,906771.8977355788,919117.9741725354,931464.0506094937
EngulfingLightning,851173.1536931524,867205.2335386232,884408.4596041181,902782.8318896379,922328.3503951811
Lithic (4 Stacks),984473.4234777556,1021873.797915131,1060673.9537639383,1100114.7422570994,1140198.0476634824
Lithic (3 Stacks),946746.3638149318,974161.8712224686,1001948.9094161508,1030329.1409673416,1059578.5461604611
Lithic (2 Stacks),910487.4395595072,927892.0163156411,945641.5179992791,963850.3189671823,982199.5160067368
Lithic (1 Stacks),874935.6176755354,883452.7125753645,892003.4790166916,900587.9169995164,909206.0265238385
Deathmatch (1 Opponent),973449.4714918042,989413.0855746913,1005376.699657578,1021340.313740465,1037303.9278233513
Deathmatch (2+ Opponents),952164.6527146219,962807.0621032132,973449.4714918042,984091.8808803952,994734.2902689871
Blackcliff (3 Stacks),992121.4498608613,1016286.1330886254,1040450.8163163903,1064615.4995441546,1088780.182771919
Blackcliff (2 Stacks),959901.8722238413,976011.6610423512,992121.4498608613,1008231.2386793707,1024341.0274978803
Blackcliff (1 Stacks),927682.2945868225,935737.1889960768,943792.0834053319,951846.9778145871,959901.8722238413
Blackcliff (0 Stacks),895462.7169498029,895462.7169498029,895462.7169498029,895462.7169498029,895462.7169498029
MissiveWindspear (On),863474.551429286,870170.57425731,876866.5970853338,883562.6199133575,890258.642741381
MissiveWindspear (Off),836690.4601171908,836690.4601171908,836690.4601171908,836690.4601171908,836690.4601171908
WavebreakersFin,840157.6698517209,840157.6698517209,840157.6698517209,840157.6698517209,840157.6698517209
FavoniusLance,774904.7445243158,774904.7445243158,774904.7445243158,774904.7445243158,774904.7445243158
PrototypeStarglitter,744396.9454709282,744396.9454709282,744396.9454709282,744396.9454709282,744396.9454709282
WhiteTassel,801050.9702289085,801050.9702289085,801050.9702289085,801050.9702289085,801050.9702289085
