Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),845231.8780506448,869725.7376276738,894541.6671283593,919679.6665527022,945139.735900702
PJWS,828275.8999467477,848604.6352271984,869171.8985493456,889977.6899131904,911022.0093187324
Homa (50%),869170.1348880145,899658.2065287653,931794.0023115551,965577.5222363847,1001008.7663032556
Homa,804278.0592626652,819316.129565285,835178.0619389255,851863.8563835849,869373.5128992654
"Vortex (Shielded, Stacked)",827078.3560080684,851944.2508365302,876810.1456649927,901676.0404934547,926541.9353219167
"Vortex (Shielded, Unstacked)",817209.4802786727,839608.1561747855,862006.832070899,884405.507967012,906804.1838631253
CalamityQueller (Stacked),808234.9698264803,830749.8140619324,853554.2361388461,876648.2360572215,900031.8138170576
CalamityQueller (Unstacked),797658.0004840625,817364.3712292692,837294.6273540813,857448.7688584988,877826.7957425207
"Vortex (Unshielded, Stacked)",777346.5663511434,789779.5137653741,802212.4611796059,814645.4085938369,827078.3560080684
"Vortex (Unshielded, Unstacked)",772412.1284864455,783611.4664345017,794810.804382559,806010.1423306157,817209.4802786727
StaffOfTheScarletSands,758345.2021953273,758345.2021953273,758345.2021953273,758345.2021953273,758345.2021953273
SkywardSpine,675015.3603600947,684228.0088112033,693672.650385644,703117.2919600846,712561.9335345256
EngulfingLightning,656696.7955266878,672728.8753721586,689932.1014376536,708306.4737231733,727851.9922287166
Lithic (4 Stacks),774675.9505485549,806363.3653242274,839275.6015610126,872815.6914140881,906985.5191523226
Lithic (3 Stacks),741221.5320806794,764364.3982932679,787866.7167406731,811903.4415776575,836693.8675509145
Lithic (2 Stacks),709073.0680979459,723737.338005619,738700.5249009302,754052.8460379814,769545.5632466848
Lithic (1 Stacks),677631.7064866645,684778.6479622636,691959.2609793604,699173.5455379551,706421.5016380467
Deathmatch (1 Opponent),730946.5327209341,746910.1468038211,762873.7608867079,778837.3749695946,794800.9890524811
Deathmatch (2+ Opponents),709661.7139437519,720304.123332343,730946.5327209341,741588.9421095252,752231.351498117
Blackcliff (3 Stacks),761468.4120598792,785633.0952876436,809797.7785154082,833962.4617431723,858127.144970937
Blackcliff (2 Stacks),729248.8344228595,745358.6232413694,761468.4120598792,777578.200878389,793687.9896968984
Blackcliff (1 Stacks),697029.2567858405,705084.1511950953,713139.04560435,721193.9400136052,729248.8344228595
Blackcliff (0 Stacks),664809.679148821,664809.679148821,664809.679148821,664809.679148821,664809.679148821
MissiveWindspear (On),671732.9930677151,678429.015895739,685125.0387237626,691821.0615517864,698517.0843798104
MissiveWindspear (Off),644948.9017556198,644948.9017556198,644948.9017556198,644948.9017556198,644948.9017556198
WavebreakersFin,645346.4382397593,645346.4382397593,645346.4382397593,645346.4382397593,645346.4382397593
FavoniusLance,581628.3495375497,581628.3495375497,581628.3495375497,581628.3495375497,581628.3495375497
PrototypeStarglitter,552655.3871093573,552655.3871093573,552655.3871093573,552655.3871093573,552655.3871093573
WhiteTassel,580038.8533104692,580038.8533104692,580038.8533104692,580038.8533104692,580038.8533104692
