Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),511586.31292383425,527459.9066068769,543563.7669584001,559897.8939784041,576462.2876668891
PJWS,500789.0412862901,513980.2548999038,527342.0061932771,540874.29516641,554577.1218193029
Homa (50%),525403.2009392321,544333.734715257,564287.3668981608,585264.0974879435,607263.926484605
Homa,485110.6680464621,494448.04763361474,504296.9764242068,514657.45441823837,525529.4816157091
"Vortex (Shielded, Stacked)",497315.738718447,512608.92260007764,527902.1064817079,543195.2903633381,558488.4742449684
"Vortex (Shielded, Unstacked)",491623.23602922296,505493.29423854756,519363.3524478718,533233.410657196,547103.4688665203
CalamityQueller (Stacked),488388.59233246965,502954.6362356323,517726.8065382272,532705.1032402539,547889.5263417126
CalamityQueller (Unstacked),482053.6911810084,494919.10728605196,507943.8887864264,521128.0356821312,534471.5479731665
"Vortex (Unshielded, Stacked)",466729.37095518655,474375.9628960017,482022.55483681685,489669.1467776322,497315.738718447
"Vortex (Unshielded, Unstacked)",463883.11961057456,470818.1487152367,477753.1778198988,484688.2069245611,491623.23602922296
StaffOfTheScarletSands,458375.7502180857,458375.7502180857,458375.7502180857,458375.7502180857,458375.7502180857
SkywardSpine,403696.1622562124,409350.26465495647,415004.36705370067,420853.32878011616,426771.14674184885
EngulfingLightning,392577.86226195464,402461.5265073366,413069.75133857987,424402.53675568436,436459.88275865035
Lithic (4 Stacks),464844.54771221674,484556.72704523895,504708.3501142763,525790.8207982627,547297.6084954534
Lithic (3 Stacks),444455.74683096923,458492.3911855172,473088.46158106567,487964.40758197114,503148.9782502543
Lithic (2 Stacks),424521.2969592698,433641.06647634815,442847.3790428638,452140.2346588176,461733.4205458802
Lithic (1 Stacks),405280.04950079886,409584.21453333733,413944.6099906027,418428.76958088385,422934.56493352406
Deathmatch (1 Opponent),439472.75376592926,449392.48411437694,459312.21446282486,469231.94481127255,479151.67515972035
Deathmatch (2+ Opponents),426246.4466346653,432859.6002002971,439472.75376592926,446085.9073315609,452699.060897193
Blackcliff (3 Stacks),457451.8033915624,472406.9811234648,487362.1588553673,502317.3365872697,517272.5143191724
Blackcliff (2 Stacks),437511.5664156923,447481.6849036274,457451.8033915624,467421.9218794973,477392.0403674323
Blackcliff (1 Stacks),417571.32943982235,422556.3886837897,427541.4479277572,432526.50717172475,437511.5664156923
Blackcliff (0 Stacks),397631.09246395197,397631.09246395197,397631.09246395197,397631.09246395197,397631.09246395197
MissiveWindspear (On),401724.8245759625,405843.05595637293,409961.2873367835,414079.51871719415,418197.75009760447
MissiveWindspear (Off),385251.8990543199,385251.8990543199,385251.8990543199,385251.8990543199,385251.8990543199
WavebreakersFin,385551.8453877066,385551.8453877066,385551.8453877066,385551.8453877066,385551.8453877066
FavoniusLance,346335.807857176,346335.807857176,346335.807857176,346335.807857176,346335.807857176
PrototypeStarglitter,328488.94319432706,328488.94319432706,328488.94319432706,328488.94319432706,328488.94319432706
WhiteTassel,344854.98597568367,344854.98597568367,344854.98597568367,344854.98597568367,344854.98597568367
