Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),709679.8355554986,728030.8026847932,746612.0364825688,765423.5369488249,784465.3040835628
PJWS,694360.0117628457,708897.9607839345,723606.4474847829,738485.4718653908,753535.0339257595
Homa (50%),723479.1190932957,742409.6528693202,762363.2850522241,783340.0156420073,805339.8446386686
Homa,683186.5862005261,692523.9657876784,702372.8945782704,712733.3725723019,723605.399769773
"Vortex (Shielded, Stacked)",654896.2595287787,670189.4434104089,685482.6272920395,700775.8111736694,716068.9950553002
"Vortex (Shielded, Unstacked)",649203.7568395548,663073.8150488789,676943.8732582034,690813.9314675273,704683.9896768522
CalamityQueller (Stacked),662362.0838238838,679103.8541336792,696051.750842907,713205.7739515663,730565.923459658
CalamityQueller (Unstacked),656027.1826724224,671068.3251840988,686268.8330911063,701628.7063934437,717147.9450911119
"Vortex (Unshielded, Stacked)",624309.8917655183,631956.4837063334,639603.0756471485,647249.6675879634,654896.2595287787
"Vortex (Unshielded, Unstacked)",621463.6404209064,628398.6695255684,635333.6986302305,642268.7277348925,649203.7568395548
StaffOfTheScarletSands,666365.0563206809,666365.0563206809,666365.0563206809,666365.0563206809,666365.0563206809
SkywardSpine,574391.325248626,582436.1561723467,590480.987096067,598803.0698688829,607223.1234126728
EngulfingLightning,550158.3830722863,560042.047317668,570650.2721489115,581983.0575660161,594040.4035689818
Lithic (4 Stacks),633468.9740237455,657962.2270802429,682922.9015137167,709012.5383575303,735542.6830460303
Lithic (3 Stacks),609634.1138393264,627116.8174970461,645291.6987749614,663774.4332991934,682603.1780660399
Lithic (2 Stacks),586253.6046644549,597670.7470503147,609174.4324856113,620764.6609703461,632734.3948986668
Lithic (1 Stacks),563659.6387599689,569058.9138201796,574528.2312613974,580161.0772860688,585815.5590730999
Deathmatch (1 Opponent),631017.9437775121,640937.6741259596,650857.4044744079,660777.1348228554,670696.8651713032
Deathmatch (2+ Opponents),617791.636646248,624404.7902118801,631017.9437775121,637631.0973431438,644244.2509087754
Blackcliff (3 Stacks),641341.683079483,656296.8608113854,671252.0385432882,686207.2162751905,701162.3940070933
Blackcliff (2 Stacks),621401.4461036131,631371.5645915479,641341.683079483,651311.8015674176,661281.9200553531
Blackcliff (1 Stacks),601461.209127743,606446.2683717103,611431.327615678,616416.3868596455,621401.4461036131
Blackcliff (0 Stacks),581520.9721518728,581520.9721518728,581520.9721518728,581520.9721518728,581520.9721518728
MissiveWindspear (On),553638.981661888,557757.2130422983,561875.444422709,565993.6758031195,570111.9071835302
MissiveWindspear (Off),537166.0561402454,537166.0561402454,537166.0561402454,537166.0561402454,537166.0561402454
WavebreakersFin,543826.2066540879,543826.2066540879,543826.2066540879,543826.2066540879,543826.2066540879
FavoniusLance,501430.0670333294,501430.0670333294,501430.0670333294,501430.0670333294,501430.0670333294
PrototypeStarglitter,480403.10028025263,480403.10028025263,480403.10028025263,480403.10028025263,480403.10028025263
WhiteTassel,516167.0660555229,516167.0660555229,516167.0660555229,516167.0660555229,516167.0660555229
