Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),658423.5647224637,676133.5168269926,694073.7356000023,712244.2210414929,730644.973151465
PJWS,644273.9415251621,658463.4256703226,672823.447495243,687354.0069999231,702055.1041843639
Homa (50%),674372.2174453798,693302.7512214042,713256.3834043081,734233.1139940915,756232.9429907528
Homa,634079.6845526102,643417.0641397625,653265.9929303546,663626.4709243862,674498.4981218572
"Vortex (Shielded, Stacked)",615828.9604387325,631122.1443203627,646415.3282019934,661708.5120836233,677001.6959652539
"Vortex (Shielded, Unstacked)",610136.4577495084,624006.5159588326,637876.5741681573,651746.6323774812,665616.6905868058
CalamityQueller (Stacked),615523.4317970177,631679.4341763525,648041.5629551196,664609.8181333184,681384.1997109494
CalamityQueller (Unstacked),609188.5306455564,623643.9052267722,638258.6452033189,653032.7505751958,667966.2213424034
"Vortex (Unshielded, Stacked)",585242.5926754721,592889.1846162872,600535.7765571022,608182.3684979174,615828.9604387325
"Vortex (Unshielded, Unstacked)",582396.3413308602,589331.3704355222,596266.3995401842,603201.4286448464,610136.4577495084
StaffOfTheScarletSands,617164.3782459195,617164.3782459195,617164.3782459195,617164.3782459195,617164.3782459195
SkywardSpine,606267.624001907,614623.4824967836,623088.8288120122,631554.1751272412,640019.52144247
EngulfingLightning,585101.6829243127,596416.5909019146,608560.9823736616,621534.857339554,635338.2157995916
Lithic (4 Stacks),592901.6204863559,616244.6516427938,640048.3733669359,664933.3954092681,690255.0301359049
Lithic (3 Stacks),569895.8068945359,586549.4639596564,603863.3615148446,621478.3815070784,639430.4175891754
Lithic (2 Stacks),547344.3443122639,558208.788969724,569159.7766766214,580197.3074329566,591595.295815883
Lithic (1 Stacks),525556.9692290835,530692.7847382275,535895.3197734061,541251.816933878,546629.9498567092
Deathmatch (1 Opponent),588783.7611709589,598703.4915194068,608623.2218678547,618542.9522163024,628462.6825647502
Deathmatch (2+ Opponents),575557.4540396951,582170.6076053272,588783.7611709589,595396.9147365908,602010.0683022225
Blackcliff (3 Stacks),598892.9682417552,613848.1459736578,628803.3237055603,643758.5014374626,658713.6791693657
Blackcliff (2 Stacks),578952.7312658853,588922.8497538202,598892.9682417552,608863.08672969,618833.2052176254
Blackcliff (1 Stacks),559012.4942900152,563997.5535339828,568982.6127779501,573967.6720219176,578952.7312658853
Blackcliff (0 Stacks),539072.257314145,539072.257314145,539072.257314145,539072.257314145,539072.257314145
MissiveWindspear (On),518571.4687302461,522689.70011065656,526807.931491067,530926.1628714777,535044.3942518882
MissiveWindspear (Off),502098.5432086035,502098.5432086035,502098.5432086035,502098.5432086035,502098.5432086035
WavebreakersFin,504269.1378303595,504269.1378303595,504269.1378303595,504269.1378303595,504269.1378303595
FavoniusLance,531326.216430716,531326.216430716,531326.216430716,531326.216430716,531326.216430716
PrototypeStarglitter,509824.1972712906,509824.1972712906,509824.1972712906,509824.1972712906,509824.1972712906
WhiteTassel,480144.11767029227,480144.11767029227,480144.11767029227,480144.11767029227,480144.11767029227
