Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),562842.5837568692,579357.1924646775,596102.0678409664,613077.2098857361,630282.6185989872
PJWS,550875.1115239738,564414.7900135155,578125.0061828169,592005.7600318777,606057.0515606988
Homa (50%),574510.102587148,593440.6363631726,613394.2685460765,634370.9991358594,656370.8281325209
Homa,534217.569694378,543554.9492815306,553403.8780721227,563764.3560661542,574636.383263625
"Vortex (Shielded, Stacked)",536383.037808493,551676.2216901238,566969.4055717541,582262.5894533843,597555.7733350147
"Vortex (Shielded, Unstacked)",530690.535119269,544560.5933285938,558430.651537918,572300.7097472423,586170.7679565666
CalamityQueller (Stacked),535227.2443593355,550379.056192959,565736.9944260144,581301.0590585017,597071.2500904212
CalamityQueller (Unstacked),528892.3432078742,542343.5272433787,555954.0766742136,569723.9915003792,583653.2717218751
"Vortex (Unshielded, Stacked)",505796.67004523287,513443.2619860479,521089.853926863,528736.4458676784,536383.037808493
"Vortex (Unshielded, Unstacked)",502950.41870062076,509885.44780528283,516820.47690994496,523755.5060146073,530690.535119269
StaffOfTheScarletSands,507576.4282928471,507576.4282928471,507576.4282928471,507576.4282928471,507576.4282928471
SkywardSpine,512094.46144746366,519152.38221786515,526302.7837742735,533453.1853306821,540603.5868870905
EngulfingLightning,494151.2741043401,505466.1820819419,517610.5735536889,530584.4485195812,544387.8069796192
Lithic (4 Stacks),505411.90124960634,526274.3024826883,547582.878261057,569869.9637465246,592585.2614055786
Lithic (3 Stacks),484194.0537757594,499059.7447229066,514516.7988411826,530260.4593740862,546321.7387271188
Lithic (2 Stacks),463430.55731146084,473103.02455693873,482862.0348518539,492707.5881962071,502872.5196286641
Lithic (1 Stacks),443382.71903168416,447950.34361528937,452577.52147859393,457338.02993307484,462120.1741499148
Deathmatch (1 Opponent),481706.9363724821,491626.6667209299,501546.39706937765,511466.1274178256,521385.8577662733
Deathmatch (2+ Opponents),468480.6292412183,475093.7828068501,481706.9363724821,488320.0899381139,494933.2435037459
Blackcliff (3 Stacks),499900.51822929014,514855.69596119266,529810.8736930949,544766.0514249975,559721.2291569002
Blackcliff (2 Stacks),479960.2812534201,489930.3997413551,499900.51822929014,509870.6367172251,519840.75520516007
Blackcliff (1 Stacks),460020.0442775501,465005.10352151754,469990.162765485,474975.22200945264,479960.2812534201
Blackcliff (0 Stacks),440079.8073016798,440079.8073016798,440079.8073016798,440079.8073016798,440079.8073016798
MissiveWindspear (On),436792.3375076044,440910.5688880149,445028.80026842543,449147.0316488361,453265.2630292464
MissiveWindspear (Off),420319.41198596184,420319.41198596184,420319.41198596184,420319.41198596184,420319.41198596184
WavebreakersFin,425108.9142114349,425108.9142114349,425108.9142114349,425108.9142114349,425108.9142114349
FavoniusLance,439203.8038923808,439203.8038923808,439203.8038923808,439203.8038923808,439203.8038923808
PrototypeStarglitter,416202.71020946867,416202.71020946867,416202.71020946867,416202.71020946867,416202.71020946867
WhiteTassel,380877.9343609141,380877.9343609141,380877.9343609141,380877.9343609141,380877.9343609141
