Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),995728.4864863282,1022069.7290707122,1048724.5099782092,1075692.8292088192,1102974.6867625413
PJWS,954287.7993074608,970468.9331198814,986804.0580743591,1003293.1741708934,1019936.2814094838
Homa (50%),1030435.0749676699,1062779.9693914326,1096872.9397198237,1132713.9859528425,1170303.1080904896
Homa,961590.8607525819,977544.7984763845,994372.7741525014,1012074.7877809323,1030650.8393616773
"Vortex (Shielded, Stacked)",984172.1492799921,1011091.696028302,1038011.2427766122,1064930.7895249221,1091850.3362732322
"Vortex (Shielded, Unstacked)",963911.6397455991,985766.0591103109,1007620.4784750228,1029474.8978397346,1051329.3172044463
CalamityQueller (Stacked),947745.1758920635,972132.424546176,996805.5572112281,1021764.5738872197,1047009.4745741503
CalamityQueller (Unstacked),934841.3587068853,955822.8345015307,977018.2668818466,998427.655847833,1020051.0013994894
"Vortex (Unshielded, Stacked)",930333.0557833721,943792.8291575272,957252.602531682,970712.375905837,984172.1492799921
"Vortex (Unshielded, Unstacked)",920202.8010161757,931130.0106985316,942057.2203808874,952984.4300632433,963911.6397455991
StaffOfTheScarletSands,925212.5594096209,925212.5594096209,925212.5594096209,925212.5594096209,925212.5594096209
SkywardSpine,813646.5514510802,823018.7759399954,834289.0017388908,843361.2364599525,854976.2054398449
EngulfingLightning,799405.404417249,816617.860684199,835072.0600577174,854768.0025378045,875705.68812446
Lithic (4 Stacks),936014.9786757758,970606.745517844,1005800.7242589132,1041598.7022814348,1078002.4669678598
Lithic (3 Stacks),900065.3434057157,924908.2390546914,949646.2375304933,974765.4132463577,1004141.7499622486
Lithic (2 Stacks),863147.1154919728,880359.7755736569,895978.8063059154,913801.4994336071,929352.1281656378
Lithic (1 Stacks),828628.2024161891,836957.7803098388,845323.3606351959,852461.2298854261,860840.99028821
Deathmatch (1 Opponent),909517.9383930591,926443.4447814983,943368.9511699374,960294.4575583761,977219.9639468152
Deathmatch (2+ Opponents),886950.5965418068,898234.267467433,909517.9383930591,920801.609318685,932085.2802443112
Blackcliff (3 Stacks),930150.9911269587,955882.42384099,981613.8565550215,1007345.2892690528,1033076.721983084
Blackcliff (2 Stacks),895842.4141749168,912996.7026509378,930150.9911269587,947305.2796029798,964459.5680790006
Blackcliff (1 Stacks),861533.8372228749,870110.9814608855,878688.1256988958,887265.2699369062,895842.4141749168
Blackcliff (0 Stacks),827225.260270833,827225.260270833,827225.260270833,827225.260270833,827225.260270833
MissiveWindspear (On),828048.0945241711,835297.1358633314,842546.1772024923,849795.2185416524,857044.259880813
MissiveWindspear (Off),799051.9291675293,799051.9291675293,799051.9291675293,799051.9291675293,799051.9291675293
WavebreakersFin,785955.5055879935,785955.5055879935,785955.5055879935,785955.5055879935,785955.5055879935
FavoniusLance,723738.3932925652,723738.3932925652,723738.3932925652,723738.3932925652,723738.3932925652
PrototypeStarglitter,699135.9760427673,699135.9760427673,699135.9760427673,699135.9760427673,699135.9760427673
WhiteTassel,751521.0328118849,751521.0328118849,751521.0328118849,751521.0328118849,751521.0328118849
