Weapon,R1,R2,R3,R4,R5
PJWS,1315583.8160340227,1334931.5810843566,1354451.1573980001,1374142.5449749543,1394005.7438152188
Homa (50%),1404456.1361797592,1440396.3383718359,1478278.9244417606,1518103.8943895344,1559871.2482151568
Homa,1327959.5198597773,1345686.8229710842,1364385.3180213158,1384055.0050104717,1404695.8839385514
FracturedHalo,1354352.5148633076,1376250.0868781868,1398147.6588930662,1420045.230907945,1441942.8029228235
LumidouceElegy,1324629.8711829928,1339263.8920882985,1353897.9129936032,1368531.9338989088,1383165.9548042146
"Vortex (Shielded, Stacked)",1312368.3715057082,1342422.8832883646,1372477.395071022,1402531.9068536793,1432586.4186363362
"Vortex (Shielded, Unstacked)",1290013.6265807645,1314479.4521321852,1338945.2776836066,1363411.1032350282,1387876.9287864491
CalamityQueller (Stacked),1287651.8496582226,1316780.810795647,1346228.562630868,1375995.1051638862,1406080.4383947002
CalamityQueller (Unstacked),1273416.1467872725,1298788.2484397488,1324399.9672831371,1350251.303317438,1376342.256542651
"Vortex (Unshielded, Stacked)",1252259.3479403937,1267286.603831722,1282313.8597230504,1297341.115614379,1312368.3715057082
"Vortex (Unshielded, Unstacked)",1241081.9754779222,1253314.8882536322,1265547.801029343,1277780.7138050536,1290013.6265807645
StaffOfTheScarletSands,1297237.9176557555,1297237.9176557555,1297237.9176557555,1297237.9176557555,1297237.9176557555
SkywardSpine,1136301.260282,1148943.2714915685,1164453.159158126,1176701.0031494838,1192666.1389235687
EngulfingLightning,1106136.086152576,1125376.7960910264,1146008.1759829095,1168030.2258282253,1191442.9456269736
SacrificersStaff,1128176.4271492013,1131813.898989602,1135451.370830003,1139088.842670404,1142726.3145108048
Lithic (4 Stacks),1270444.5856324702,1313901.3797928533,1358025.6141588802,1402819.238602315,1448284.202994923
Lithic (3 Stacks),1227107.4169724463,1258067.491553701,1288811.607695276,1320517.5316940318,1357978.5895309895
Lithic (2 Stacks),1181539.7598783483,1203497.2876871298,1223001.800264248,1245690.3974749325,1265059.4096351217
Lithic (1 Stacks),1139312.383663719,1150186.8684496104,1161102.1057911257,1169621.035485074,1180098.3070578317
Deathmatch (1 Opponent),1263993.086501137,1282797.1724861905,1301601.2584712438,1320405.3444562978,1339209.4304413514
Deathmatch (2+ Opponents),1238920.9718543987,1251457.029177768,1263993.086501137,1276529.1438245063,1289065.2011478748
Blackcliff (3 Stacks),1278784.7726843758,1307395.7230307297,1336006.673377084,1364617.6237234392,1393228.574069793
Blackcliff (2 Stacks),1240636.838889236,1259710.805786806,1278784.7726843758,1297858.7395819458,1316932.706479515
Blackcliff (1 Stacks),1202488.905094097,1212025.8885428817,1221562.8719916667,1231099.8554404518,1240636.838889236
Blackcliff (0 Stacks),1164340.9712989582,1164340.9712989582,1164340.9712989582,1164340.9712989582,1164340.9712989582
MissiveWindspear (On),1131915.7546851796,1140008.99638712,1148102.238089061,1156195.4797910014,1164288.7214929422
MissiveWindspear (Off),1099542.7878774165,1099542.7878774165,1099542.7878774165,1099542.7878774165,1099542.7878774165
WavebreakersFin,1091820.7216558498,1091820.7216558498,1091820.7216558498,1091820.7216558498,1091820.7216558498
FavoniusLance,1018908.2391394983,1018908.2391394983,1018908.2391394983,1018908.2391394983,1018908.2391394983
PrototypeStarglitter,987990.939752333,987990.939752333,987990.939752333,987990.939752333,987990.939752333
WhiteTassel,1067146.0216935587,1067146.0216935587,1067146.0216935587,1067146.0216935587,1067146.0216935587
