Weapon,R1,R2,R3,R4,R5
PJWS,742479.4989431635,757455.7360916241,772672.4282180867,788032.8165893059,803678.2429951698
Homa (50%),801352.2616692896,832109.1003936665,865135.8537947754,900543.5671051693,938132.6892428162
Homa,737800.5650808221,752349.068383889,767751.7310687981,784158.2981845185,801554.3197893035
FracturedHalo,759487.328911739,777580.3552138775,796035.5109846408,814569.4753288428,833441.9226220637
LumidouceElegy,733278.4282316235,745317.5920449219,757356.7558582205,769556.8271207417,781879.5444436775
"Vortex (Shielded, Stacked)",793887.0884715134,820806.6352198232,847726.1819681334,874645.7287164436,901565.2754647535
"Vortex (Shielded, Unstacked)",773626.5789371204,795480.998301832,817335.417666544,839189.837031256,861044.2563959676
CalamityQueller (Stacked),752589.1393093258,775053.2061095957,797803.1569208049,820838.9917429528,844160.7105760406
CalamityQueller (Unstacked),739685.3221241476,758743.6160649504,778015.8665914233,797502.0737035662,817202.2374013797
"Vortex (Unshielded, Stacked)",740047.9949748933,753507.7683490483,766967.5417232031,780427.3150973583,793887.0884715134
"Vortex (Unshielded, Unstacked)",729917.7402076968,740844.9498900528,751772.1595724084,762699.3692547644,773626.5789371204
StaffOfTheScarletSands,694909.1919966066,694909.1919966066,694909.1919966066,694909.1919966066,694909.1919966066
SkywardSpine,618464.5242923156,626868.0355930422,635349.4213858867,643875.9025392977,652645.2610562615
EngulfingLightning,609120.3436087704,626332.79987572,644786.9992492389,664482.9417293257,685420.6273159811
SacrificersStaff,608138.294919748,611238.3156865314,614338.3364533148,617438.3572200981,620538.3779868814
Lithic (4 Stacks),729523.4628577698,758995.0231031517,789057.718510219,819713.3364614223,850963.6643392128
Lithic (3 Stacks),697293.9265525456,718416.7232366853,739524.2436223007,760993.5844972414,785858.6669010718
Lithic (2 Stacks),664479.9285377695,678977.3896150207,692276.7387534078,707309.983615601,720615.1800148259
Lithic (1 Stacks),633682.5516681564,640673.4474732553,647700.3457100623,653794.0429312232,660847.635224107
Deathmatch (1 Opponent),671821.8853106837,687677.7605568041,703600.6033448334,719813.0223050596,736112.6129509951
Deathmatch (2+ Opponents),651109.3465365554,661442.2342245647,671821.8853106837,682392.4688080973,692963.0523055105
Blackcliff (3 Stacks),703743.7634547637,728677.1830664291,754006.3966247523,779737.8293387839,805469.2620528154
Blackcliff (2 Stacks),671190.846157412,687338.6117862978,703743.7634547637,720287.3230303074,737067.0431025509
Blackcliff (1 Stacks),639408.2912104958,647236.2986409517,655160.2628927232,663175.5545250676,671190.846157412
Blackcliff (0 Stacks),608396.0986140146,608396.0986140146,608396.0986140146,608396.0986140146,608396.0986140146
MissiveWindspear (On),635683.8482959248,642932.8896350851,650181.9309742455,657430.9723134061,664680.0136525666
MissiveWindspear (Off),606687.6829392829,606687.6829392829,606687.6829392829,606687.6829392829,606687.6829392829
WavebreakersFin,596009.1808642352,596009.1808642352,596009.1808642352,596009.1808642352,596009.1808642352
FavoniusLance,533817.7161769189,533817.7161769189,533817.7161769189,533817.7161769189,533817.7161769189
PrototypeStarglitter,507651.71912909264,507651.71912909264,507651.71912909264,507651.71912909264,507651.71912909264
WhiteTassel,531211.3898755437,531211.3898755437,531211.3898755437,531211.3898755437,531211.3898755437
