Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),712601.472076915,734372.6199121149,756729.5670356947,779372.1041662861,802616.5221393872
PJWS,682048.4451108223,696285.072202943,710658.5322749534,725279.2782539852,740210.2962278193
Homa (50%),740633.3763074162,770238.6899813173,802052.5241615524,836173.2880960372,872712.0270173253
Homa,679699.5094621088,693626.522931654,708376.4912770241,724204.3259726507,740830.8656694328
"Vortex (Shielded, Stacked)",740047.9949748933,766967.5417232031,793887.0884715134,820806.6352198232,847726.1819681334
"Vortex (Shielded, Unstacked)",719787.4854405003,741641.9048052119,763496.324169924,785350.7435346355,807205.1628993475
CalamityQueller (Stacked),689178.4666576566,710755.3774888735,732909.736610626,755349.9797433177,778076.1068869485
CalamityQueller (Unstacked),676735.8235033145,694762.8634356039,713126.1268549904,732013.0617039311,751117.6337122876
"Vortex (Unshielded, Stacked)",686208.9014782731,699668.6748524281,713128.4482265833,726588.2216007381,740047.9949748933
"Vortex (Unshielded, Unstacked)",676078.6467110766,687005.8563934326,697933.0660757886,708860.2757581443,719787.4854405003
StaffOfTheScarletSands,640051.2471617387,640051.2471617387,640051.2471617387,640051.2471617387,640051.2471617387
SkywardSpine,564903.4120447543,572689.2055315928,580474.9990184308,588458.8673985117,596525.5303868443
EngulfingLightning,556735.7507005708,573069.974168404,590968.96865072,610643.8482327056,631581.5338193612
Lithic (4 Stacks),673989.7647523477,702084.2998630586,730766.9911647029,760039.6260397312,789991.6377261606
Lithic (3 Stacks),642760.7095178205,662883.0251312633,683136.6007501545,703501.9236211571,727157.4841624617
Lithic (2 Stacks),611128.9786670419,624856.5931093831,637599.5557845385,651931.46683395,664644.452180049
Lithic (1 Stacks),581558.4082097951,588073.6598552859,594623.55985487,600707.3509092302,607481.1520511314
Deathmatch (1 Opponent),620559.5158370255,635702.3036549332,651109.3465365554,666608.6780685694,682392.4688080973
Deathmatch (2+ Opponents),600600.4727787086,610464.3239584205,620559.5158370255,630654.7077156305,640776.458848546
Blackcliff (3 Stacks),649845.6344511039,673862.6100348607,698275.3795652754,723083.9430423477,748288.3004660787
Blackcliff (2 Stacks),618583.7295854376,634189.6195901919,649845.6344511039,665847.318402516,681877.9016672049
Blackcliff (1 Stacks),588092.1870702069,595661.559899736,603302.283128303,610943.0063568704,618583.7295854376
Blackcliff (0 Stacks),558278.4309634926,558278.4309634926,558278.4309634926,558278.4309634926,558278.4309634926
MissiveWindspear (On),587356.906034855,594605.9473740156,601854.988713176,609104.0300523366,616353.0713914969
MissiveWindspear (Off),558360.7406782131,558360.7406782131,558360.7406782131,558360.7406782131,558360.7406782131
WavebreakersFin,544478.4764658285,544478.4764658285,544478.4764658285,544478.4764658285,544478.4764658285
FavoniusLance,487233.6115446472,487233.6115446472,487233.6115446472,487233.6115446472,487233.6115446472
PrototypeStarglitter,463414.03467320756,463414.03467320756,463414.03467320756,463414.03467320756,463414.03467320756
WhiteTassel,487503.5279005086,487503.5279005086,487503.5279005086,487503.5279005086,487503.5279005086
